DATASET,C
ABPM,TREMLC
ARABIC200,PSt
BIBTEX,RFDTBR
BIRDS,RFPCT
CAL500,RFPCT
CHD_49,TREMLC
COREL5K,EBRJ48
DELICIOUS,EBRJ48
EMOTIONS,RFPCT
ENRON,RFPCT
FLAGS,RFPCT
FOODTRUCK,TREMLC
GENBASE,RFDTBR
GNEGATIVEGO,RFPCT
GNEGATIVEPSEACC,RFPCT
GPOSITIVEGO,RFPCT
GPOSITIVEPSEAAC,PSt
HUMANGO,RFPCT
HUMANPSEAAC,RFPCT
LANGLOG,RFDTBR
MEDICAL,RFDTBR
NG20,PSt
OHSUMED,PSt
PLANTGO,EBRJ48
PLANTPSEAAC,PSt
PROTEINS_HUMAN,TREMLC
PROTEINS_PLANT,TREMLC
PROTEINS_VIRUS,TREMLC
REUTERSK500,PSt
SCENE,PSt
SLASHDOT,PSt
STACKEX_CHESS,EBRJ48
STACKEX_CS,EBRJ48
STACKEX_PHILOSOPHY,EBRJ48
TMC2007_500,RFDTBR
VIRUSGO,RFPCT
VIRUS_PSEAAC,RFPCT
WATER_QUALITY,RFDTBR
YEAST,RFDTBR
YELP,RFDTBR
