DATASET,C
ABPM,Ada300
ARABIC200,RSMLCC
BIBTEX,PSt
BIRDS,Ada300
CAL500,RFPCT
CHD_49,RSMLCC
COREL5K,RFPCT
DELICIOUS,RFDTBR
EMOTIONS,RFDTBR
ENRON,RFPCT
FLAGS,RFPCT
FOODTRUCK,RFPCT
GENBASE,RFDTBR
GNEGATIVEGO,RSMLCC
GNEGATIVEPSEACC,PSt
GPOSITIVEGO,Ada300
GPOSITIVEPSEAAC,PSt
HUMANGO,PSt
HUMANPSEAAC,PSt
LANGLOG,PSt
MEDICAL,Ada300
NG20,RSMLCC
OHSUMED,RFPCT
PLANTGO,RFPCT
PLANTPSEAAC,PSt
PROTEINS_HUMAN,RSMLCC
PROTEINS_PLANT,RSMLCC
PROTEINS_VIRUS,RSMLCC
REUTERSK500,RFDTBR
SCENE,PSt
SLASHDOT,RSMLCC
STACKEX_CHESS,RFDTBR
STACKEX_CS,PSt
STACKEX_PHILOSOPHY,RFDTBR
TMC2007_500,RFDTBR
VIRUSGO,RFPCT
VIRUS_PSEAAC,PSt
WATER_QUALITY,RFPCT
YEAST,RFPCT
YELP,RFDTBR
