DATASET,RFPCT_vs_RFDTBR,RFPCT_vs_RSMLCC,RFPCT_vs_PSt,RFPCT_vs_Ada300,RFDTBR_vs_RSMLCC,RFDTBR_vs_PSt,RFDTBR_vs_Ada300,RSMLCC_vs_PSt,RSMLCC_vs_Ada300,PSt_vs_Ada300
ABPM,-0.021462419610567607,-0.022981134092245226,0.044581618655692545,-0.031158142269253397,-0.0015187144816776188,0.06604403826626015,-0.00969572265868579,0.06756275274793777,-0.008177008177008172,-0.07573976092494594
ARABIC200,0.007721302113078199,-0.015031954529384772,0.011204481792717047,0.1671349704930516,-0.02275325664246297,0.003483179679638848,0.1594136683799734,0.02623643632210182,0.18216692502243637,0.15593048870033455
BIBTEX,-0.012418336859914503,0.0026551109806698947,-0.013542905488996226,0.029383636108818,0.015073447840584397,-0.0011245686290817236,0.041801972968732504,-0.01619801646966612,0.026728525128148106,0.04292654159781423
BIRDS,-0.00801686818928199,0.0450848385331144,0.01472085385878491,-0.01468801313628898,0.05310170672239639,0.0227377220480669,-0.006671144947006991,-0.03036398467432949,-0.05977285166940338,-0.02940886699507389
CAL500,0.0174335300310014,0.014327984486283585,0.02825631205004231,0.008084320067453077,-0.0031055455447178137,0.01082278201904091,-0.009349209963548322,0.013928327563758724,-0.006243664418830508,-0.020171991982589232
CHD_49,-0.007498482088646119,-0.012780813600485774,0.003239656518344902,0.04965738572295941,-0.005282331511839655,0.010738138606991021,0.05715586781160553,0.016020470118830676,0.06243819932344519,0.04641772920461451
COREL5K,0.008439244116584005,0.013954193042862911,0.1225192678148343,0.0969540804023562,0.005514948926278906,0.1140800236982503,0.0885148362857722,0.10856507477197139,0.08299988735949329,-0.025565187412478096
DELICIOUS,-0.03005562641442916,0.012164099298249631,0.24610017608140242,0.15750857976652752,0.04221972571267879,0.2761558024958316,0.18756420618095668,0.23393607678315279,0.1453444804682779,-0.0885915963148749
EMOTIONS,-0.007160493827160552,0.04340388007054663,0.024259259259259314,0.06358024691358022,0.05056437389770718,0.031419753086419866,0.07074074074074077,-0.019144620811287316,0.02017636684303359,0.039320987654320905
ENRON,0.005420241408228166,0.0836338035985924,0.05397398813098897,0.10605713926136467,0.07821356219036424,0.048553746722760804,0.10063689785313651,-0.029659815467603434,0.02242333566277227,0.052083151130375704
FLAGS,0.03014788242060973,0.06355129718766106,0.08106650924832737,0.0537623992169447,0.03340341476705133,0.05091862682771764,0.023614516796334972,0.017515212060666308,-0.00978889797071636,-0.027304110031382667
FOODTRUCK,0.007436399217221057,0.027489671667753846,0.002288540987171017,0.13147423352902804,0.02005327245053279,-0.00514785823005004,0.12403783431180698,-0.02520113068058283,0.1039845618612742,0.12918569254185702
GENBASE,-0.004243017256716053,0.006698324506543618,0.01020577595920058,-0.0024491490244915592,0.010941341763259671,0.014448793215916633,0.0017938682322244937,0.0035074514526569622,-0.009147473531035177,-0.01265492498369214
GNEGATIVEGO,0.00798838053740003,-0.002178649237472796,0.0036310820624546603,0.009150326797385588,-0.010167029774872827,-0.00435729847494537,0.001161946259985558,0.005809731299927456,0.011328976034858385,0.005519244734930928
GNEGATIVEPSEACC,-0.006826434277414806,0.019607843137254832,-0.01815541031227319,0.08859840232389238,0.026434277414669638,-0.011328976034858385,0.09542483660130718,-0.03776325344952802,0.06899055918663755,0.10675381263616557
GPOSITIVEGO,0.0077972709551655806,-0.015594541910331605,-0.021442495126705596,-0.0370370370370372,-0.023391812865497186,-0.029239766081871177,-0.04483430799220278,-0.005847953216373991,-0.021442495126705596,-0.015594541910331605
GPOSITIVEPSEAAC,-1.1102230246251565e-16,0.05263157894736836,-0.06822612085769986,-0.013645224171539905,0.052631578947368474,-0.06822612085769975,-0.013645224171539794,-0.12085769980506822,-0.06627680311890827,0.05458089668615995
HUMANGO,0.013578869047619069,0.009216889880952484,-0.010346912202380931,0.08057105654761898,-0.004361979166666585,-0.02392578125,0.06699218749999991,-0.019563802083333415,0.0713541666666665,0.09091796874999991
HUMANPSEAAC,-0.018652343749999967,0.0021158854166667407,-0.03281249999999997,0.13375651041666672,0.020768229166666707,-0.01416015625,0.1524088541666667,-0.03492838541666671,0.13164062499999998,0.1665690104166667
LANGLOG,-0.044420148586011676,-0.03658469945355189,-0.053653395784543284,0.004808743169398916,0.007835449132459787,-0.009233247198531608,0.04922889175541059,-0.017068696330991395,0.041393442622950805,0.0584621389539422
MEDICAL,0.01255102040816325,0.001678004535147215,0.025566893424036174,-0.014036281179138244,-0.010873015873016034,0.013015873015872925,-0.026587301587301493,0.02388888888888896,-0.01571428571428546,-0.03960317460317442
NG20,-0.027190870061837846,-0.08325407066052237,0.006539477726574483,0.05809032258064506,-0.056063200598684526,0.03373034778841233,0.0852811926424829,0.08979354838709686,0.14134439324116743,0.05155084485407058
OHSUMED,0.014147310526065882,0.032739127427968584,0.038412159093489606,0.1574988078206963,0.018591816901902702,0.024264848567423725,0.14335149729463043,0.005673031665521022,0.12475968039272772,0.1190866487272067
PLANTGO,0.04461697722567293,0.0031055900621117516,0.0357142857142857,0.036542443064182195,-0.041511387163561175,-0.008902691511387228,-0.008074534161490732,0.03260869565217395,0.033436853002070444,0.0008281573498964967
PLANTPSEAAC,0.00041407867494824835,0.008178053830227794,-0.06635610766045541,0.14482401656314708,0.0077639751552795455,-0.06677018633540366,0.14440993788819884,-0.0745341614906832,0.1366459627329193,0.2111801242236025
PROTEINS_HUMAN,0.14618312963334001,-0.2302477793361385,0.10481533426834966,-0.17872169905830482,-0.3764309089694785,-0.041367795364990356,-0.32490482869164483,0.33506311360448815,0.051526080277833675,-0.2835370333266545
PROTEINS_PLANT,0.21867283950617278,-0.3481481481481482,0.15543981481481484,-0.27511574074074097,-0.566820987654321,-0.06323302469135794,-0.49378858024691374,0.503587962962963,0.07303240740740724,-0.4305555555555558
PROTEINS_VIRUS,0.09354838709677427,-0.346236559139785,0.19086021505376344,-0.2661290322580645,-0.4397849462365593,0.09731182795698917,-0.35967741935483877,0.5370967741935484,0.08010752688172051,-0.45698924731182794
REUTERSK500,-0.009136027126875668,0.0013297942582469746,0.013199891714866852,0.08953760927554616,0.010465821385122642,0.02233591884174252,0.09867363640242183,0.011870097456619877,0.08820781501729918,0.07633771756067931
SCENE,0.026597222222222383,0.055208333333333415,-0.01892361111111096,0.058680555555555736,0.02861111111111103,-0.045520833333333344,0.03208333333333335,-0.07413194444444438,0.003472222222222321,0.0776041666666667
SLASHDOT,-0.02479778428225221,-0.03055739149592418,-0.025027539105529795,0.0510685172945583,-0.005759607213671969,-0.00022975482327758368,0.07586630157681051,0.005529852390394385,0.08162590879048248,0.0760960564000881
STACKEX_CHESS,-0.020867425962615704,0.03264700473655696,-0.011313818851132307,-0.009775837760912398,0.053514430699172666,0.009553607111483398,0.011091588201703306,-0.04396082358768927,-0.04242284249746936,0.0015379810902199087
STACKEX_CS,-0.023596423113098675,0.0034528276255476054,-0.02658838038176209,0.07464486758272071,0.02704925073864628,-0.0029919572686634144,0.09824129069581938,-0.030041208007309694,0.0711920399571731,0.1012332479644828
STACKEX_PHILOSOPHY,-0.04082225362742331,0.015751988821668672,-0.010661814993265017,0.04586973673602679,0.05657424244909198,0.030160438634158293,0.0866919903634501,-0.02641380381493369,0.030117747914358117,0.05653155172929181
TMC2007_500,-0.04609054152943426,0.009854701211306716,0.046439324831351714,0.2471139468416918,0.055945242740740975,0.09252986636078597,0.29320448837112606,0.036584623620045,0.23725924563038508,0.2006746220103401
VIRUSGO,0.039215686274509776,0.02941176470588236,0.05539215686274512,0.07843137254901966,-0.009803921568627416,0.016176470588235348,0.03921568627450989,0.025980392156862764,0.0490196078431373,0.02303921568627454
VIRUS_PSEAAC,0.007352941176470507,0.05686274509803918,-0.05882352941176472,0.014705882352941124,0.049509803921568674,-0.06617647058823523,0.007352941176470618,-0.1156862745098039,-0.042156862745098056,0.07352941176470584
WATER_QUALITY,0.005365011010508458,0.038898764892537296,0.05419742175554887,0.1062428937126213,0.03353375388202884,0.04883241074504041,0.10087788270211284,0.015298656863011573,0.067344128820084,0.05204547195707243
YEAST,0.010090581600405879,0.02380810313774606,0.016116350142142633,0.09875851483917675,0.013717521537340183,0.0060257685417367535,0.08866793323877087,-0.007691752995603429,0.07495041170143069,0.08264216469703412
YELP,-0.025289521138048388,0.04163204879894933,0.1170571473096017,0.17219973730492666,0.06692156993699772,0.1423466684476501,0.19748925844297505,0.07542509851065238,0.13056768850597733,0.05514258999532495
