DATASET,C
ABPM,Ada300
ARABIC200,RFPCT
BIBTEX,DEEP4
BIRDS,TREMLC
CAL500,DEEP4
CHD_49,RFPCT
COREL5K,DEEP4
DELICIOUS,CC
EMOTIONS,RFPCT
ENRON,RFPCT
FLAGS,RFPCT
FOODTRUCK,CC
GENBASE,Ada300
GNEGATIVEGO,TREMLC
GNEGATIVEPSEACC,CC
GPOSITIVEGO,Ada300
GPOSITIVEPSEAAC,CC
HUMANGO,TREMLC
HUMANPSEAAC,Ada300
LANGLOG,DEEP4
MEDICAL,Ada300
NG20,Ada300
OHSUMED,CC
PLANTGO,RFPCT
PLANTPSEAAC,DEEP4
PROTEINS_HUMAN,TREMLC
PROTEINS_PLANT,TREMLC
PROTEINS_VIRUS,TREMLC
REUTERSK500,CC
SCENE,Ada300
SLASHDOT,CC
STACKEX_CHESS,DEEP4
STACKEX_CS,DEEP4
STACKEX_PHILOSOPHY,DEEP4
TMC2007_500,TREMLC
VIRUSGO,CC
VIRUS_PSEAAC,TREMLC
WATER_QUALITY,RFPCT
YEAST,TREMLC
YELP,TREMLC
