DATASET,DEEP4,RFPCT,CC,Ada300,TREMLC
ABPM,0.1893004115226337,0.0843621399176954,0.1275720164609053,0.0493827160493827,0.0493827160493827
ARABIC200,0.0214020559680182,0.0176870359794403,0.0189177612792689,0.020625356938892,0.0192033123929183
BIBTEX,0.0124524094991691,0.015634925643129,0.0354536084642729,0.0130056162049599,0.0156580635661849
BIRDS,0.0508166969147005,0.0497277676950998,0.0551724137931034,0.0509981851179673,0.0462794918330308
CAL500,0.1427536231884058,0.1559970014992504,0.1715642178910544,0.1809845077461269,0.1667416291854073
CHD_49,0.3224043715846995,0.2950819672131147,0.3014571948998178,0.3296903460837887,0.2950819672131147
COREL5K,0.0093925344432443,0.0144411369563499,0.0129580358789283,0.0120373541266036,0.0156542240720739
DELICIOUS,0.21090246043573957,0.022524964583389,0.0187116057993619,0.0198468241402136,0.0330773064822225
EMOTIONS,0.328395061728395,0.1697530864197531,0.1895061728395061,0.2012345679012345,0.174074074074074
ENRON,0.0525378687217645,0.0494552218974222,0.0777836832314642,0.0524049960138187,0.0510762689343608
FLAGS,0.3207792207792208,0.2155844155844155,0.2753246753246753,0.2584415584415584,0.2285714285714285
FOODTRUCK,0.8601598173515982,0.1546803652968036,0.1409817351598173,0.1877853881278539,0.1546803652968036
GENBASE,0.963089802130898,0.0019025875190258,0.0017757483510908,0.0013952308472856,0.0029173008625063
GNEGATIVEGO,0.0136165577342047,0.0122549019607843,0.0130718954248366,0.0152505446623093,0.0029173008625063
GNEGATIVEPSEACC,0.1595860566448801,0.0950435729847494,0.0789760348583878,0.0795206971677559,0.0898692810457516
GPOSITIVEGO,0.0394736842105263,0.0423976608187134,0.0350877192982456,0.0219298245614035,0.1900584795321637
GPOSITIVEPSEAAC,0.3245614035087719,0.1695906432748538,0.1578947368421052,0.1885964912280701,0.2646198830409357
HUMANGO,0.0417829241071428,0.0374581473214285,0.0378069196428571,0.0445731026785714,0.0373186383928571
HUMANPSEAAC,0.1100027901785714,0.0982840401785714,0.0918666294642857,0.0848911830357142,0.0966099330357142
LANGLOG,0.0161967213114754,0.0210710382513661,0.0166775956284153,0.0211803278688524,0.0293989071038251
MEDICAL,0.0152910052910052,0.012010582010582,0.0139153439153439,0.0105291005291005,0.0146031746031746
NG20,0.0403354838709677,0.0328774193548387,0.0302129032258064,0.029574193548387,0.0303419354838709
OHSUMED,0.0636857000684207,0.0669512346830876,0.0576600111961186,0.0630014928158238,0.0621384586676618
PLANTGO,0.045807453416149,0.0359730848861283,0.0403726708074534,0.0385610766045548,0.0380434782608695
PLANTPSEAAC,0.0887681159420289,0.1229296066252588,0.0934265010351966,0.0900621118012422,0.1105072463768116
PROTEINS_HUMAN,0.8885994790623122,0.0550991785213384,0.0616108996193147,0.0277499499098377,0.0215387697856141
PROTEINS_PLANT,0.910011574074074,0.0726273148148148,0.0792824074074074,0.0211226851851851,0.0130208333333333
PROTEINS_VIRUS,0.793010752688172,0.1397849462365591,0.2284946236559139,0.0456989247311828,0.0349462365591397
REUTERSK500,0.0139613589002148,0.0143571393955058,0.0114251328691662,0.0121157294476842,0.0135090383341679
SCENE,0.1078125,0.0878472222222222,0.0800347222222222,0.0786458333333333,0.0807291666666666
SLASHDOT,0.0440725830679565,0.0481884275671453,0.0431412605900378,0.0481283422459893,0.0596346812473712
STACKEX_CHESS,0.0102242093497271,0.0162864093628772,0.0113156683542639,0.0151949503583404,0.08586086521444458
STACKEX_CS,0.0091736723556592,0.0106366683751318,0.0094407427699522,0.0093877214377028,0.0108389349388978
STACKEX_PHILOSOPHY,0.0092707095689564,0.015766402905415,0.0138023380185306,0.0102379239645552,0.0112859640756636
TMC2007_500,0.0652789454482003,0.0491822781999016,0.0609048079821068,0.0673886835551466,0.0477546358718928
VIRUSGO,0.0661764705882353,0.0416666666666666,0.0245098039215686,0.0686274509803921,0.0465686274509803
VIRUS_PSEAAC,0.2377450980392156,0.213235294117647,0.2009803921568627,0.2205882352941176,0.1936274509803921
WATER_QUALITY,0.3438395415472779,0.2799836266884977,0.3061809250920999,0.3168235775685632,0.2820302906262791
YEAST,0.2555030285123356,0.1967794356625794,0.2325306544541291,0.2230019205200177,0.1930861279361796
YELP,0.2379242636746143,0.1320617110799439,0.1422720897615708,0.1773352033660589,0.1211781206171108
