DATASET,C
ABPM,Ada300
ARABIC200,CLR
BIBTEX,CC
BIRDS,Ada300
CAL500,Ada300
CHD_49,CLR
COREL5K,CLR
DELICIOUS,CLR
EMOTIONS,RFDTBR
ENRON,CLR
FLAGS,RFDTBR
FOODTRUCK,RFDTBR
GENBASE,CC
GNEGATIVEGO,RSMLCC
GNEGATIVEPSEACC,CC
GPOSITIVEGO,Ada300
GPOSITIVEPSEAAC,CC
HUMANGO,CLR
HUMANPSEAAC,CLR
LANGLOG,CLR
MEDICAL,Ada300
NG20,RSMLCC
OHSUMED,CLR
PLANTGO,Ada300
PLANTPSEAAC,CLR
PROTEINS_HUMAN,RSMLCC
PROTEINS_PLANT,RSMLCC
PROTEINS_VIRUS,RSMLCC
REUTERSK500,RFDTBR
SCENE,CLR
SLASHDOT,CC
STACKEX_CHESS,Ada300
STACKEX_CS,Ada300
STACKEX_PHILOSOPHY,Ada300
TMC2007_500,RFDTBR
VIRUSGO,CC
VIRUS_PSEAAC,CLR
WATER_QUALITY,RFDTBR
YEAST,CLR
YELP,RFDTBR
