DATASET,CLR,Ada300,RFDTBR,CC,RSMLCC
ABPM,0.8209785025945143,0.9116125307714092,0.846936797158036,0.8450914825914825,0.877862703430683
ARABIC200,0.6529156799117759,0.5428416676647222,0.6344181181696074,0.6099584601311455,0.6419851119890977
BIBTEX,0.3252597951434942,0.2562235192455347,0.3016704989461466,0.3404009062493134,0.2785258903022611
BIRDS,0.2667245524374552,0.408670276093963,0.4079380356475679,0.2628670811525604,0.3446393189200612
CAL500,0.1912568669644037,0.2161964596217092,0.2070819409600651,0.1744608330176743,0.1704377484102004
CHD_49,0.5779728671845396,0.4572224783922208,0.4630040857938975,0.5011367943197427,0.4656906351258071
COREL5K,0.068693230849066,0.0382577010681173,0.0484739573991713,0.0084726776219847,0.0347163334190544
DELICIOUS,0.4517065867862258,0.1377547950883845,0.1792403908471721,0.0887368943295253,0.1210600804318378
EMOTIONS,0.6711584623809431,0.6468686106366919,0.6978826193461756,0.6800993894222938,0.6547093164408154
ENRON,0.2293448974143034,0.2095653105351018,0.2074208439669795,0.227096235840105,0.1075831914862076
FLAGS,0.582422814989839,0.6578119232703933,0.6839233093488319,0.6805106840809411,0.659465032289087
FOODTRUCK,0.25008174632015,0.2061557878443843,0.2525396637238742,0.1379348618101096,0.0737913486005089
GENBASE,0.6149123596435425,0.735518994778254,0.736519995779255,0.737997256515775,0.7036168847809059
GNEGATIVEGO,0.9145982101984588,0.9330494770547648,0.8715498858344112,0.9203965115169384,0.9386127916329216
GNEGATIVEPSEACC,0.394517238489085,0.3433120930536172,0.3224710198057962,0.4144638467213215,0.2896731550254412
GPOSITIVEGO,0.7635467751704734,0.9188007268322228,0.7767146853496184,0.8194270833333334,0.7121051609371964
GPOSITIVEPSEAAC,0.530467033851902,0.4833610940650478,0.4979293602437167,0.6118149152692107,0.4341020859701838
HUMANGO,0.7055586754408286,0.6486759766974356,0.576383396390665,0.6402273537974488,0.6057491741800247
HUMANPSEAAC,0.221524510591419,0.1264012710389827,0.1685182127661763,0.1516173079031532,0.1445710182758399
LANGLOG,0.077132570155314,0.0595077349803033,0.0598243961710245,0.0615205496524316,0.0645167210702604
MEDICAL,0.3426560278834711,0.39969165160191,0.3356771792605023,0.3546286793742579,0.3154938364555963
NG20,0.6103902829385642,0.6617532795988976,0.694355895006838,0.6635296963065676,0.7316638923867739
OHSUMED,0.4297341424990449,0.3234954398372702,0.3878923366555773,0.3802054683874722,0.3840017442884961
PLANTGO,0.7078434171292267,0.7259350123194208,0.6484037445164047,0.6297153101068639,0.7113538083687231
PLANTPSEAAC,0.2799273859313553,0.1236457089334831,0.1589554199928902,0.0453656154014737,0.1265885119646437
PROTEINS_HUMAN,0.3718388640720215,0.7065889258839059,0.2815422875964481,0.2822857227952318,0.8264095877781726
PROTEINS_PLANT,0.3824495308477038,0.7284835338002543,0.2492882972907051,0.3320665591413475,0.9238329343882752
PROTEINS_VIRUS,0.5153624290211657,0.7085036871617595,0.5250211398613225,0.3748492678725236,0.9121545797002186
REUTERSK500,0.2730038421432831,0.2451848380494127,0.2788771694097529,0.277875961817221,0.2461218811196761
SCENE,0.8004557973556783,0.7665085689626885,0.7714644495554338,0.7757945305889468,0.717533264157774
SLASHDOT,0.3500089668670086,0.3559084004705884,0.3336171772558976,0.3590286044694468,0.3565869960860457
STACKEX_CHESS,0.0742997416309655,0.1008267283538653,0.0681712276944707,0.0708658632662392,0.0627685846387299
STACKEX_CS,0.1182464612863764,0.133986491084646,0.1216634420868242,0.0815415855469249,0.1079234827512093
STACKEX_PHILOSOPHY,0.0040117525320761,0.0833230808333263,0.0656801956512894,0.0648395175407317,0.0573773708212272
TMC2007_500,0.643782364625764,0.5673425360461503,0.6971343408788285,0.5587674114312018,0.5824057046107126
VIRUSGO,0.7203508297258298,0.8906709786142412,0.8362787212787213,0.9567886973098112,0.8042262245092434
VIRUS_PSEAAC,0.4999227213635707,0.317914653784219,0.3793505834601725,0.4022720199190788,0.432322838060543
WATER_QUALITY,0.5205725365134243,0.474502255057135,0.5729893985077293,0.385302294863147,0.513591689819236
YEAST,0.483231689739425,0.4001110489028825,0.41572041102809,0.3635451151694385,0.4065406612764562
YELP,0.6294013108253421,0.6365434333059459,0.7697677368810033,0.7376804510385057,0.7014006369319372
