DATASET,RFDTBR_vs_RFPCT,RFDTBR_vs_Ada300,RFDTBR_vs_CLR,RFDTBR_vs_PSt,RFPCT_vs_Ada300,RFPCT_vs_CLR,RFPCT_vs_PSt,Ada300_vs_CLR,Ada300_vs_PSt,CLR_vs_PSt
ABPM,0.01983046077079753,-0.006191950464396467,0.06020664260721409,0.06085541362325397,-0.026022411235194,0.04037618183641656,0.04102495285245644,0.06639859307161056,0.06704736408765044,0.0006487710160398841
ARABIC200,-0.011903145954269112,0.10189862728027288,0.0325013188938329,-0.0004559430264827746,0.11380177323454199,0.04440446484810201,0.011447202927786337,-0.06939730838643998,-0.10235457030675565,-0.03295726192031567
BIBTEX,0.007396447594595623,0.0524368033590093,0.07741162417512443,0.0215072313081644,0.045040355764413675,0.0700151765805288,0.014110783713568775,0.02497482081611513,-0.0309295720508449,-0.05590439286696003
BIRDS,0.01430737668361437,0.01907273126785347,0.228828828828829,0.10088849606921912,0.004765354584239101,0.21452145214521462,0.08658111938560475,0.20975609756097552,0.08181576480136565,-0.12794033275960986
CAL500,-0.019040430366762395,-0.006740896053834711,0.1317767136583513,0.013271026234633276,0.012299534312927685,0.1508171440251137,0.03231145660139567,0.13851760971218602,0.020011922288467987,-0.11850568742371803
CHD_49,0.005561640931415868,0.049960162763566074,-0.04645986422385906,0.012575009728224229,0.044398521832150206,-0.05202150515527493,0.007013368796808361,-0.09642002698742513,-0.037385153035341845,0.05903487395208329
COREL5K,0.0003043955943041188,0.09030205407254063,0.10826382321347752,0.13882697652928383,0.08999765847823651,0.1079594276191734,0.1385225809349797,0.01796176914093689,0.0485249224567432,0.030563153315806307
DELICIOUS,-0.0024967886563802,0.16950986219900407,-0.18993197768328085,0.2534564803860112,0.17200665085538427,-0.18743518902690065,0.25595326904239135,-0.35944183988228495,0.0839466181870071,0.44338845806929206
EMOTIONS,-0.004929186131556018,0.05531599174364066,0.031778732357324535,0.04362664658383153,0.060245177875196676,0.03670791848888055,0.04855583271538755,-0.023537259386316123,-0.011689345159809128,0.011847914226506995
ENRON,0.0025846977093395562,0.08872522244055481,0.08517407876325844,0.05876916068119953,0.08614052473121525,0.08258938105391889,0.05618446297185997,-0.0035511436772963645,-0.02995606175935528,-0.026404918082058915
FLAGS,-0.01410321453233554,0.024965594171816652,0.05642929954856557,0.07026513691381475,0.03906880870415219,0.07053251408090111,0.08436835144615029,0.03146370537674892,0.0452995427419981,0.013835837365249182
FOODTRUCK,-0.012355181434749563,0.11040186181929612,0.12140934309444851,0.002274770724689734,0.12275704325404568,0.13376452452919807,0.014629952159439297,0.011007481275152387,-0.10812709109460639,-0.11913457236975877
GENBASE,0.0068964735402152755,0.0013944102664874558,0.049691536533642,0.02615369499826181,-0.00550206327372782,0.042795062993426725,0.019257221458046536,0.048297126267154544,0.024759284731774356,-0.02353784153538019
GNEGATIVEGO,-0.008421912532700526,0.0024622842289626634,-0.00045532205981657636,-0.005254834599267344,0.01088419676166319,0.00796659047288395,0.0031670779334331822,-0.0029176062887792398,-0.007717118828230007,-0.004799512539450768
GNEGATIVEPSEACC,0.008031984079888366,0.0174049934528977,0.11838412726785252,-0.00659803055012631,0.009373009373009333,0.11035214318796416,-0.014630014630014676,0.10097913381495482,-0.02400302400302401,-0.12498215781797883
GPOSITIVEGO,-0.0031513313110884678,-0.04373104145601603,0.011627906976744207,-0.023255813953488413,-0.04057971014492756,0.014779238287832674,-0.020104482642399946,0.055358948432760235,0.020475227502527615,-0.03488372093023262
GPOSITIVEPSEAAC,0.013853948906919822,0.02025217856968986,0.025325349301397182,-0.044457596435036995,0.006398229662770039,0.01147140039447736,-0.058311545341956816,0.005073170731707322,-0.06470977500472685,-0.06978294573643418
HUMANGO,-0.007369879376119659,0.04453969044113615,-0.01885941569126126,-0.009827163329423239,0.05190956981725581,-0.011489536315141602,-0.0024572839533035795,-0.06339910613239741,-0.05436685377055939,0.009032252361838022
HUMANPSEAAC,0.012849109653233437,0.12684959244068333,0.06685467816854684,0.0034834676508247453,0.1140004827874499,0.05400556851531341,-0.009365642002408692,-0.05999491427213649,-0.12336612478985859,-0.0633712105177221
LANGLOG,0.0523191945308594,0.051941760637295775,0.0655004303131124,0.009050877311835293,-0.00037743389356362234,0.013181235782252998,-0.043268317219024105,0.01355866967581662,-0.04289088332546048,-0.0564495530012771
MEDICAL,0.0070456102987862534,-0.01929493532680171,0.11390245747589167,0.043499043977055396,-0.026340545625587963,0.10685684717710542,0.03645343367826914,0.13319739280269338,0.0627939793038571,-0.07040341349883628
