DATASET,RFDTBR,RFPCT,Ada300,CLR,PSt
ABPM,0.956656346749226,0.9368258859784284,0.9628482972136224,0.8964497041420119,0.895800933125972
ARABIC200,0.6878544885585762,0.6997576345128453,0.5859558612783033,0.6553531696647433,0.688310431585059
BIBTEX,0.4565998562644733,0.4492034086698777,0.404163052905464,0.3791882320893489,0.4350926249563089
BIRDS,0.5621621621621623,0.5478547854785479,0.5430894308943088,0.3333333333333333,0.4612736660929432
CAL500,0.4636839047065659,0.4827243350733283,0.4704248007604006,0.3319071910482146,0.4504128784719326
CHD_49,0.6495176848874599,0.643956043956044,0.5995575221238938,0.6959775491113189,0.6369426751592356
COREL5K,0.2566798703637018,0.2563754747693977,0.1663778162911612,0.1484160471502243,0.117852893834418
DELICIOUS,0.3660752821648874,0.3685720708212676,0.1965654199658833,0.5560072598481682,0.1126188017788762
EMOTIONS,0.7135969141755064,0.7185261003070624,0.6582809224318658,0.6818181818181819,0.6699702675916749
ENRON,0.6046800579830193,0.6020953602736797,0.5159548355424645,0.5195059792197608,0.5459108973018197
FLAGS,0.762778505897772,0.7768817204301075,0.7378129117259553,0.7063492063492064,0.6925133689839572
FOODTRUCK,0.5873493975903613,0.5997045790251109,0.4769475357710652,0.4659400544959128,0.5850746268656716
GENBASE,0.9862637362637364,0.9793672627235211,0.984869325997249,0.9365721997300944,0.9601100412654746
GNEGATIVEGO,0.9448491155046826,0.9532710280373832,0.94238683127572,0.9453044375644992,0.95010395010395
GNEGATIVEPSEACC,0.658682634730539,0.6506506506506506,0.6412776412776413,0.5402985074626865,0.6652806652806653
GPOSITIVEGO,0.9127906976744188,0.9159420289855073,0.9565217391304348,0.9011627906976746,0.9360465116279072
GPOSITIVEPSEAAC,0.6706586826347305,0.6568047337278107,0.6504065040650406,0.6453333333333333,0.7151162790697675
HUMANGO,0.7722772277227723,0.779647107098892,0.7277375372816361,0.7911366434140336,0.7821043910521955
HUMANPSEAAC,0.4318181818181818,0.4189690721649484,0.3049685893774985,0.364963503649635,0.4283347141673571
LANGLOG,0.2711198428290766,0.2188006482982172,0.2191780821917808,0.2056194125159642,0.2620689655172413
MEDICAL,0.7934990439770554,0.7864534336782691,0.8127939793038571,0.6795965865011637,0.75
NG20,0.6984263057987876,0.6748340990301174,0.6670056661339532,0.5975299330630717,0.6588913970403811
OHSUMED,0.5675150879034375,0.5525126019851374,0.4378772112382934,0.5258805673313445,0.5285514571459297
PLANTGO,0.7571428571428571,0.7970802919708029,0.7831149927219795,0.7652916073968706,0.7496382054992764
PLANTPSEAAC,0.3780821917808218,0.3641231593038822,0.2719665271966527,0.3291139240506329,0.4167872648335745
PROTEINS_HUMAN,0.5940482874789444,0.7046186895810955,0.8562532433834976,0.5738476011288806,0.5894039735099338
PROTEINS_PLANT,0.4765217391304348,0.6259314456035767,0.8820678513731826,0.4725415070242657,0.4677419354838709
PROTEINS_VIRUS,0.575,0.6533333333333333,0.8859060402684563,0.4883720930232557,0.44
REUTERSK500,0.5207165322029262,0.5144105996448574,0.460431654676259,0.4657429769925003,0.5212069456305152
SCENE,0.7602114368092263,0.7615457115928369,0.7594264471587893,0.792364990689013,0.7790189412336085
SLASHDOT,0.5774011299435028,0.5331781140861467,0.514839491217444,0.4719848053181386,0.5388919977616116
STACKEX_CHESS,0.3520933424845573,0.3219271831371475,0.3244665302543116,0.2168453292496172,0.3143211407315561
STACKEX_CS,0.4098282189012391,0.3956485355648535,0.3217705894871249,0.2238413878562577,0.4010526315789473
STACKEX_PHILOSOPHY,0.3434725658564983,0.2918683446272991,0.2734225621414913,0.0991872158699545,0.3028626745954916
TMC2007_500,0.7922632103688934,0.754113961695547,0.5509368145662112,0.732056475400165,0.7079694752576507
VIRUSGO,0.8571428571428572,0.8944099378881988,0.8333333333333333,0.7487179487179488,0.8322981366459627
VIRUS_PSEAAC,0.467065868263473,0.4852071005917159,0.4767441860465116,0.4590163934426229,0.5217391304347827
WATER_QUALITY,0.6264602010323281,0.6314655172413792,0.5236923076923077,0.5845464725643896,0.5659418243434059
YEAST,0.675064838829196,0.6822519083969466,0.598270126413839,0.6251115075825155,0.6678885630498533
YELP,0.8156396517079706,0.8021183591123067,0.6749614395886888,0.6880643340857788,0.711195054945055
