DATASET,RFPCT,PSt,RFDTBR,EBRJ48,TREMLC,VBS,VBS_value,SBS_RFPCT,SBS_PSt,SBS_RFDTBR,SBS_EBRJ48,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
ABPM,0.9580143972345154,0.9308723812418088,0.9685749017075348,0.976058424661437,0.9760869152310584,['TREMLC'],0.9760869152310584,0.01807251799654297,0.04521453398924957,0.007512013523523597,2.8490569621397732e-05,0.0,0.01807251799654297,RFPCT,0.01807251799654297,RFPCT,0.01807251799654297,RFPCT,0.01807251799654297,RFPCT,0.01807251799654297,RFPCT,0.0,TREMLC,0.01807251799654297,RFPCT,0.01807251799654297,RFPCT
ARABIC200,0.9589177834844298,0.981452170203722,0.9701017402154952,0.9748712757590456,0.9184042758592672,['PSt'],0.981452170203722,0.0225343867192922,0.0,0.011350429988226773,0.006580894444676355,0.06304789434445479,0.0225343867192922,RFPCT,0.0,PSt,0.0,PSt,0.011350429988226773,RFDTBR,0.011294938902506435,"RFPCT,RFDTBR,PSt",0.0,PSt,0.011294938902506435,"RFPCT,RFDTBR,PSt",0.011294938902506435,"RFPCT,RFDTBR,PSt"
BIBTEX,0.9093840049826876,0.904576755545874,0.9121621452355314,0.897941239258076,0.7604496354110127,['RFDTBR'],0.9121621452355314,0.0027781402528438415,0.007585389689657385,0.0,0.0142209059774554,0.15171250982451867,0.0,RFDTBR,0.0142209059774554,EBRJ48,0.0,RFDTBR,0.0,RFDTBR,0.0142209059774554,EBRJ48,0.0,RFDTBR,0.0142209059774554,EBRJ48,0.0,RFDTBR
BIRDS,0.920893198579623,0.8499491259218792,0.9049863425293636,0.8781084403168533,0.8872985523081125,['RFPCT'],0.920893198579623,0.0,0.07094407265774383,0.015906856050259433,0.04278475826276973,0.03359464627151054,0.0,RFPCT,0.015906856050259433,RFDTBR,0.015906856050259433,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.015906856050259433,RFDTBR,0.0,RFPCT,0.0,RFPCT
CAL500,0.8224240635871646,0.8047479116779416,0.8095014758912877,0.778149629973578,0.7348316075944845,['RFPCT'],0.8224240635871646,0.0,0.017676151909223003,0.012922587695876842,0.04427443361358663,0.08759245599268006,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR,0.012922587695876842,RFDTBR
CHD_49,0.7861820807387094,0.7571448910342676,0.7878803800665082,0.7739160206236589,0.7922007044043919,['TREMLC'],0.7922007044043919,0.00601862366568251,0.03505581337012431,0.004320324337883763,0.018284683780733002,0.0,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT,0.00601862366568251,RFPCT
COREL5K,0.8135632707678596,0.7679063156926489,0.8346836961600368,0.866786231769431,0.6043435184595174,['EBRJ48'],0.866786231769431,0.05322296100157142,0.09887991607678215,0.032102535609394245,0.0,0.26244271330991364,0.032102535609394245,RFDTBR,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48
DELICIOUS,0.7952895561715636,0.5573984525587438,0.857370193642566,0.877278245202055,0.6630661112269871,['EBRJ48'],0.877278245202055,0.08198868903049139,0.31987979264331123,0.01990805155948905,0.0,0.2142121339750679,0.01990805155948905,RFDTBR,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.0,EBRJ48,0.01990805155948905,RFDTBR,0.01990805155948905,RFDTBR,0.01990805155948905,RFDTBR
EMOTIONS,0.8833794162274111,0.8524064978678422,0.8793667886754734,0.844642818619167,0.8829479508992456,['RFPCT'],0.8833794162274111,0.0,0.030972918359568946,0.004012627551937764,0.038736597608244105,0.00043146532816551453,0.0,RFPCT,0.0,RFPCT,0.00043146532816551453,TREMLC,0.0,RFPCT,0.0014813642933677595,"RFPCT,TREMLC,RFDTBR",0.00043146532816551453,TREMLC,0.00043146532816551453,TREMLC,0.00043146532816551453,TREMLC
ENRON,0.9166787646350752,0.890451771759694,0.9137014972075392,0.9097928827409436,0.8672458432120773,['RFPCT'],0.9166787646350752,0.0,0.026226992875381216,0.0029772674275360123,0.00688588189413164,0.04943292142299793,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR,0.0029772674275360123,RFDTBR
