fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,"[1.99648114e-04 2.68331366e-05 6.84531987e-05 2.97497395e-04
 2.81387841e-04 3.83506625e-04 5.73485413e-04 7.28969561e-05
 3.52804224e-04 3.61718419e-04]","[8.23029172e-04 7.20133918e-04 1.46751556e-03 3.65574828e-04
 3.43425377e-06 9.25382557e-05 9.15556910e-05 1.31626393e-04
 5.95258516e-05 3.68185271e-04]","[0.00209145 0.0003833  0.00096024 0.00614129 0.00277903 0.00423715
 0.00896633 0.00108587 0.00803137 0.00791539]","[1.23018317e-05 2.29846034e-04 7.05772824e-04 4.51516508e-03
 3.48496861e-04 9.04432360e-04 4.99882580e-03 1.30090250e-04
 2.70756881e-03 1.65068256e-03]"
1,"[2.13019840e-04 2.95186565e-05 6.79598988e-05 3.24203914e-04
 2.84081167e-04 3.95264387e-04 6.41320517e-04 7.16490481e-05
 3.82432302e-04 3.79523895e-04]","[1.38317620e-03 1.23356309e-04 1.02343190e-03 1.31601227e-04
 6.80400529e-04 2.70395279e-05 6.61483373e-04 4.36163747e-04
 1.33348566e-07 4.21044318e-04]","[0.00203549 0.00038281 0.00096298 0.0062529  0.00276271 0.00424651
 0.00905062 0.00108726 0.00809717 0.00794916]","[2.25081547e-03 2.49643544e-04 5.96446130e-04 5.05058483e-05
 1.00125716e-03 5.29944033e-04 1.62699396e-03 7.43412029e-05
 7.55746030e-05 2.99826538e-04]"
2,"[2.00109639e-04 3.26525128e-05 7.55992057e-05 2.77462298e-04
 2.75010156e-04 3.82341712e-04 4.95822802e-04 7.92946350e-05
 3.54132422e-04 3.41054539e-04]","[8.29910683e-04 1.11785965e-06 9.85723741e-05 5.89156386e-03
 8.91945655e-04 1.50051895e-03 1.11439046e-02 7.86959413e-05
 5.73037410e-03 4.46600312e-03]","[0.00208235 0.00038776 0.00097755 0.00598328 0.00278401 0.00424644
 0.00871003 0.00108617 0.00778952 0.00770456]","[3.76362179e-04 5.15346225e-05 1.35165018e-05 1.08355894e-02
 1.49360033e-04 5.32526500e-04 1.52508158e-02 1.17836267e-04
 1.23816581e-02 1.00837060e-02]"
3,"[1.95660325e-04 3.20489856e-05 7.35041826e-05 3.31537115e-04
 2.81953367e-04 3.69597610e-04 5.60782571e-04 5.95026016e-05
 4.03550894e-04 4.34108506e-04]","[2.13584046e-03 1.69459971e-05 1.22880306e-03 6.26279818e-05
 1.77229233e-03 1.24564944e-04 2.92994196e-03 9.57143495e-04
 1.44728982e-04 1.84625518e-03]","[0.00203312 0.00038546 0.00094581 0.00624912 0.00275453 0.00425578
 0.00899322 0.00107492 0.00808191 0.00789409]","[0.00234572 0.00014365 0.00128322 0.00020173 0.0013284  0.00015902
 0.00392322 0.00056819 0.00068583 0.00250251]"
4,"[2.07596236e-04 3.12383024e-05 7.10649269e-05 3.49072189e-04
 2.79277325e-04 3.62590487e-04 6.02340025e-04 7.45442779e-05
 4.33687603e-04 4.47388980e-04]","[0.00103773 0.00040078 0.00188098 0.00091173 0.00272832 0.00571295
 0.00389483 0.00054526 0.00010354 0.00017359]","[0.0020908  0.00038706 0.00094301 0.00621177 0.00278202 0.00421234
 0.00903518 0.00106892 0.00807305 0.00795629]","[3.84546562e-05 7.96475715e-05 1.39502138e-03 1.69573921e-03
 2.28787728e-04 1.89670414e-03 2.24491520e-03 8.08005426e-04
 1.04037247e-03 1.46640681e-05]"
5,"[2.07651146e-04 3.26720579e-05 7.82136110e-05 3.63552113e-04
 2.84810560e-04 3.77666201e-04 6.42095580e-04 7.72839890e-05
 4.38184016e-04 4.54075947e-04]","[5.12632600e-06 6.62667944e-06 4.23053430e-05 5.57125377e-04
 9.61586781e-08 1.79785891e-05 4.55368471e-04 1.54450730e-05
 4.42230186e-04 2.92384273e-04]","[0.00209102 0.00038813 0.00097738 0.006179   0.00278442 0.00425974
 0.00900045 0.00108632 0.00803962 0.00786859]","[2.97151957e-05 3.68598671e-05 2.04383925e-05 3.00654927e-03
 1.32765641e-04 8.65421957e-07 3.63406109e-03 1.12192938e-04
 2.37761335e-03 3.52276598e-03]"
6,"[2.02414134e-04 3.07651517e-05 6.99020213e-05 3.26078969e-04
 2.81647838e-04 3.66401998e-04 5.71084299e-04 6.74815654e-05
 3.99960476e-04 3.98789499e-04]","[3.74002908e-06 9.32554700e-05 1.02322313e-03 8.96113671e-03
 1.34346706e-04 1.15068679e-03 8.59873517e-03 4.98672307e-04
 1.08826974e-02 1.60405112e-02]","[0.00207911 0.00037216 0.00087977 0.00556589 0.00272896 0.00407852
 0.00857701 0.00105553 0.00717826 0.00665052]","[0.00050612 0.00067555 0.00392469 0.0275312  0.00235113 0.00724957
 0.02057165 0.00134366 0.036832   0.05224545]"
7,"[6.99078442e-05 1.91577511e-05 5.55777682e-05 3.53457671e-04
 5.67566877e-05 1.21658830e-04 5.15926635e-04 6.62557094e-05
 4.10219037e-04 4.15647040e-04]","[0.0425455  0.00302965 0.00433504 0.00020112 0.0682818  0.07404201
 0.03689619 0.00011661 0.00479197 0.00640365]","[0.0008855  0.00027344 0.0007656  0.00606514 0.000719   0.0018291
 0.00865103 0.00107454 0.00749877 0.00715469]","[0.04825065 0.00462425 0.00849174 0.00756112 0.08274951 0.09722608
 0.01761077 0.00058317 0.02401154 0.03207874]"
8,"[1.38318779e-04 2.45265052e-05 6.31526237e-05 3.28418030e-04
 1.65620732e-04 2.25682488e-04 5.24024299e-04 6.81741242e-05
 3.82089843e-04 3.80832042e-04]","[4.77508829e-07 1.05961041e-06 3.69120091e-04 7.05441533e-06
 2.95975529e-06 3.96150046e-04 3.86120455e-06 3.30626016e-04
 1.35820901e-05 4.78231871e-04]","[0.00209038 0.00038905 0.00095281 0.00619604 0.00278628 0.00424507
 0.00901387 0.00106371 0.00804145 0.00779711]","[5.53019390e-05 4.57411674e-08 1.00299861e-03 2.32483412e-03
 5.85286078e-05 5.87268625e-04 3.09726320e-03 1.01659106e-03
 2.30425554e-03 6.38188275e-03]"
9,"[1.42847894e-04 2.42666380e-05 6.32474588e-05 3.22216456e-04
 1.68302747e-04 2.34784544e-04 5.53453026e-04 6.84936677e-05
 3.76767942e-04 3.76883849e-04]","[1.29889789e-07 2.24579189e-05 1.59018510e-05 1.22028928e-03
 1.91719314e-05 1.89061020e-05 1.24559877e-03 7.61551389e-05
 1.57383726e-03 9.57588484e-04]","[0.0020916  0.00038901 0.00097786 0.00625406 0.00278737 0.00425944
 0.00909129 0.00108912 0.00809878 0.00795643]","[6.59930611e-06 1.62761376e-06 9.94502510e-07 4.16719163e-06
 1.47816499e-05 1.27174895e-05 2.78299956e-07 7.75801870e-08
 1.10034822e-05 9.23319634e-06]"
