fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.00027630102888866995,2.9032289833896286e-05,0.0027790283935071967,0.00034849686130912483
1,0.00028255211163212183,0.00012876125498812328,0.002762709386080998,0.0010012571583570542
2,0.0002984633218388469,9.07403323844403e-05,0.0027840068142042686,0.00014936003342623017
3,0.00028412247078100407,0.002012656649465105,0.002754530771210908,0.001328401753160678
4,0.0002827860013803463,0.006672647555848902,0.0027820211218494355,0.00022878772761958794
5,0.00028310860219470796,6.439954301989236e-05,0.002784421674010015,0.00013276564119634406
6,0.0003153054137096758,0.0012305732973219871,0.0027289625950154637,0.0023511288009784464
7,5.755322529456531e-05,0.06606289265857214,0.0007190031012090395,0.0827495085532354
8,0.00017560290169041606,1.9527338855942882e-07,0.0027862775998446832,5.852860780965016e-05
9,0.0001701856517678829,7.663278631371861e-07,0.002787371273792506,1.4781649896718433e-05
10,0.0001599394321967829,0.0018976504459281053,0.0026892688516712824,0.003938878534745707
11,0.0001882003803910862,0.0007651548654435353,0.0027823943867412784,0.0002138571319458167
12,0.00018505926643012347,2.4235757873284614e-05,0.002784106976624901,0.00014535353660095494
13,0.0001935912639877986,5.898719470254741e-05,0.0027789799746756098,0.0003504336145725784
14,0.00018791197040223786,1.3262557697519394e-06,0.0027600213489676483,0.0011087786428910452
15,0.00018744802118380728,1.063896995225384e-05,0.002779185732700039,0.0003422032935954247
16,0.00018497258797504896,0.0008850467389656789,0.0027276587538846483,0.0024032824462110153
17,0.00017535591521659075,3.997903690707463e-05,0.002775918192949492,0.0004729048836172873
18,0.00019018439539546063,7.930136571401986e-07,0.0027603908851469685,0.0010939971957182608
19,0.0001875936676487102,5.2129645926475706e-05,0.002787702329587963,1.539418078457105e-06
20,0.00020242926587232856,0.00011682916364938257,0.002786666204878854,4.2984406442807864e-05
21,0.00019667130598526692,1.0084669097148242e-05,0.0027729727962760107,0.0005907207505565247
22,0.000192331803871902,0.00014178186197638193,0.002771600480127974,0.0006456133964780268
23,0.00018695436014035233,4.7189334174316005e-05,0.002763217956206661,0.000980914353330536
24,0.0001750488590057831,8.840134090075022e-05,0.002744232409768076,0.0017403362108739174
25,0.00016762103312061388,0.0010871671140808496,0.0027593631139451254,0.0011351080437919494
26,0.00018323500943365477,2.751790126180963e-05,0.002782107680522024,0.0002253253807160113
27,0.00018785713684254165,0.0007532333663754323,0.00277998719868472,0.0003101446542081462
28,0.00017260408659864243,0.0014591454405714153,0.0027388043181687583,0.001957459874846612
29,0.00017607766142750507,2.201941316147204e-06,0.002770505245428524,0.0006894227844560052
30,0.00017579074784216728,3.7256797775073206e-05,0.002763180939544627,0.0009823950198119275
31,0.0001784975566002597,0.0021379291362014262,0.002755468539202455,0.0012908910334987794
32,0.0001773270931116197,0.000863677705329383,0.002784412689474149,0.00013312502263100167
33,0.00018901076454383726,9.528247934545688e-05,0.0027868741863068466,3.466514932312612e-05
34,0.0001901397158601952,0.0005043709509528385,0.002786659884144663,4.3237235810459565e-05
35,0.00018600885646909024,4.850435607069605e-05,0.0027814085996380414,0.00025328861607535664
36,0.00018133340118640996,0.0001081058924993881,0.002757775596788186,0.001198608730069528
37,0.0002427600171788026,0.0010741020749057725,0.0027609394929935657,0.0010720528818543443
38,0.00017624172283196756,9.447394018898722e-06,0.002784872162005674,0.00011474612137005909
39,0.00017654354558157548,0.00021484853087733324,0.0027254015950587997,0.0024935687992449725
