fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,8.0399848713425e-05,0.0018821877190506086,0.000960244479978963,0.0007057728243028969
1,7.708636522432862e-05,0.0027582367252879927,0.0009629776473441728,0.0005964461296945075
2,8.838385729486597e-05,0.0005377873334642695,0.0009775508880415819,1.3516501798148658e-05
3,8.542168834856904e-05,0.0009271262145459221,0.0009458082062511009,0.0012832237734173829
4,9.264976440097141e-05,0.0005136812370361984,0.0009430132659761317,0.001395021384416149
5,9.16087928169223e-05,0.0005818975716831899,0.00097737784077358,2.0438392518219472e-05
6,9.009915352500555e-05,0.0018040326868980546,0.0008797715617625209,0.003924689552960583
7,7.768010691027973e-05,0.005922736941721902,0.0007655952268741731,0.00849174294849449
8,8.661892056290218e-05,0.0002350031975181332,0.0009528138353900959,0.001002998607857577
9,8.608628333712586e-05,0.0003040814034266038,0.0009778639380237765,9.945025103689898e-07
10,7.94649959042874e-05,0.0011094382245969378,0.0009379795373449396,0.0015963705296638377
11,8.634776228468057e-05,0.00011605575003474469,0.0009574377705769474,0.0008180412003835199
12,8.500546797531742e-05,0.0008926212146736799,0.000977887386466152,5.656481534248883e-08
13,8.693340146749238e-05,7.824132520694997e-07,0.000977023190006634,3.462442319606762e-05
14,8.017917564758787e-05,1.401415308768883e-06,0.0009506009354212291,0.0010915146066122613
15,8.937985921602163e-05,1.4906460855383009e-05,0.0009777189145590238,6.795441100450141e-06
16,8.285919723166691e-05,9.668079810218227e-05,0.0009617596324404071,0.0006451667258451409
17,8.493927972679801e-05,3.0092756062179276e-05,0.000977567680698914,1.284479550486355e-05
18,7.660684936316946e-05,0.0002591768439238509,0.0009440274307559669,0.0013544547932227396
19,7.872930084923773e-05,0.0020158934879009045,0.0009571501174616285,0.0008295473249962769
20,8.660753671273264e-05,0.00048713485893652755,0.0009735352258536936,0.00017414298931368164
21,8.45371326103726e-05,0.00026386140027305786,0.0009724336996773217,0.0002182040363685492
22,8.621302655824887e-05,6.1294329455076706e-06,0.0009773932773153486,1.9820930847483065e-05
23,8.517093746864328e-05,0.0001210590348613488,0.000972719025965697,0.00020679098483353543
24,8.391171416887344e-05,0.0005360241685479644,0.000911815583517353,0.0026429286827672972
25,7.777190636013673e-05,0.0014864431988460634,0.0009278032219152086,0.0020034231468530803
26,7.916126374866514e-05,0.0009325702886760535,0.0009131578304851376,0.0025892388040559145
27,7.986962479675894e-05,0.00025813494044320647,0.000934137075841636,0.001750068989795985
28,7.581372568083782e-05,0.0006685993435699176,0.0009650511032228778,0.0005135078945463022
29,7.721353204387716e-05,0.00023664585902030694,0.0009703024346113975,0.0003034546390055104
30,7.881035049365362e-05,3.0380644854168684e-05,0.0009778850676985052,1.4931552121234501e-07
31,8.032626388223249e-05,0.00026557748076021194,0.0009701154245585706,0.0003109350411185887
32,7.892330457270355e-05,0.00020743843556684778,0.0009605679000200066,0.0006928360226611501
33,7.658383942392495e-05,0.0010133206422373415,0.0009204971781353496,0.0022956648980474344
34,7.977686068261764e-05,1.0729662457479633e-05,0.0009774914279602582,1.5894905051102178e-05
35,7.900062069333123e-05,2.8759325428565958e-05,0.0009772841110208233,2.418758262847564e-05
36,7.833880894883945e-05,0.00017996430092280107,0.0009337443541376269,0.0017657778579563384
37,8.045381405919688e-05,3.653844968962818e-06,0.0009676401137568467,0.00040994747318755064
38,8.364513047792048e-05,1.2549179179150739e-05,0.0009703602624776819,0.0003011415243541462
39,7.642744030387149e-05,0.0002524161996180868,0.000976485346745693,5.613815363370597e-05
