fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,[0.00038968 0.00062972 0.0003909  0.00048546 0.00124092],[0.01231884 0.01550314 0.01760315 0.02288979 0.02252356],[0.00405713 0.00800127 0.00397359 0.00526651 0.01203686],[0.00358362 0.003176   0.00562861 0.0074701  0.01614382]
1,[0.00044653 0.00071632 0.00047088 0.00057642 0.00126059],[0.00272884 0.00610939 0.00476151 0.00792484 0.00143236],[0.00405433 0.00778781 0.00396765 0.00527174 0.0123252 ],[0.00369541 0.01171431 0.00586603 0.00726111 0.00460996]
2,[0.00045576 0.00069295 0.00049167 0.0006344  0.00121616],[0.00086272 0.00449331 0.00084462 0.00029205 0.0030438 ],[0.00414423 0.00805908 0.00410694 0.00545227 0.01221905],"[9.97211643e-05 8.63543147e-04 2.94630716e-04 3.98106603e-05
 8.85633239e-03]"
3,[0.0004466  0.00071835 0.00047252 0.00062365 0.00123167],"[1.92584431e-04 2.83586150e-03 4.14565897e-07 3.57539935e-04
 2.14909182e-03]",[0.00413485 0.00806292 0.0041119  0.00544834 0.01240807],"[4.74819336e-04 7.09808602e-04 9.61382749e-05 1.96890381e-04
 1.29552228e-03]"
4,[0.00047192 0.00070337 0.00050677 0.00063888 0.00123818],"[8.75213988e-05 9.34631346e-04 7.42645545e-04 2.36311133e-03
 2.17194494e-03]",[0.00398989 0.00794744 0.00392014 0.00511365 0.01207815],[0.00627322 0.00532936 0.00776658 0.01358475 0.01449206]
5,[0.00039459 0.00060545 0.00043543 0.00058624 0.00125392],[0.00772436 0.00863937 0.00646029 0.00539724 0.00161072],[0.00380814 0.00770963 0.00381013 0.00508787 0.01234577],[0.01354312 0.01484159 0.0121669  0.01461579 0.00378753]
6,[0.0004662  0.0007052  0.00050864 0.00067511 0.00109497],"[1.44372554e-03 6.15352781e-04 6.02809181e-04 6.31913493e-05
 2.64820936e-02]",[0.00395183 0.00777382 0.00401727 0.00543683 0.0108248 ],[0.00779541 0.01227414 0.00388132 0.00065763 0.06462625]
7,[0.00042933 0.00045064 0.00047438 0.00061985 0.00116494],"[2.87828969e-03 6.70217976e-02 2.45968098e-05 7.04362735e-04
 9.28549181e-03]",[0.00386031 0.00541244 0.00407622 0.00544773 0.01149966],[0.01145626 0.1067291  0.0015235  0.00022151 0.03763159]
8,[0.00047401 0.00061864 0.00051695 0.00066821 0.00120854],"[3.13750745e-04 1.21836374e-04 3.70527312e-04 2.87034769e-06
 2.28030364e-03]",[0.00413976 0.00806612 0.00410752 0.00539481 0.0124156 ],[0.0002784  0.00058186 0.00027131 0.00233825 0.00099422]
9,[0.00044033 0.0005653  0.00047805 0.00061026 0.00118176],[0.00359193 0.0053865  0.00295722 0.00381439 0.01076776],[0.00413909 0.00807512 0.00410552 0.00544474 0.0124345 ],[0.00030513 0.00022198 0.00035132 0.00034096 0.00023798]
