fold,train_score,test_score,train_score_dummy,test_score_dummy
0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.5384615384615384, 0.7435897435897436, 0.6410256410256411, 0.7692307692307693, 0.6410256410256411, 0.5641025641025641, 0.7692307692307693, 0.5384615384615384, 0.7692307692307693, 0.717948717948718]","[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5128205128205128, 0.7435897435897436, 0.6410256410256411, 0.7435897435897436, 0.6410256410256411, 0.5641025641025641, 0.7435897435897436, 0.5384615384615384, 0.7435897435897436, 0.6923076923076923]","[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[0.5384615384615384, 0.717948717948718, 0.6666666666666666, 0.7435897435897436, 0.6153846153846154, 0.5897435897435898, 0.7435897435897436, 0.5641025641025641, 0.7435897435897436, 0.6923076923076923]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.5384615384615384, 0.717948717948718, 0.6410256410256411, 0.7692307692307693, 0.6153846153846154, 0.5641025641025641, 0.7692307692307693, 0.5641025641025641, 0.7692307692307693, 0.717948717948718]","[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
4,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.5128205128205128, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6410256410256411, 0.5641025641025641, 0.7692307692307693, 0.5384615384615384, 0.7692307692307693, 0.717948717948718]","[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[0.5384615384615384, 0.7435897435897436, 0.6410256410256411, 0.7435897435897436, 0.6410256410256411, 0.5641025641025641, 0.7435897435897436, 0.5384615384615384, 0.7435897435897436, 0.6923076923076923]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.5128205128205128, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5641025641025641, 0.7435897435897436, 0.5384615384615384, 0.7435897435897436, 0.717948717948718]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5384615384615384, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5641025641025641, 0.7435897435897436, 0.5384615384615384, 0.7435897435897436, 0.717948717948718]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[0.5384615384615384, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5641025641025641, 0.7435897435897436, 0.5641025641025641, 0.7435897435897436, 0.6923076923076923]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[0.5128205128205128, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5641025641025641, 0.7435897435897436, 0.5641025641025641, 0.7435897435897436, 0.6923076923076923]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
10,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.5128205128205128, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5641025641025641, 0.7435897435897436, 0.5384615384615384, 0.7692307692307693, 0.717948717948718]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
11,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[0.5128205128205128, 0.717948717948718, 0.6410256410256411, 0.7435897435897436, 0.6153846153846154, 0.5897435897435898, 0.7435897435897436, 0.5641025641025641, 0.7435897435897436, 0.6923076923076923]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
