fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,"[0.0002509  0.00078732 0.00042803 0.00084283 0.0016367  0.0003422
 0.00163243 0.00168068 0.00041219 0.00146227]","[0.00134084 0.00049612 0.00027578 0.00267288 0.00020574 0.00283279
 0.00022748 0.00151167 0.0008659  0.00466577]","[0.00234524 0.00855193 0.00453268 0.01079149 0.01762662 0.00391578
 0.02050977 0.01895761 0.00446302 0.01861529]","[0.00095413 0.00018242 0.00033455 0.00598941 0.00030216 0.00241865
 0.00216247 0.00101105 0.0040813  0.00915507]"
1,"[0.00026152 0.0007937  0.0004493  0.00088147 0.00167289 0.00037835
 0.00172568 0.00170256 0.00043809 0.00147345]","[6.03391943e-04 1.27296565e-04 8.28421446e-05 1.96582127e-03
 1.28497985e-03 1.13338633e-03 3.90993099e-04 4.75594074e-06
 3.09360231e-03 2.85576403e-03]","[0.00236907 0.00855578 0.00453469 0.01054441 0.01763369 0.00397063
 0.02016097 0.01898008 0.0041338  0.01834058]","[9.15760810e-07 2.86572699e-05 2.54152418e-04 1.58725350e-02
 1.93274063e-05 2.24556357e-04 1.61145768e-02 1.12125015e-04
 1.72500637e-02 2.01436729e-02]"
2,"[0.0002523  0.00076092 0.00038051 0.0008254  0.00160469 0.00031956
 0.00161968 0.00161198 0.00043958 0.00144147]","[7.67045546e-05 5.94778841e-05 4.56104150e-03 4.25391493e-03
 1.09395498e-06 3.45477918e-03 3.18817535e-03 3.57882634e-03
 3.30738315e-03 5.35200475e-06]","[0.00235741 0.00855241 0.00449835 0.01093538 0.01760459 0.00396653
 0.02056283 0.01890969 0.00454533 0.01882723]","[4.67121505e-04 1.63515846e-04 1.70768076e-03 2.34003429e-04
 1.18338239e-03 3.88527475e-04 3.98896238e-05 2.92804639e-03
 7.88739258e-04 6.77400751e-04]"
3,"[0.00024806 0.00072066 0.00041373 0.00078626 0.00152351 0.00036934
 0.0015297  0.0015204  0.00038164 0.00129962]","[8.41465933e-04 5.42988922e-03 8.71945789e-05 1.64517216e-03
 1.05464303e-02 3.86917888e-04 1.33464638e-04 6.89324790e-03
 1.30527206e-02 9.74870614e-04]","[0.00236178 0.00847724 0.00453723 0.01084972 0.01749947 0.00397568
 0.02051674 0.0188651  0.00422397 0.01878617]","[2.92364415e-04 3.17025311e-03 1.52167596e-04 3.66011232e-03
 5.38809845e-03 2.26865880e-05 1.88357693e-03 4.71153524e-03
 1.36431424e-02 2.31969760e-03]"
4,"[0.0002677  0.00079369 0.00042362 0.0008701  0.00170428 0.00036963
 0.00170022 0.00168596 0.00043204 0.00152819]","[1.55734069e-04 3.54433495e-05 1.12420734e-05 2.14011029e-03
 4.25875530e-05 8.32916437e-05 3.45046652e-03 6.76266066e-06
 2.72638094e-03 2.46157343e-03]","[0.00236706 0.00854117 0.00454098 0.01090674 0.01762796 0.00397485
 0.02051059 0.01896942 0.00446925 0.01880675]","[8.10775172e-05 6.13033307e-04 2.39289391e-06 1.37957444e-03
 2.48226452e-04 5.56129240e-05 2.12953900e-03 5.38825322e-04
 3.83187399e-03 1.49687904e-03]"
5,"[0.00027535 0.00078977 0.00042296 0.00087461 0.00171222 0.00034525
 0.00173612 0.00170776 0.00041983 0.00157209]","[1.42331989e-04 1.52263732e-03 2.68928377e-04 6.07851592e-05
 7.33905404e-04 1.99696261e-05 3.89145883e-04 5.11752610e-04
 2.19187544e-03 5.85423170e-04]","[0.00236223 0.00855626 0.00452651 0.01094047 0.0176296  0.00397482
 0.02055166 0.01897179 0.00456323 0.01882225]","[2.74465125e-04 9.26828637e-06 5.81350452e-04 3.02106189e-05
 1.82860791e-04 5.69152717e-05 4.86793961e-04 4.43811075e-04
 7.29453463e-05 8.76611684e-04]"
6,"[0.0002726  0.00079612 0.00042468 0.0008748  0.00172196 0.00036858
 0.00174245 0.00171827 0.00041263 0.00156713]","[3.53988689e-04 3.48105754e-05 8.87447089e-03 1.74575239e-03
 6.10813227e-04 5.68362542e-03 5.27511325e-04 1.00209027e-02
 2.27359702e-03 2.74808793e-03]","[0.00236909 0.00854164 0.00429983 0.01086831 0.01761905 0.00373395
 0.02049032 0.01884654 0.0045431  0.01879528]","[4.86657496e-08 5.94195889e-04 9.64851461e-03 2.91663175e-03
 6.04999458e-04 9.69190158e-03 2.94050813e-03 5.45392873e-03
 8.77920046e-04 1.95549716e-03]"
7,"[0.00026303 0.00076901 0.0003023  0.00083104 0.00164767 0.00021972
 0.00161907 0.00152716 0.00041657 0.00139767]","[6.30234827e-04 4.02433343e-05 2.95526057e-02 2.19063827e-03
 3.51964420e-04 3.88141976e-02 5.17086588e-03 3.17739454e-02
 2.82471184e-03 1.56511255e-02]","[0.00232968 0.00854379 0.00327568 0.01060417 0.01753732 0.00222487
 0.01995687 0.01795837 0.00434615 0.01854789]","[0.00157629 0.00050806 0.05061443 0.01348224 0.00387415 0.07005499
 0.02427849 0.04098048 0.00875589 0.01185126]"
8,"[0.00026743 0.00077845 0.00035539 0.00082517 0.00167082 0.00028304
 0.00164132 0.00157455 0.0004375  0.00144354]","[1.54924892e-04 1.01765634e-03 5.06468904e-04 1.33686174e-04
 1.96671044e-03 1.22162461e-03 5.76439598e-04 8.82822297e-05
 4.13652657e-04 1.19740282e-04]","[0.00236251 0.00848202 0.00454088 0.01093145 0.01750885 0.00397157
 0.02053144 0.01890128 0.00453477 0.0188317 ]","[2.63099247e-04 2.97907910e-03 6.51598713e-06 3.91101107e-04
 5.01282057e-03 1.86805783e-04 1.29575598e-03 3.26424642e-03
 1.21136467e-03 4.98580648e-04]"
9,"[0.00026338 0.00076511 0.00034525 0.00078505 0.0016606  0.00027906
 0.00160489 0.0015622  0.00042462 0.00142397]","[1.82085241e-04 5.84864852e-03 2.10638946e-03 6.08857351e-03
 3.96680297e-03 1.04985865e-03 4.16481985e-03 9.35199920e-04
 2.41135731e-06 1.03258709e-03]","[0.00236881 0.00832685 0.00452155 0.01084092 0.01738836 0.00395184
 0.02045274 0.01886756 0.00453864 0.01881281]","[1.10025964e-05 9.18576580e-03 7.79749878e-04 4.01224948e-03
 9.83258998e-03 9.76001207e-04 4.44346707e-03 4.61290892e-03
 1.05625527e-03 1.25445725e-03]"
