fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0014314994417075181,0.001629248941121574,0.018615290623478994,0.009155065150152441
1,0.0014147204990272283,0.0016920640898562672,0.018340575428811012,0.020143672936871606
2,0.0014109771072743354,0.00011455833725416085,0.01882723223345813,0.0006774007509871199
3,0.001210539235001852,0.00043049827825516855,0.018786174812264973,0.0023196975987130764
4,0.0014177999861636466,0.002109929008872243,0.018806745276122663,0.0014968790444058922
5,0.001461774708092096,3.1190185570928873e-06,0.018822251960129044,0.0008766116841500991
6,0.001471229072586578,0.0010743904974052166,0.018795279823223605,0.0019554971603678796
7,0.001289089401092532,0.014773173300472458,0.01854788585142408,0.011851256032348809
8,0.001392732137953477,7.300369051301048e-07,0.018831702736043465,0.0004985806475733414
9,0.0013684088663107625,0.00327587024933292,0.01881280582103477,0.0012544572479211442
10,0.0013627000000926578,0.0013757768158379395,0.01879125686954777,0.0021164153074015187
11,0.0012593953712021185,0.09646460567447665,0.0185164233244686,0.013109757110568193
12,0.0018523892687697574,0.11555681822251654,0.01882017369328045,0.0009597423580941704
13,0.001403881955122875,8.84848950798819e-06,0.018840360649291628,0.00015226411764669742
14,0.0014042350191255416,8.714426776507304e-05,0.018634903129866612,0.00837056489464756
15,0.0013609485820249932,0.0022314767536046353,0.018815276260626426,0.0011556396642548208
16,0.001392345088551786,8.052605574181616e-06,0.0188081050365993,0.0014424886253400105
17,0.0013016970766074633,0.004096697826350341,0.018702607327905702,0.005662396973084039
18,0.0013747445742979846,0.0027663856555874104,0.01826016781227727,0.023359977598221247
19,0.0012959943594754526,0.00023923754579282245,0.018800149387823966,0.0017607145763533288
20,0.0013356736410728462,0.0057032307880326314,0.01875826275143513,0.003436180031906814
21,0.0012126686502110379,0.0018454860684660312,0.018813765210023214,0.0012160816883837273
22,0.001304067527363076,0.0012227036927247728,0.018573039522620263,0.010845109184501522
23,0.001207350219068149,1.8121841555669153e-05,0.018836813412458086,0.0002941535909886355
24,0.0012183088528719666,0.02078735745905106,0.01785817087426399,0.03943985511875259
25,0.001426304365233067,0.04222842878741837,0.016460115261821413,0.09536207961645535
26,0.0012212265310543367,0.06757231112550996,0.013563461142717457,0.21122824438061394
27,0.0011377536102328315,0.05771580592288717,0.01292206932918277,0.23688391692200136
28,0.001300477483040324,0.00021050961995231008,0.018753280690526154,0.0036354624682658314
29,0.0012691008107971438,4.066383531347418e-06,0.01874932259820043,0.0037937861612950654
30,0.001295125118496775,0.00011511315832257859,0.018754026380869166,0.0036056348545456256
31,0.0013147119735781806,0.001758669038860879,0.01883742447584583,0.0002697110554790314
32,0.0012647608844694744,0.004728694479287151,0.018660003221511023,0.007366561228871115
33,0.001277789320690438,4.726251531797261e-06,0.0188042056827495,0.001598462779332069
34,0.0011464808527099641,0.020464294166180425,0.017962260070948803,0.03527628725135981
35,0.0012617904651771377,4.2371049128894866e-05,0.018843374923685194,3.169314190434084e-05
36,0.0013107903339640433,0.0004713298702818098,0.018761756681569666,0.0032964228265253675
37,0.0012410396485007596,0.0007121527814674674,0.018812874221284998,0.0012517212379121918
38,0.0012632797269086194,0.0017190444895124112,0.018732741821403262,0.004457017233181518
39,0.0012622484839440353,0.00016384884468806222,0.018807002730586195,0.0014865808658642947
