fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0014967247391791379,0.00022329598898203226,0.020509769800923155,0.0021624663306162866
1,0.0016246473373325804,7.237953657399036e-06,0.020160967038266465,0.01611457683688392
2,0.0016102260075942592,0.002688836345529849,0.0205628342185947,3.988962375439394e-05
3,0.0015608077877465934,0.00033746899683969613,0.02051674203583983,0.001883576933949262
4,0.0016153003185291532,0.0032089151348531526,0.020510592984074073,0.0021295390045795452
5,0.0015995195525062046,9.163977296450818e-05,0.020551661610163006,0.0004867939610222036
6,0.0016399165719015267,2.44352539654672e-06,0.020490318755889005,0.002940508131982392
7,0.0016256311015958147,0.004041723115670096,0.01995686932132753,0.024278485514441336
8,0.0015804426457764061,0.001009712795788011,0.020531437559564988,0.0012957559849430644
9,0.0015726000876754998,0.003389905489447936,0.02045274478233644,0.004443467074084739
10,0.001579683579544944,5.285761653087358e-05,0.02056002581671063,0.0001522256991170142
11,0.0014844182116960096,0.07178512287395349,0.020358349225349688,0.008219289353554801
12,0.0015184090667670338,0.15413442432360144,0.02053369774491437,0.0012053485709675167
13,0.001458982876346547,0.0007882122161205644,0.020532562158677853,0.0012507720204283665
14,0.0014787824035418738,0.0022192256504353363,0.02046984742204002,0.003759361485941372
15,0.0014383750381497683,0.0031667959004053866,0.020393502324585266,0.006813165384131567
16,0.0014471588945150825,0.00014307361617011975,0.020499941069135417,0.002555615602125872
17,0.0014235861906264236,0.0031364220125179023,0.020537987776835655,0.0010337472941163257
18,0.0015144183666089162,0.004580476736211882,0.020205277334338884,0.014342164993987095
19,0.0015322123041688503,0.00010566989833954817,0.020558978124432015,0.00019413339026172607
20,0.001468301957033497,0.0043765640521189215,0.020461984239430964,0.004073888790303876
21,0.0014224628946094369,0.0026373229300774865,0.020499036024616838,0.0025918173828687074
22,0.001449885644582845,0.0001893765432778511,0.020258745457286783,0.012203440076071027
23,0.0014498991772188318,0.0001955401905063508,0.020513566786283036,0.002010586916221205
24,0.001442047967287994,0.013775763416589155,0.02025271983794682,0.012444464849669604
25,0.001506010303113178,0.0489569212286338,0.0171451466330809,0.13674739304430653
26,0.001321583901947088,0.09140480222728893,0.013192394116429721,0.29485749371035364
27,0.0013541395847267333,0.016210311713121723,0.016453928490335362,0.16439611875412802
28,0.001507751840452466,0.00038971600697708386,0.020459354684468866,0.004179070988787816
29,0.0014421094166596838,0.0018016073403516603,0.020563498029353627,1.333719339754477e-05
30,0.0014236394661164815,0.00013413550508855073,0.020521284979171113,0.0017018592006980268
31,0.00140452766785426,0.004080978926186226,0.020547978121964728,0.0006341334889533051
32,0.0013864457645878165,0.0008840019149742245,0.020460783066412917,0.00412193571102558
33,0.0013842354269131567,0.000384466747898861,0.020495300421750438,0.0027412414975250413
34,0.0013124090253837423,0.020054171026574325,0.018819258629416906,0.0697829131908662
35,0.0014052072696768975,0.0017749725801745652,0.020563495979386125,1.3419192097350935e-05
36,0.0014171676870737022,0.00036440831666347575,0.020542782502695388,0.0008419582597271279
37,0.0013769559694801208,9.525011067114006e-05,0.02045191946585446,0.004476479733364185
38,0.0013874206583452684,0.0003854559789261658,0.020489892400788617,0.002957562335997919
39,0.0013941989612983397,0.014110188722362473,0.019874972207958513,0.027554370049202314
