fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,[0.00308529 0.00328265 0.00293884 0.00339624 0.00316973],[0.19404894 0.21573803 0.23712237 0.15677675 0.28495236],[0.04347096 0.03995498 0.0542312  0.04571595 0.05815446],[0.11935611 0.14165326 0.1288708  0.10705247 0.17881975]
1,[0.00391916 0.0041094  0.003976   0.0040139  0.00437995],[0.03785774 0.0312686  0.04694998 0.03620673 0.01362448],[0.04623591 0.04327286 0.05720825 0.04809236 0.06259871],[0.00875817 0.0089382  0.00978879 0.01199622 0.00104984]
2,[0.00412981 0.0042257  0.00432538 0.00407861 0.00469518],"[4.69881710e-05 7.99599468e-06 1.93902658e-05 3.27889991e-03
 8.16007011e-04]",[0.04535367 0.04261025 0.05621351 0.04768202 0.06167844],[0.04404768 0.03544273 0.04957869 0.02840954 0.03786068]
3,[0.00377797 0.00385964 0.00395813 0.00372842 0.00445817],[0.08462688 0.07770137 0.10389994 0.08898135 0.0420749 ],[0.04336042 0.04069535 0.05328881 0.04551101 0.06050325],[0.12377767 0.11203871 0.16656643 0.11524999 0.0848683 ]
4,[0.00440592 0.00446633 0.00446365 0.00432141 0.0047812 ],[0.00191037 0.00444612 0.00109671 0.0029911  0.00104009],[0.04609567 0.04308112 0.05693006 0.04802373 0.06245387],[0.01436797 0.01660768 0.02091667 0.01474121 0.00684324]
5,[0.00447805 0.00458718 0.00450435 0.00448073 0.00481183],"[1.92144982e-03 1.26027680e-03 2.06276509e-05 1.35348129e-03
 1.07211146e-03]",[0.04645148 0.04347642 0.05744758 0.0483603  0.06262401],"[1.35622804e-04 7.95956973e-04 2.15799228e-04 1.27855808e-03
 3.78139112e-05]"
6,[0.00440528 0.00450389 0.0044881  0.00435667 0.00472073],[0.00714404 0.01422183 0.00761483 0.03209273 0.01458107],[0.04314139 0.04018685 0.05368092 0.04304956 0.0582555 ],[0.13253901 0.13237843 0.15088191 0.21370828 0.17477828]
7,[0.00442348 0.00458508 0.00443337 0.00413152 0.0046899 ],[0.00435868 0.00152658 0.00354477 0.07578626 0.02557039],[0.04462626 0.04216518 0.05530686 0.04225602 0.05888914],[0.07314441 0.05324543 0.08584453 0.24544964 0.14943271]
8,[0.00442959 0.00457782 0.0044452  0.00428727 0.00486377],[0.00180273 0.00043889 0.0046517  0.00242102 0.00353716],[0.04627442 0.04324039 0.0574299  0.04820081 0.06251874],[0.00721786 0.01023705 0.00092276 0.00765811 0.00424866]
9,[0.00447843 0.00458487 0.00463387 0.00443136 0.00516318],[0.02333678 0.01845371 0.00511498 0.01689315 0.01010198],[0.04645486 0.043496   0.0572244  0.04837308 0.06252536],"[5.05844518e-08 1.25452402e-05 9.14270458e-03 7.67239695e-04
 3.98380744e-03]"
10,[0.00471938 0.00474369 0.00490302 0.00459301 0.00502013],[0.01322359 0.00958797 0.00236733 0.00554754 0.01052605],[0.04578383 0.04299371 0.05725677 0.0481     0.06203108],[0.02684141 0.02010406 0.00784792 0.01169042 0.02375506]
11,[0.00498299 0.00502953 0.00509997 0.00474716 0.00531536],"[1.80477588e-03 2.55765875e-03 5.73144888e-05 6.77484599e-03
 3.69064805e-03]",[0.04644969 0.043492   0.05738367 0.0483894  0.06235557],[0.00020716 0.00017276 0.0027722  0.00011436 0.01077529]
12,[0.00435181 0.00426123 0.00448439 0.00402833 0.00460972],[0.15946051 0.1937028  0.11355569 0.18741994 0.14782091],[0.04246473 0.03923757 0.05379393 0.04405602 0.0576196 ],[0.15960557 0.17034994 0.14636168 0.17344987 0.20021405]
13,[0.00451023 0.00455957 0.00460687 0.00422977 0.00488398],[0.03717197 0.0443957  0.03261563 0.04147705 0.04374959],[0.04299576 0.04002449 0.05413795 0.04447813 0.05846289],[0.13836436 0.13887297 0.13260084 0.15656532 0.16648268]
14,[0.0045222  0.00452661 0.00475954 0.00426492 0.00499605],"[5.65455222e-05 3.21206968e-04 1.64025896e-08 1.37878630e-04
 2.43623861e-04]",[0.04640172 0.04340026 0.05744663 0.04817992 0.06262494],"[2.12588022e-03 3.84213748e-03 2.53845180e-04 8.49385950e-03
 4.50705063e-07]"
15,[0.00442855 0.00451787 0.00446741 0.00408546 0.00449089],[0.02022717 0.02242158 0.03254893 0.02777103 0.04713229],[0.04375773 0.04078472 0.05465756 0.04482232 0.05838382],[0.10788559 0.10846382 0.11181646 0.14279757 0.16964543]
16,[0.00439613 0.0043736  0.00452833 0.00415239 0.00472764],"[9.32809949e-04 9.45082315e-05 7.28319038e-03 1.08350745e-03
 3.75747948e-06]",[0.04640523 0.04342493 0.05744348 0.04788839 0.06235462],[0.00198549 0.0028553  0.00037972 0.02015498 0.01081353]
17,[0.00443677 0.00442782 0.00482388 0.00414983 0.00494316],[0.00571436 0.00698901 0.00325315 0.01090871 0.00100671],[0.04549167 0.04258205 0.0566718  0.04701948 0.06199227],[0.03852783 0.03657054 0.03124682 0.05491112 0.02530718]
18,[0.00423419 0.0042907  0.0044621  0.00413606 0.00463109],[0.05296765 0.04368286 0.05187821 0.04203369 0.08595895],[0.04503263 0.04238847 0.05588109 0.04760525 0.05989804],[0.05688958 0.04431384 0.06287539 0.03148055 0.10907649]
19,[0.00350803 0.00364054 0.0038651  0.00348704 0.00396962],[0.09123728 0.06748361 0.06612626 0.05428811 0.06382538],[0.04154842 0.03972156 0.0531359  0.04514241 0.05857465],[0.19625765 0.15099006 0.17268275 0.12999393 0.16201235]
20,[0.00441841 0.00443746 0.0046992  0.00438034 0.0048926 ],[0.05797137 0.05538448 0.04510262 0.06181066 0.07452855],[0.04549801 0.04257816 0.05660793 0.04742352 0.06099336],[0.03827405 0.03672625 0.0338017  0.03874954 0.06526388]
