fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0028222855885371998,0.32747382807649966,0.05815446068446034,0.17881974838607145
1,0.004185905087791902,0.02340832507574655,0.06259870850191526,0.001049835687875101
2,0.0045911278361384636,7.731434098474634e-05,0.06167843733053322,0.03786068254315627
3,0.004602285854060065,0.04052432286694585,0.06050324689270225,0.08486830005639445
4,0.004707707443754608,0.0022844003326913465,0.062453873517730435,0.006843235055267744
5,0.004582748357833179,0.003471635112971255,0.06262400904633128,3.781391123313559e-05
6,0.004721286650969335,0.009711538109675875,0.05825549737538864,0.17477828074893997
7,0.004665363732183324,0.026676892425671055,0.058889136749175786,0.1494327057974532
8,0.004835571575408782,0.002054851145786848,0.06251873801681976,0.0042486550916937815
9,0.004688161514495809,0.02417897266932057,0.06252535920821432,0.003983807435911758
10,0.004578164197704778,0.0011233969511277434,0.06203107779740264,0.023755063868379278
11,0.0048826933583455325,0.009474364367065672,0.06235557202465834,0.010775294778151246
12,0.004547810581356186,0.08589013862998769,0.05761960318457693,0.20021404838140772
13,0.005002720996771444,0.03977748373502852,0.05846288741854853,0.16648267902254385
14,0.004825265266059606,1.881702261140981e-05,0.06262494312648555,4.5070506292265094e-07
15,0.004645668585240516,0.04861535597376389,0.05838381854344082,0.16964543402685217
16,0.00457037130106907,0.003155177796314713,0.062354616135315566,0.010813530351862277
17,0.00482439118791432,0.0006455427932099966,0.06199227478381124,0.02530718441203481
18,0.004462243820539664,0.0822655076919542,0.059898042051206295,0.10907649371623292
19,0.003949272479820056,0.06032317636299657,0.058574645701240206,0.16201234771487674
20,0.004529118193454487,0.08962633243743798,0.06099335736286113,0.06526388125003947
21,0.0040839984849725414,0.0010583134565508106,0.06262127435661483,0.00014720149989210415
22,0.004103915212330714,0.00560119707121145,0.061837864413105736,0.0314835992402551
23,0.004488904285715214,0.0003726875870600811,0.06154426293438289,0.043227658389169504
24,0.004467807866981651,0.16718417180027395,0.05917503819203065,0.1379966480832587
25,0.004546841133907827,0.054173166425553664,0.05954304907670106,0.12327621269644179
26,0.004455488375294079,0.00451666414798007,0.05948828232232641,0.12546688287142757
27,0.004507174961242743,0.0059153760285260764,0.05971267067758953,0.11649134866090372
28,0.004349444485483319,0.016028020061095473,0.062191664243189844,0.017331606036890504
29,0.004361050456458894,0.018188551214412384,0.062055496837891244,0.02277830224883451
30,0.004379824182047874,0.0040240909392914226,0.06239713731419451,0.009112683196705568
31,0.004454027667914251,0.00033656287062930736,0.0610205363251613,0.06417672275803299
32,0.004483051798588677,0.0006020978645295078,0.0604728410598724,0.08608453336958856
33,0.0044463058200541255,0.0054594380933311515,0.06010595715651265,0.10075988950397848
34,0.004323361851551825,0.0032239234752201966,0.062532708101361,0.0036898517100446802
35,0.004278046904717267,0.03621704400502506,0.06050156299542198,0.08493565594760569
36,0.00391919834587017,0.11104605596639633,0.062304095768823904,0.012834345011528907
37,0.004469689642960196,0.0018827119518380867,0.06253628113272211,0.0035469304556000262
38,0.004539903963792426,0.008704875121435718,0.06261719058856063,0.0003105522220595011
39,0.0044113494252877045,0.00808099588082301,0.06261723435970398,0.0003088013763254885
