DATASET,DEEP4,RFPCT,CC,Ada300,TREMLC,VBS,VBS_value,SBS_DEEP4,SBS_RFPCT,SBS_CC,SBS_Ada300,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
ABPM,0.1893004115226337,0.0843621399176954,0.1275720164609053,0.0493827160493827,0.0493827160493827,"['Ada300', 'TREMLC']",0.0493827160493827,0.139917695473251,0.034979423868312695,0.0781893004115226,0.0,0.0,0.034979423868312695,RFPCT,0.034979423868312695,RFPCT,0.034979423868312695,RFPCT,0.034979423868312695,RFPCT,0.034979423868312695,RFPCT,0.0,TREMLC,0.0,TREMLC,0.034979423868312695,RFPCT
ARABIC200,0.0214020559680182,0.0176870359794403,0.0189177612792689,0.020625356938892,0.0192033123929183,['RFPCT'],0.0176870359794403,0.0037150199885779,0.0,0.0012307252998286014,0.0029383209594517,0.0015162764134779988,0.0029383209594517,Ada300,0.0,RFPCT,0.0012307252998286014,CC,0.0012307252998286014,CC,0.0012307252998286014,CC,0.0012307252998286014,CC,0.0012307252998286014,CC,0.0012307252998286014,CC
BIBTEX,0.0124524094991691,0.015634925643129,0.0354536084642729,0.0130056162049599,0.0156580635661849,['DEEP4'],0.0124524094991691,0.0,0.0031825161439598994,0.023001198965103803,0.0005532067057908013,0.0032056540670158014,0.0005532067057908013,Ada300,0.0005532067057908013,Ada300,0.023001198965103803,CC,0.0032056540670158014,TREMLC,0.0005532067057908013,Ada300,0.0005532067057908013,Ada300,0.0005532067057908013,Ada300,0.011777202835447302,"CC,Ada300"
BIRDS,0.0508166969147005,0.0497277676950998,0.0551724137931034,0.0509981851179673,0.0462794918330308,['TREMLC'],0.0462794918330308,0.004537205081669694,0.003448275862069,0.008892921960072596,0.004718693284936494,0.0,0.008892921960072596,CC,0.008892921960072596,CC,0.008892921960072596,CC,0.004718693284936494,Ada300,0.004718693284936494,Ada300,0.004718693284936494,Ada300,0.004718693284936494,Ada300,0.004718693284936494,Ada300
CAL500,0.1427536231884058,0.1559970014992504,0.1715642178910544,0.1809845077461269,0.1667416291854073,['DEEP4'],0.1427536231884058,0.0,0.0132433783108446,0.0288105947026486,0.03823088455772111,0.023988005997001516,0.023988005997001516,TREMLC,0.023988005997001516,TREMLC,0.0132433783108446,RFPCT,0.023988005997001516,TREMLC,0.0132433783108446,RFPCT,0.030343161752457104,"CC,Ada300,TREMLC",0.0132433783108446,RFPCT,0.0132433783108446,RFPCT
CHD_49,0.3224043715846995,0.2950819672131147,0.3014571948998178,0.3296903460837887,0.2950819672131147,"['RFPCT', 'TREMLC']",0.2950819672131147,0.027322404371584785,0.0,0.006375227686703122,0.03460837887067403,0.0,0.0,RFPCT,0.0,RFPCT,0.0,TREMLC,0.0,TREMLC,0.0,RFPCT,0.0,TREMLC,0.0,RFPCT,0.0,RFPCT
COREL5K,0.0093925344432443,0.0144411369563499,0.0129580358789283,0.0120373541266036,0.0156542240720739,['DEEP4'],0.0093925344432443,0.0,0.005048602513105601,0.0035655014356839997,0.0026448196833592993,0.0062616896288296,0.0035655014356839997,CC,0.0026448196833592993,Ada300,0.0,DEEP4,0.0026448196833592993,Ada300,0.0026448196833592993,Ada300,0.0,DEEP4,0.0,DEEP4,0.0,DEEP4
DELICIOUS,0.2109024604357395,0.022524964583389,0.0187116057993619,0.0198468241402136,0.0330773064822225,['CC'],0.0187116057993619,0.1921908546363776,0.0038133587840270995,0.0,0.0011352183408517014,0.0143657006828606,0.0038133587840270995,RFPCT,0.0038133587840270995,RFPCT,0.1921908546363776,DEEP4,0.0038133587840270995,RFPCT,0.0038133587840270995,RFPCT,0.1921908546363776,DEEP4,0.1921908546363776,DEEP4,0.1921908546363776,DEEP4
EMOTIONS,0.328395061728395,0.1697530864197531,0.1895061728395061,0.2012345679012345,0.174074074074074,['RFPCT'],0.1697530864197531,0.1586419753086419,0.0,0.019753086419753013,0.031481481481481416,0.004320987654320901,0.0,RFPCT,0.0,RFPCT,0.004320987654320901,TREMLC,0.004320987654320901,TREMLC,0.004320987654320901,TREMLC,0.004320987654320901,TREMLC,0.004320987654320901,TREMLC,0.004320987654320901,TREMLC
ENRON,0.0525378687217645,0.0494552218974222,0.0777836832314642,0.0524049960138187,0.0510762689343608,['RFPCT'],0.0494552218974222,0.003082646824342297,0.0,0.028328461334042,0.002949774116396499,0.0016210470369385985,0.0,RFPCT,0.0016210470369385985,TREMLC,0.003082646824342297,DEEP4,0.0,RFPCT,0.0,RFPCT,0.003082646824342297,DEEP4,0.0030162104703694015,"DEEP4,Ada300",0.002949774116396499,Ada300
FLAGS,0.3207792207792208,0.2155844155844155,0.2753246753246753,0.2584415584415584,0.2285714285714285,['RFPCT'],0.2155844155844155,0.10519480519480529,0.0,0.059740259740259816,0.04285714285714293,0.012987012987013019,0.012987012987013019,TREMLC,0.012987012987013019,TREMLC,0.0,RFPCT,0.012987012987013019,TREMLC,0.012987012987013019,TREMLC,0.012987012987013019,TREMLC,0.012987012987013019,TREMLC,0.0,RFPCT
FOODTRUCK,0.8601598173515982,0.1546803652968036,0.1409817351598173,0.1877853881278539,0.1546803652968036,['CC'],0.1409817351598173,0.7191780821917809,0.0136986301369863,0.0,0.046803652968036596,0.0136986301369863,0.0136986301369863,TREMLC,0.0136986301369863,TREMLC,0.0136986301369863,RFPCT,0.0136986301369863,TREMLC,0.0136986301369863,TREMLC,0.0136986301369863,TREMLC,0.0136986301369863,RFPCT,0.0136986301369863,RFPCT
