fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,"[8.98274739e-04 9.62989596e-04 8.87542254e-04 1.05799446e-03
 3.76123208e-05 6.51930065e-05 1.12643944e-04 1.43092780e-04
 1.92588545e-04 1.31600815e-04]","[1.49008215e-03 1.12947627e-05 8.40058589e-03 6.93681611e-03
 1.24191498e-03 2.81463438e-03 1.99683578e-03 7.79582019e-03
 6.38829057e-03 7.00093564e-05]","[0.07014107 0.06820985 0.07550306 0.07879214 0.00043535 0.00065636
 0.00134977 0.00121615 0.00237452 0.00132166]","[4.99224869e-04 3.68320861e-03 2.12232098e-04 2.32792488e-04
 1.47042365e-03 1.36246093e-03 1.41382612e-03 5.66371116e-03
 5.76794418e-03 4.75204569e-07]"
1,"[9.22974010e-04 9.77316022e-04 9.45767921e-04 1.10464127e-03
 4.25397796e-05 7.98128854e-05 1.14726672e-04 1.70744629e-04
 2.08692450e-04 1.34039128e-04]","[8.72461803e-06 5.64129322e-05 6.08130150e-05 5.23604741e-06
 2.07672320e-05 2.34694086e-05 4.42897333e-07 8.26077920e-08
 2.72756883e-05 3.03604183e-05]","[0.06975563 0.06793316 0.07509787 0.0784011  0.00047156 0.00069032
 0.00138512 0.00135662 0.0025182  0.00132155]","[1.59168654e-02 1.47507398e-02 1.64199945e-02 1.58741525e-02
 2.21787906e-05 3.91432859e-06 2.86935947e-08 4.47280406e-05
 2.06120041e-05 4.61329424e-06]"
2,"[9.14085151e-04 9.67716534e-04 9.27123367e-04 1.07659371e-03
 4.23524923e-05 8.07857336e-05 1.11725326e-04 1.72222171e-04
 2.05340795e-04 1.29829278e-04]","[1.09489945e-02 1.27189379e-02 1.02455411e-02 1.12118093e-02
 6.62730476e-05 1.16771357e-05 1.55847361e-06 1.33587558e-04
 4.75056958e-05 2.17675511e-05]","[0.06970975 0.06775734 0.07508908 0.07836541 0.00046696 0.00069007
 0.00138505 0.00134956 0.00251227 0.00132157]","[1.77519533e-02 2.17832779e-02 1.67714239e-02 1.73016247e-02
 2.06069915e-04 1.39272562e-05 2.89277483e-06 3.27141718e-04
 2.57793576e-04 4.12539971e-06]"
3,"[9.66983889e-04 1.03533719e-03 9.63748609e-04 1.11300692e-03
 4.05145809e-05 7.78994159e-05 1.12477694e-04 1.65894525e-04
 2.01302911e-04 1.28527279e-04]","[2.28962975e-03 3.14255927e-03 3.23161824e-03 1.97906546e-03
 6.73787920e-05 8.09504756e-05 1.13123734e-05 6.22189125e-07
 1.33907614e-04 1.52785308e-04]","[0.06973846 0.06788933 0.07509155 0.07841607 0.00047211 0.00069042
 0.00138443 0.00135773 0.00251812 0.00132091]","[1.66037364e-02 1.65040322e-02 1.66728221e-02 1.52755377e-02
 1.50130126e-07 7.17146584e-08 2.76806498e-05 4.29368572e-07
 2.37536734e-05 3.05702419e-05]"
4,"[6.68765557e-04 7.05646969e-04 6.35847830e-04 8.20580177e-04
 4.50755034e-05 7.70506984e-05 1.19625598e-04 1.80498602e-04
 2.24927070e-04 1.34298012e-04]","[1.26071915e-01 1.28239093e-01 1.43813673e-01 1.40825456e-01
 9.23425625e-06 5.83785863e-04 4.08084768e-04 4.46175599e-04
 2.94545097e-04 1.56859795e-05]","[0.06963835 0.06771249 0.07480152 0.07821387 0.00046961 0.0006753
 0.00138296 0.00135241 0.0025187  0.00131582]","[2.06081211e-02 2.35775860e-02 2.82738523e-02 2.33633894e-02
 9.98931703e-05 6.04816398e-04 8.64078787e-05 2.13112061e-04
 4.88703426e-07 2.34011408e-04]"
5,"[9.41040197e-04 9.82253812e-04 9.61053537e-04 1.14169147e-03
 3.84425899e-05 7.99022638e-05 1.22795055e-04 1.75921748e-04
 2.22014902e-04 1.37481525e-04]","[4.53191651e-03 2.31621908e-03 7.71131215e-03 5.28283208e-03
 3.68348097e-04 4.20027259e-04 2.87680214e-05 1.57505507e-03
 6.02996141e-04 2.28946667e-04]","[0.06989371 0.06803919 0.07504317 0.07854683 0.0004721  0.00066073
 0.00138504 0.00132902 0.00251858 0.00128894]","[1.03936716e-02 1.05095989e-02 1.86076704e-02 1.00450128e-02
 3.21462199e-07 1.18753136e-03 2.97406282e-06 1.14877616e-03
 5.25107995e-06 1.30936320e-03]"
6,"[1.00168552e-03 1.00692156e-03 1.05298728e-03 1.21470957e-03
 4.44975840e-05 8.35509449e-05 1.16848294e-04 1.87287136e-04
 2.19030070e-04 1.32736917e-04]","[1.03909793e-03 9.18500402e-04 9.28518995e-04 4.60261195e-09
 3.71822702e-06 3.10969373e-06 1.03472872e-03 2.71716004e-08
 9.14392827e-04 9.24389054e-04]","[0.06969691 0.06789452 0.07507507 0.07834456 0.00047071 0.00069011
 0.00138511 0.00135734 0.00251749 0.00132144]","[1.82656282e-02 1.62964483e-02 1.73316636e-02 1.81360185e-02
 5.61427713e-05 1.22543025e-05 2.30741137e-07 1.59379277e-05
 4.91750551e-05 9.12196665e-06]"
7,"[1.01842781e-03 1.01689555e-03 1.04616246e-03 1.21139666e-03
 4.44401757e-05 8.34438520e-05 1.19513688e-04 1.83015356e-04
 2.21807609e-04 1.34806587e-04]","[2.18058282e-02 2.55340325e-02 2.46919351e-02 2.30387785e-02
 1.47033871e-04 8.96564787e-05 1.69524724e-05 7.05987148e-06
 6.41347004e-05 2.86371874e-05]","[0.07005358 0.06816827 0.07539608 0.07872469 0.00046967 0.00069006
 0.00138305 0.00135681 0.00250971 0.00131752]","[3.99870961e-03 5.34627217e-03 4.49132627e-03 2.93081296e-03
 9.76708410e-05 1.43035770e-05 8.27802936e-05 3.72203573e-05
 3.60286847e-04 1.65904051e-04]"
8,"[9.09707768e-04 9.38954375e-04 9.40358713e-04 1.07395983e-03
 4.40320913e-05 8.04262114e-05 1.14333805e-04 1.79477185e-04
 2.14118758e-04 1.30808245e-04]","[4.25366329e-03 4.07681446e-03 1.96012268e-03 2.64141031e-03
 1.87738528e-06 4.38770165e-04 1.91143388e-04 3.83245786e-04
 1.55134112e-04 5.07140506e-05]","[0.07012676 0.06829342 0.07550831 0.07877541 0.00046701 0.000666
 0.00138493 0.00135054 0.00251536 0.0013013 ]","[1.07173613e-03 3.40384937e-04 2.20189543e-06 9.01809674e-04
 2.04142861e-04 9.76781428e-04 7.32912176e-06 2.87833128e-04
 1.34110807e-04 8.14889393e-04]"
9,"[8.32670328e-04 8.49284076e-04 8.72084354e-04 1.01462885e-03
 4.20157421e-05 8.02891777e-05 1.24457326e-04 1.81624716e-04
 2.21099079e-04 1.35625473e-04]","[8.73541673e-04 2.49566317e-03 5.91378565e-04 7.34245486e-04
 4.16195680e-04 2.74310086e-05 6.04556907e-06 6.57324300e-04
 5.22563524e-04 7.72110780e-06]","[0.06975153 0.06774022 0.07509362 0.07839632 0.00045879 0.00069032
 0.00138512 0.00134662 0.00250532 0.00132156]","[1.60809405e-02 2.24681397e-02 1.65896618e-02 1.60652363e-02
 5.32830126e-04 3.96094798e-06 3.83591795e-09 4.44910447e-04
 5.35693257e-04 4.21131074e-06]"
