fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.00011727216442720511,0.006448128493166221,0.0012161465937300237,0.00566371115500083
1,0.00012070514641790982,5.764337194636139e-07,0.001356621171588805,4.472804064958779e-05
2,0.00011954841052813356,0.0002290799498951704,0.0013495608296540383,0.0003271417180402384
3,0.00010631779344874467,0.0013937479562542683,0.0013577286383907364,4.2936857233699544e-07
4,0.0001186386946756076,0.0005109379546160176,0.0013524115710918812,0.00021311206052653428
5,0.0001192366943020998,0.00010804930052560476,0.0013290199686769233,0.0011487761571248602
6,0.00011940775283883769,3.91092675556221e-07,0.0013573409244131789,1.5937927674626078e-05
7,0.00012203487143677306,9.426930194145242e-07,0.0013568088636726702,3.722035729498577e-05
8,0.0001237023863373141,8.72379437019602e-06,0.0013505435443934312,0.0002878331284645276
9,0.00011364491293684737,0.0006073873526019467,0.001346616611432187,0.0004449104469143099
10,0.00012082770659985392,0.0006293609473252552,0.0013539080752432379,0.00015325189447226432
11,0.00011778666612111205,0.0027724493072143097,0.0012876725704808693,0.002802672084967006
12,0.00012785130990674163,0.0013306777831810469,0.0013572226633255548,2.0668371179580872e-05
13,0.00012972182661513733,1.887278384065302e-05,0.0013564537792335129,5.1423734861261176e-05
14,0.0001282085565531651,3.2038528160707813e-06,0.0013569844556555104,3.0196677981351548e-05
15,0.00011607595351364759,0.001734704399350113,0.0013559080657442213,7.325227443294124e-05
16,0.00011252130952760804,0.0006097606928525505,0.0013245689440658272,0.001326817141568692
17,0.0001228479304293468,0.00010556014842296596,0.0013542132710446448,0.00014104406241599512
18,0.00011910326951768923,8.438420013363708e-05,0.0013576164087207303,4.918555372578409e-06
19,0.00012177128022217001,3.7348531567705084e-05,0.0013554570608553813,9.129246998653314e-05
20,0.0001179686776168988,8.050653832938884e-06,0.0013576858302923784,2.1416925066538517e-06
21,0.0001222368802263657,1.9200579075994132e-05,0.0013572811053463676,1.8330690347092665e-05
22,0.00012289216209686204,6.6136480671965545e-06,0.001355027585163054,0.00010847149767962617
23,0.00012714174945145458,3.0798902759841037e-07,0.0013575024470798528,9.477021007674368e-06
24,0.00011933793981638674,2.8915852872979443e-06,0.001357684177603476,2.2078000627401563e-06
25,0.00012586323406736424,1.1596542256456668e-07,0.0013355493126352472,0.0008876023987918943
26,0.0001482197859598795,0.0003874322669438185,0.0012828975289124363,0.002993673747704321
27,7.537491171207441e-05,0.020896733502512463,0.0005246610768354072,0.033323131830785495
28,0.00012841240188754397,4.4792743829352405e-06,0.0013569427709273151,3.186406710918593e-05
29,0.00012870216830643434,0.00018219858878826758,0.0013574310153224207,1.2334291304946611e-05
30,0.00011879624444987562,2.0613129265707717e-05,0.0013552135673852528,0.00010103220879168161
31,0.00012347795476690913,1.8506685083914486e-05,0.0013557523202128688,7.94820956870094e-05
32,0.00012099108618646669,5.0821823637550446e-08,0.001357143489954017,2.3835306041107327e-05
33,0.00012200199785974065,3.0489336192330464e-05,0.0013576983669532931,1.6402260700520249e-06
34,0.000123770793302486,7.183414566218063e-05,0.0013543831104606784,0.00013425048577465172
35,0.00011112783448470235,0.00386812215406959,0.0012947750354219058,0.0025185734873255576
36,0.00013239588421152854,5.071290128519607e-05,0.001342055403644871,0.0006273587584069488
37,0.00011119437539900801,1.191324710937183e-06,0.0013514571747560062,0.00025128791396154555
38,0.0001085003836277627,0.0004617201189762769,0.0013571545700975245,2.3392100300805854e-05
39,0.0001066617943521761,0.0021366442627009413,0.0013159218011122046,0.0016727028597135945
