fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,5.554551766349995e-05,0.003904303324494009,0.0006563572723784126,0.001362460934314521
1,7.583780064591644e-05,1.6435660981697155e-05,0.0006903209375216075,3.9143285867235306e-06
2,7.279384376536553e-05,3.395331026435963e-08,0.0006900706143306739,1.392725622406079e-05
3,7.268525253186238e-05,0.0004934422135829759,0.0006904170028698148,7.171465843009908e-08
4,7.070982893982024e-05,0.0005756813931921972,0.0006752983857793814,0.0006048163982757668
5,6.908731463151245e-05,2.829316418186789e-05,0.0006607305117310719,0.0011875313602081434
6,6.76909843509226e-05,9.928987970489152e-08,0.0006901124381738161,1.2254302498373923e-05
7,6.546367736166042e-05,0.00022100959019999444,0.0006900612063101736,1.4303577044071895e-05
8,6.868232328807362e-05,1.3945699170640222e-05,0.00066599926003328,0.0009767814281198238
9,6.665166413032725e-05,0.00017701727531524618,0.0006903197720368246,3.96094797803945e-06
10,6.22588186940551e-05,0.0014634532671476657,0.0006443638166521884,0.0018421991633634858
11,6.313782390755698e-05,0.001975553568688537,0.0006633278194922167,0.001083639049762353
12,7.467773925318524e-05,0.0008960315683236883,0.0006903583013986303,2.419773505803669e-06
13,7.163585504687583e-05,0.0001272709344579889,0.0006903150352576651,4.150419144418982e-06
14,6.86163583793466e-05,9.665418145788057e-05,0.0006832310671548711,0.0002875091432561885
15,6.6227086214077e-05,0.0015534542881156645,0.0006782881425866017,0.0004852261259869518
16,7.50123251442976e-05,0.0005852038546285651,0.0006819013690918418,0.00034069706577735334
17,7.62750483001774e-05,0.00013650655661107036,0.0006894384189540065,3.921507129076176e-05
18,7.300866572331665e-05,8.401560600652074e-06,0.0006849638949449128,0.0002181960316545077
19,7.25512362480677e-05,1.7390968504890214e-06,0.0006903974926935721,8.521217081449695e-07
20,7.078946362112289e-05,3.816696773110642e-09,0.0006902556379701346,6.52631064563745e-06
21,7.24904119599713e-05,2.755499713720294e-06,0.0006899296959274019,1.956399235494383e-05
22,7.335343544771107e-05,9.693882696220884e-06,0.0006897720565162725,2.5869568800117323e-05
23,7.726266647663799e-05,0.0002779555364171266,0.0006903532542299162,2.621660254374994e-06
24,7.019942843850465e-05,0.0005037599297831674,0.0006602376428548862,0.0012072461152555674
25,7.270530205321942e-05,5.733124407143554e-07,0.0006692693657601948,0.0008459771990432268
26,6.596900271745388e-05,0.0005701409199191833,0.0006178950737903475,0.0029009488778371207
27,4.558650600873569e-05,0.011546666015775236,0.0004525983278799973,0.009512818714251128
28,7.250826882381987e-05,2.1598394617960873e-06,0.0006901408937835938,1.111607810727295e-05
29,6.989957299529611e-05,5.35326319413388e-05,0.0006876769547795856,0.00010967363826760189
30,6.723155079249162e-05,7.277625648250348e-07,0.000690388720258858,1.2030190967107972e-06
31,6.84173959843233e-05,8.304524186075519e-07,0.0006903027337434828,4.642479711711643e-06
32,6.797124354839055e-05,5.707188707420355e-06,0.0006902846799368018,5.364631978949947e-06
33,6.627344548396271e-05,1.8408530447595673e-05,0.0006892947255760345,4.496280640963046e-05
34,7.155222632346622e-05,0.00038810245682937205,0.0006826412843954728,0.0003111004536321113
35,6.659944762531471e-05,0.0005819250800758459,0.0006727073246730789,0.0007084588425278638
36,6.706573485831017e-05,1.4723418869284909e-05,0.000689360503155652,4.233170322494351e-05
37,6.614431009356546e-05,3.799694437797491e-05,0.0006566558932337232,0.0013505161001020891
38,6.742623860790834e-05,3.861994677526074e-05,0.0006737007454021394,0.0006687220133654458
39,6.248097434067844e-05,0.0009715412271001877,0.0006388917144110896,0.002061083253007443
