fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,2.771559038486908e-05,0.0013661715087383646,0.0004353511232496704,0.001470423645791282
1,3.4559951971172064e-05,4.190332561846627e-05,0.0004715572446286642,2.217879063153453e-05
2,3.40620275482069e-05,0.00036978804745748116,0.0004669599665298839,0.00020606991458274336
3,3.6259843794220496e-05,1.3619325856931796e-05,0.00047210796114131247,1.5013012560478908e-07
4,3.772154042830335e-05,2.665998589792991e-05,0.00046961438513647494,9.989317031910757e-05
5,3.2082566755529615e-05,0.0006121744363878919,0.00047210367783947826,3.2146219896739966e-07
6,3.392409563179107e-05,4.887847523319925e-05,0.0004707081451126696,5.614277127130973e-05
7,3.276634543692423e-05,0.0003046482848461003,0.00046966994336990404,9.76708409819396e-05
8,4.285170864574013e-05,3.1687178012892e-05,0.000467008142869353,0.00020414286100397787
9,3.876556805821061e-05,0.00012561467127732652,0.00045879096124277753,0.0005328301260669937
10,3.5202744122779866e-05,0.0010104706109705253,0.0003956585171738113,0.003058127888825643
11,3.5104906358812955e-05,0.0005372548764038433,0.0004620901069736086,0.00040086429683375367
12,3.7614248547809866e-05,8.409511384554198e-05,0.0004711809122161342,3.723208713273035e-05
13,3.645182969366941e-05,4.9813716169898015e-05,0.00047145282281856857,2.635566303535775e-05
14,3.564518589532005e-05,1.55701579629514e-06,0.00045951025436420146,0.0005040584012100366
15,3.555556812654771e-05,1.573535600426069e-06,0.00046757630164989905,0.00018141650978213792
16,3.353411610696496e-05,8.611048850137505e-06,0.0004640409198703664,0.00032283178096344635
17,3.531626579140851e-05,3.483561055631132e-07,0.00047132378851301833,3.1517035257368365e-05
18,3.557100873761264e-05,1.7339565756598385e-08,0.0004681718433571708,0.00015759484149126626
19,3.5951855258731066e-05,1.4603874795756784e-05,0.0004693670998983847,0.00010978457984271043
20,3.703681439196363e-05,1.7829544197692885e-06,0.0004717080828401934,1.6145262170369306e-05
21,3.449050684937563e-05,6.211291346401567e-07,0.0004702174821229109,7.576929086166409e-05
22,3.523812236431198e-05,7.003424228901734e-05,0.00046610455087924777,0.00024028654060818434
23,3.556333224943191e-05,0.00014872981508890415,0.00047205847381266995,2.129623271306883e-06
24,3.306735761656236e-05,0.0005361137964224767,0.0004392940112235677,0.0013127081268353921
25,3.3356237651868356e-05,0.00030538548384293054,0.00047209921924379474,4.998060263122387e-07
26,3.602397417779941e-05,4.198110361400052e-05,0.0004720934807559675,7.293455394029773e-07
27,2.7693657988215926e-05,0.006655088498346262,0.0002914333056489363,0.007227136349820646
28,3.515929941821898e-05,1.1939963243923824e-06,0.000470096196073931,8.062073282085738e-05
29,3.852883552240135e-05,5.966642318365923e-06,0.00046722253097108616,0.0001955673369346514
30,3.7239729889080226e-05,1.5387894470947418e-05,0.0004690045994535693,0.0001242845976353278
31,3.978326764632227e-05,2.247685616474286e-05,0.00046904813916089246,0.00012254300934240545
32,3.8557688720996544e-05,1.0162630713803444e-06,0.00047081632306060316,5.181565335397358e-05
33,3.96086319775647e-05,1.2913753873542094e-07,0.00047051725190574653,6.377849954823872e-05
34,3.8643916771871826e-05,8.500828727596195e-05,0.00047119623174298283,3.661930605878875e-05
35,3.756975654971048e-05,0.0006182151785871389,0.0004582248584091765,0.0005554742394110397
36,4.0941623022988594e-05,6.9598246386277e-05,0.00046351763743312634,0.00034376307845304644
37,3.861346061177082e-05,7.897856523670634e-06,0.0004611942801683058,0.00043669736904586884
38,4.0970087776595585e-05,0.0004267940452391529,0.0004485553000855197,0.0009422565723573044
39,3.762180681471737e-05,3.93404747678962e-05,0.0004716053598618508,2.0254181304075465e-05
