fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,[0.00146468 0.00021096 0.00025757 0.00030036 0.00031887],[0.01542876 0.02219078 0.01593063 0.04538517 0.03395444],[0.07788805 0.00607065 0.00757209 0.00820423 0.00697187],"[4.90886014e-04 3.51161301e-08 1.48483034e-03 1.34866213e-03
 1.39976896e-03]"
1,[0.00157334 0.00029692 0.00032093 0.00048899 0.00045607],[0.00118784 0.00082625 0.0007411  0.00064583 0.0010294 ],[0.07695593 0.00595438 0.00747632 0.00812833 0.00689001],[0.03777557 0.00465088 0.0053154  0.00438494 0.00467401]
2,[0.00143425 0.00029239 0.00032149 0.00048635 0.00044232],"[1.03110925e-02 3.82540698e-04 1.26496488e-05 4.44047442e-04
 5.58240791e-04]",[0.07686462 0.00594709 0.00753096 0.00810092 0.00687725],[0.04142793 0.00494238 0.00313006 0.00548103 0.00518441]
3,[0.0014224  0.00029514 0.0003146  0.00049122 0.00047801],"[7.07407641e-05 8.66109642e-06 2.38120842e-05 2.36030528e-07
 9.18475677e-05]",[0.07722636 0.00603943 0.00757731 0.00820721 0.00696566],[0.02695853 0.00124857 0.0012761  0.00122971 0.00164806]
4,[0.00120905 0.00028232 0.00030282 0.00046362 0.00042646],[0.10260029 0.00103818 0.0023228  0.00350057 0.00289528],[0.07777818 0.00593501 0.00743426 0.00799661 0.00683482],[0.00488548 0.00542566 0.00699794 0.00965347 0.00688147]
5,[0.0012119  0.00024338 0.00028919 0.0004214  0.00040448],[0.00339528 0.01240471 0.00858448 0.0157777  0.01205918],[0.07757336 0.00490089 0.00643332 0.0066658  0.00585569],[0.01307842 0.04679014 0.04703575 0.06288603 0.04604704]
6,[0.00150418 0.00029721 0.00030569 0.00048208 0.00044457],"[4.67273981e-04 1.68833477e-05 1.03627599e-05 2.75754056e-05
 1.12346188e-03]",[0.07683244 0.00594275 0.00745311 0.00809722 0.00687724],[0.04271532 0.00511603 0.00624405 0.00562906 0.00518498]
7,[0.00187029 0.00030539 0.00032038 0.00049185 0.00044879],[0.00336862 0.00054649 0.00109271 0.00074683 0.00062431],[0.07790032 0.00597068 0.00747555 0.00812567 0.00693359],"[3.08148791e-33 3.99870961e-03 5.34627217e-03 4.49132627e-03
 2.93081296e-03]"
8,[0.00145256 0.00029637 0.00031477 0.00048369 0.00043011],[0.00077613 0.00151897 0.00110354 0.00081209 0.00148713],[0.07753728 0.00587807 0.00734883 0.0078838  0.00680222],[0.01452151 0.0077032  0.01041537 0.01416608 0.00818574]
9,[0.0015339  0.00027363 0.00028243 0.00043919 0.00042668],[0.00361488 0.00117113 0.00018564 0.00190109 0.00137781],[0.07724077 0.00603894 0.00760528 0.00820969 0.00697504],[0.02638195 0.0012684  0.00015704 0.0011306  0.00127281]
10,[0.00158467 0.00030354 0.00031051 0.00048343 0.00044462],[0.00012804 0.00020693 0.00341774 0.00183672 0.00103823],[0.07758282 0.00561654 0.006706   0.00744856 0.00647126],[0.01269996 0.01816412 0.03612839 0.03157558 0.02142412]
11,[0.00161232 0.00027666 0.00029515 0.00041454 0.00039744],[0.01266514 0.0017395  0.00023844 0.01537069 0.01016744],[0.06681458 0.00593993 0.00754086 0.00796113 0.00688231],[0.44342944 0.00522854 0.00273394 0.01107279 0.00498212]
12,[0.00140934 0.00027167 0.00028404 0.00045979 0.00043619],[0.05069196 0.00476985 0.00650998 0.0013421  0.00074356],[0.06302101 0.00589262 0.00740451 0.0080533  0.00682594],[0.59517244 0.00712108 0.00818814 0.00738604 0.00723696]
13,[0.00124742 0.00030066 0.00030369 0.00051294 0.00045477],[0.00458129 0.00174594 0.00126661 0.00172432 0.00348356],[0.07687674 0.0059346  0.00745357 0.00810931 0.00682594],[0.0409433  0.00544183 0.00622561 0.00514541 0.00723696]
14,[0.00111495 0.00029211 0.000297   0.00049515 0.00044738],[0.0009043  0.00037017 0.00045427 0.00049269 0.00057368],[0.07783107 0.00606754 0.00760601 0.00823711 0.00700644],"[2.77014943e-03 1.24159963e-04 1.27882987e-04 3.37954524e-05
 1.69019303e-05]"
15,[0.00088186 0.00029042 0.00029362 0.00045212 0.00045989],[0.02371817 0.00572145 0.00613917 0.01218545 0.00161395],[0.07712746 0.00602474 0.0075299  0.00813271 0.00672133],[0.03091421 0.00183639 0.00317219 0.00420954 0.01142106]
16,[0.00081501 0.0002809  0.00028049 0.00046952 0.0004047 ],[0.02800568 0.00144377 0.00127995 0.00430477 0.01402844],[0.07756059 0.0058788  0.00748799 0.00795674 0.0061665 ],[0.01358933 0.00767398 0.00484886 0.01124856 0.0336145 ]
17,[0.00122685 0.00030444 0.00030674 0.00050706 0.00046146],"[6.28219686e-05 5.14202204e-05 5.57829855e-05 1.19885317e-04
 6.68391637e-05]",[0.07714815 0.00601324 0.00753756 0.00819457 0.00694489],[0.03008696 0.00229626 0.00286581 0.00173531 0.00247874]
18,[0.00114967 0.00029412 0.00029875 0.00049103 0.00047799],"[3.26933623e-05 2.40931191e-06 5.65833216e-05 1.59179553e-05
 5.39671426e-05]",[0.07763258 0.00606542 0.00760912 0.00823795 0.00700382],"[1.07095263e-02 2.09272824e-04 3.65798766e-06 9.31439835e-08
 1.21543678e-04]"
19,[0.00113068 0.00029695 0.00029746 0.00048782 0.00046818],"[1.24617135e-06 3.21818977e-05 2.30724504e-06 5.65064993e-05
 1.37760485e-04]",[0.07690334 0.00596591 0.00746782 0.0081302  0.00692302],[0.03987937 0.00418953 0.0056557  0.00430988 0.00335353]
20,[0.00113122 0.00030177 0.00030482 0.00048708 0.00047398],[0.00031824 0.00022748 0.00022737 0.00029711 0.00023704],[0.07689404 0.00593368 0.00745696 0.00809136 0.00687333],[0.04025125 0.00547886 0.00608984 0.00586358 0.00534139]
21,[0.00137242 0.00028685 0.0002974  0.0004528  0.00042987],"[4.95108625e-03 4.27219502e-05 7.00026099e-05 6.50713026e-05
 8.97145780e-04]",[0.07713522 0.00600143 0.0075152  0.00815661 0.0069258 ],[0.03060417 0.0027686  0.00376039 0.00325363 0.00324245]
22,[0.00130384 0.00029434 0.00030241 0.00047299 0.00045529],[0.00013031 0.0005047  0.00014417 0.00026841 0.00026602],[0.07733036 0.00606284 0.0075817  0.008225   0.00699206],[0.02279845 0.00031223 0.00110032 0.00051784 0.00059198]
23,[0.00127154 0.00027499 0.00027534 0.00045446 0.00046004],"[2.98933913e-05 4.50699927e-07 8.92924552e-05 2.31015193e-06
 1.32825159e-06]",[0.07718352 0.00600953 0.00754443 0.00818077 0.00694673],[0.02867204 0.00244455 0.00259099 0.00228706 0.00240526]
24,[0.00129301 0.00026947 0.00026711 0.00048491 0.00047766],"[1.55515337e-03 6.00136353e-04 1.35466436e-06 9.89046673e-06
 2.09832342e-04]",[0.07750803 0.00603116 0.0076089  0.00823733 0.00699089],"[1.56915693e-02 1.57956718e-03 1.23373396e-05 2.49832197e-05
 6.38994456e-04]"
25,[0.00200361 0.0002627  0.0002715  0.0004633  0.00047141],"[9.74876757e-03 4.86469864e-05 4.69772050e-05 6.92016738e-05
 1.09047243e-04]",[0.06582213 0.00604841 0.00758801 0.00815119 0.00689806],[0.48312768 0.00088958 0.00084791 0.00347058 0.00435222]
26,[0.00203754 0.00026666 0.000287   0.00046383 0.0004728 ],"[1.42698018e-02 1.00041643e-07 1.25671129e-04 4.76990495e-04
 6.35821212e-04]",[0.06504684 0.00606714 0.00760619 0.00813001 0.00686733],"[5.14139175e-01 1.40382807e-04 1.20874803e-04 4.31764410e-03
 5.58124418e-03]"
27,[0.00161648 0.00026954 0.00027031 0.0004469  0.00044156],[0.07367464 0.00032878 0.01078759 0.00504367 0.00527682],[0.06898908 0.00598933 0.0071048  0.00819694 0.00693869],[0.35644977 0.00325257 0.02017646 0.00164044 0.00272694]
28,[0.00174383 0.00025957 0.00027016 0.00046917 0.00048388],"[1.05410667e-04 8.50150391e-05 1.38611264e-04 1.41156965e-04
 3.54635178e-04]",[0.07688031 0.00594244 0.00744683 0.00809752 0.00686919],[0.04080031 0.00512837 0.00649499 0.00561701 0.00550668]
29,[0.00208008 0.0002515  0.00027803 0.00043322 0.00044437],[0.03063668 0.00265601 0.00315192 0.00351653 0.00392672],[0.07762083 0.00607029 0.0076066  0.00823682 0.00700617],"[1.11795292e-02 1.41514129e-05 1.04503653e-04 4.50332511e-05
 2.77021223e-05]"
30,[0.00148826 0.00029705 0.00031439 0.00051116 0.00046421],[0.00025475 0.000512   0.00032781 0.00042409 0.00127381],[0.07716837 0.00603658 0.00755146 0.00820183 0.00698877],[0.0292778  0.00136263 0.00230997 0.00144481 0.00072354]
31,[0.00154098 0.00027952 0.00028727 0.00048342 0.00042704],"[3.21878329e-04 3.03696153e-06 4.90781627e-05 5.47109760e-09
 4.66970372e-03]",[0.07684123 0.00594943 0.00744638 0.00810911 0.00700686],"[4.23634561e-02 4.84887573e-03 6.51310071e-03 5.15359025e-03
 9.43705673e-33]"
32,[0.00160914 0.0002936  0.00030081 0.00050542 0.00046106],"[2.70958275e-04 7.80511098e-05 9.63109169e-05 5.06499330e-05
 3.82444301e-04]",[0.07683012 0.00592841 0.00743853 0.00808684 0.00685885],[0.04280816 0.00568945 0.00682719 0.00604423 0.00592062]
33,[0.00158207 0.00029583 0.00030111 0.00050102 0.00045645],"[3.85334797e-05 2.65070439e-06 2.21332516e-05 3.16622542e-05
 3.49228427e-04]",[0.07683115 0.00594756 0.00745651 0.00809022 0.0068606 ],[0.04276698 0.00492344 0.00610795 0.0059094  0.00585027]
34,[0.00170659 0.00027734 0.00028104 0.00048862 0.00044988],"[6.73205957e-04 1.77594983e-05 3.73601935e-05 1.14961213e-04
 1.12545913e-04]",[0.07734263 0.00603844 0.00758694 0.00822962 0.00696867],[0.02230765 0.00128842 0.00089061 0.0003333  0.00152751]
