DATASET,CLR,Ada300,RFDTBR,CC,RSMLCC,VBS,VBS_value,SBS_CLR,SBS_Ada300,SBS_RFDTBR,SBS_CC,SBS_RSMLCC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
ABPM,0.8209785025945143,0.9116125307714092,0.846936797158036,0.8450914825914825,0.877862703430683,['Ada300'],0.9116125307714092,0.09063402817689492,0.0,0.0646757336133732,0.06652104817992677,0.03374982734072629,0.09063402817689492,CLR,0.0646757336133732,RFDTBR,0.09063402817689492,CLR,0.0646757336133732,RFDTBR,0.0,Ada300,0.09063402817689492,CLR,0.07765488089513406,"CLR,RFDTBR",0.0646757336133732,RFDTBR
ARABIC200,0.6529156799117759,0.5428416676647222,0.6344181181696074,0.6099584601311455,0.6419851119890977,['CLR'],0.6529156799117759,0.0,0.11007401224705371,0.018497561742168545,0.042957219780630385,0.010930567922678214,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR,0.0,CLR
BIBTEX,0.3252597951434942,0.2562235192455347,0.3016704989461466,0.3404009062493134,0.2785258903022611,['CC'],0.3404009062493134,0.015141111105819227,0.08417738700377869,0.03873040730316679,0.0,0.0618750159470523,0.08417738700377869,Ada300,0.03873040730316679,RFDTBR,0.015141111105819227,CLR,0.015141111105819227,CLR,0.08417738700377869,Ada300,0.015141111105819227,CLR,0.015141111105819227,CLR,0.015141111105819227,CLR
BIRDS,0.2667245524374552,0.408670276093963,0.4079380356475679,0.2628670811525604,0.3446393189200612,['Ada300'],0.408670276093963,0.14194572365650782,0.0,0.0007322404463950827,0.1458031949414026,0.06403095717390178,0.14194572365650782,CLR,0.14194572365650782,CLR,0.14194572365650782,CLR,0.06403095717390178,RSMLCC,0.0,Ada300,0.14194572365650782,CLR,0.14194572365650782,CLR,0.14194572365650782,CLR
CAL500,0.1912568669644037,0.2161964596217092,0.2070819409600651,0.1744608330176743,0.1704377484102004,['Ada300'],0.2161964596217092,0.024939592657305498,0.0,0.009114518661644089,0.0417356266040349,0.04575871121150879,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR,0.024939592657305498,CLR
CHD_49,0.5779728671845396,0.4572224783922208,0.4630040857938975,0.5011367943197427,0.4656906351258071,['CLR'],0.5779728671845396,0.0,0.12075038879231875,0.11496878139064204,0.07683607286479688,0.11228223205873245,0.0,CLR,0.0,CLR,0.11496878139064204,RFDTBR,0.11496878139064204,RFDTBR,0.11496878139064204,RFDTBR,0.11496878139064204,RFDTBR,0.11496878139064204,RFDTBR,0.11496878139064204,RFDTBR
COREL5K,0.068693230849066,0.0382577010681173,0.0484739573991713,0.0084726776219847,0.0347163334190544,['CLR'],0.068693230849066,0.0,0.030435529780948704,0.020219273449894708,0.06022055322708131,0.03397689743001161,0.0,CLR,0.0,CLR,0.030435529780948704,Ada300,0.0,CLR,0.025327401615421706,"RFDTBR,Ada300",0.030435529780948704,Ada300,0.020219273449894708,RFDTBR,0.025327401615421706,"RFDTBR,Ada300"
DELICIOUS,0.4517065867862258,0.1377547950883845,0.1792403908471721,0.0887368943295253,0.1210600804318378,['CLR'],0.4517065867862258,0.0,0.3139517916978413,0.27246619593905375,0.3629696924567005,0.330646506354388,0.0,CLR,0.27246619593905375,RFDTBR,0.0,CLR,0.27246619593905375,RFDTBR,0.27246619593905375,RFDTBR,0.0,CLR,0.0,CLR,0.0,CLR
EMOTIONS,0.6711584623809431,0.6468686106366919,0.6978826193461756,0.6800993894222938,0.6547093164408154,['RFDTBR'],0.6978826193461756,0.02672415696523245,0.051014008709483694,0.0,0.017783229923881816,0.043173302905360145,0.02672415696523245,CLR,0.017783229923881816,CC,0.02672415696523245,CLR,0.02672415696523245,CLR,0.02672415696523245,CLR,0.02672415696523245,CLR,0.014835795629704829,"CLR,RFDTBR,CC",0.02672415696523245,CLR
ENRON,0.2293448974143034,0.2095653105351018,0.2074208439669795,0.227096235840105,0.1075831914862076,['CLR'],0.2293448974143034,0.0,0.01977958687920159,0.0219240534473239,0.002248661574198396,0.12176170592809579,0.0,CLR,0.0,CLR,0.01977958687920159,Ada300,0.0,CLR,0.013901213442175153,"CLR,RFDTBR,Ada300",0.0,CLR,0.01977958687920159,Ada300,0.0,CLR
