fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,"[0.00123823 0.00109305 0.00149161 0.00189248 0.00139726 0.00149731
 0.00079191 0.00055136 0.00260848 0.00272192]","[8.37295012e-03 2.87135183e-04 3.06342976e-03 2.56677357e-03
 5.55900900e-03 1.30722501e-03 1.66794564e-03 1.47480540e-03
 1.13692186e-03 2.19485068e-05]","[0.01573353 0.00694985 0.01000794 0.02478233 0.01415805 0.0140123
 0.00609628 0.00491995 0.02556562 0.02724485]","[7.62216713e-03 1.62947375e-03 2.68696870e-03 2.89918620e-03
 2.20320240e-03 1.25805313e-03 1.11963397e-03 1.31543423e-04
 1.81638988e-04 4.03251693e-06]"
1,"[0.00144401 0.00115646 0.00157906 0.00200319 0.00144472 0.00146533
 0.00080662 0.0005498  0.00260451 0.00269438]","[3.55988059e-03 6.90620923e-06 1.83456752e-04 1.09619391e-03
 3.25319292e-03 5.35960976e-03 8.60693236e-03 2.61552587e-04
 1.27711788e-03 3.82757863e-04]","[0.01557273 0.00698991 0.01006793 0.02484864 0.01389209 0.01378571
 0.00585987 0.0049198  0.02556741 0.02724492]","[1.40539548e-02 2.73425391e-05 2.87437088e-04 2.46788937e-04
 1.28415057e-02 1.03216268e-02 1.05760367e-02 1.37474694e-04
 1.09841048e-04 1.54866149e-06]"
2,"[0.00144895 0.00111273 0.00154857 0.00213029 0.00140128 0.00143127
 0.00079796 0.00049595 0.002615   0.00274226]","[4.40512057e-03 1.73190929e-04 2.25137795e-03 2.80712522e-04
 2.83139774e-03 1.29549400e-02 2.46180746e-03 3.67343755e-03
 1.29188143e-05 4.12204643e-03]","[0.01577793 0.00698786 0.01002967 0.02478609 0.0141042  0.01368917
 0.00610984 0.00485279 0.0255261  0.02701902]","[0.00584604 0.00010923 0.00181766 0.002749   0.00435707 0.01418325
 0.00057737 0.00281806 0.00176229 0.00903734]"
3,"[0.00129388 0.00103526 0.0015064  0.00183872 0.0012924  0.00134112
 0.00080525 0.00047713 0.00245571 0.00264135]","[0.0129982  0.02941273 0.00133812 0.00248388 0.0033053  0.00599531
 0.00411793 0.0182037  0.01480185 0.00017578]","[0.01543455 0.00636192 0.01006172 0.02471263 0.01420444 0.01370279
 0.00602021 0.00446471 0.02539726 0.02717666]","[0.01958108 0.02514673 0.00053585 0.00568726 0.00034763 0.01363852
 0.00416264 0.01834097 0.00691613 0.00273169]"
4,"[0.00140085 0.00113436 0.00138847 0.00210509 0.00145553 0.00144692
 0.00083409 0.00054863 0.00280545 0.00282274]","[7.03668121e-03 4.51477838e-03 7.99828492e-03 2.43379513e-03
 2.78650498e-04 3.07825524e-05 1.19380056e-03 4.94663432e-04
 3.18929285e-04 1.60797966e-03]","[0.01591416 0.00696813 0.01007268 0.0248381  0.01421061 0.01404123
 0.00607188 0.00491314 0.02549225 0.02721304]","[3.97050071e-04 8.98422329e-04 9.75751960e-05 6.68306288e-04
 1.00953837e-04 1.00964304e-04 2.09560110e-03 4.03836280e-04
 3.11646574e-03 1.27660692e-03]"
5,"[0.00152716 0.00110744 0.00149217 0.00213045 0.00143499 0.00147272
 0.00083036 0.00053983 0.00270721 0.0027496 ]","[0.01253639 0.01667842 0.00326216 0.00760788 0.00029512 0.0030086
 0.00061221 0.00518827 0.00175744 0.00090648]","[0.01550483 0.00671928 0.01000829 0.02449685 0.0141971  0.01389244
 0.00612185 0.0048544  0.02556417 0.0271295 ]","[1.67701222e-02 1.08521910e-02 2.67304627e-03 1.43185018e-02
 6.41388885e-04 6.05252809e-03 9.68170307e-05 2.75334633e-03
 2.39819049e-04 4.61834832e-03]"
6,"[0.00155806 0.00117598 0.00153866 0.00222366 0.001454   0.00156193
 0.00080323 0.00060699 0.00276662 0.00283427]","[3.06810402e-04 9.98843590e-05 9.39702318e-04 8.37362495e-05
 5.65772930e-05 1.72621765e-04 7.11115847e-04 4.26849984e-04
 3.66529784e-04 1.58446316e-03]","[0.0158901  0.00698937 0.01004508 0.02481611 0.01419082 0.01404363
 0.00612412 0.0049041  0.02554399 0.0272444 ]","[1.35931447e-03 4.89281719e-05 1.20131232e-03 1.54816897e-03
 8.92456745e-04 4.87936901e-06 6.13997030e-06 7.65356937e-04
 1.04664614e-03 2.19663354e-05]"
7,"[0.00117139 0.00088589 0.00116929 0.00180336 0.00148086 0.00157067
 0.00081958 0.00063096 0.00277303 0.0028285 ]","[9.15940719e-02 8.12053857e-02 1.12712627e-01 9.23869361e-02
 3.12566081e-04 1.09441125e-03 1.70842806e-06 2.57672232e-03
 3.60491245e-04 1.00963909e-03]","[0.01324014 0.00522555 0.00709652 0.02190289 0.0141172  0.01403608
 0.0061179  0.00476538 0.0254184  0.02724489]","[1.07357663e-01 7.06016233e-02 1.19143634e-01 1.18076973e-01
 3.83719937e-03 3.06848744e-04 2.54993269e-04 6.31424608e-03
 6.07053539e-03 2.39813090e-06]"
8,"[0.00133105 0.00103985 0.00131718 0.0019462  0.00152956 0.00155779
 0.00083232 0.00057508 0.00279343 0.00279925]","[5.20060825e-06 1.36793062e-03 2.00610920e-03 1.70049849e-05
 1.54182114e-03 2.21559380e-03 4.10137047e-05 6.09034187e-05
 1.07990027e-03 1.65371544e-03]","[0.01590073 0.00694825 0.01004222 0.0248434  0.01408454 0.01393206
 0.00612216 0.00492264 0.02547244 0.02716188]","[9.34257282e-04 1.69350690e-03 1.31586829e-03 4.56659693e-04
 5.14345189e-03 4.46765530e-03 8.45668785e-05 2.37884622e-05
 3.90898023e-03 3.32288795e-03]"
9,"[0.00133216 0.00103787 0.00132343 0.00201294 0.00150673 0.00158171
 0.00081058 0.00056992 0.00283839 0.00283217]","[3.59069569e-04 2.61816153e-04 5.03402415e-04 9.47058113e-03
 7.66402252e-06 1.71278131e-03 6.14150889e-03 1.49130089e-03
 6.58307919e-03 1.43409108e-02]","[0.01590726 0.00698868 0.01005974 0.02443632 0.01420574 0.0139794
 0.00585676 0.00489511 0.02520632 0.02665066]","[6.72868548e-04 7.64463414e-05 6.14960529e-04 1.67398260e-02
 2.95714454e-04 2.57435556e-03 1.07004066e-02 1.12504950e-03
 1.45537972e-02 2.37717429e-02]"
