fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0010605889758618938,0.002349530510089296,0.015733527275760426,0.007622167131422855
1,0.001058016380542826,0.002916605218328819,0.01557273258485996,0.01405395476744164
2,0.001069408939960318,0.006518356635089387,0.01577793049255696,0.0058460384595617676
3,0.0012548314044298955,0.01848477411212888,0.015434554515336417,0.0195810775483832
4,0.0011599997360041787,0.012082738941062088,0.015914155202279793,0.0003970500706484529
5,0.0012045140028899277,0.01130103932421365,0.015504828398111105,0.016770122237396056
6,0.001209322852114505,0.0003549074683246536,0.01589009859240008,0.001359314465836849
7,0.0009280260032741029,0.09253473547418505,0.013240139890316688,0.10735766254917266
8,0.0011004103720511267,0.0003024939978839672,0.01590072502199119,0.0009342572821924062
9,0.0011083963057643344,0.00025756518365176563,0.015907259740338374,0.0006728685483051144
10,0.0010526252757836387,0.00014122549129925242,0.015795669568804502,0.00513647540966004
11,0.0011902366722425014,0.009704533577644201,0.015859805972685406,0.002571019254423917
12,0.0012003315841898803,0.0012063199363804146,0.015575709063511708,0.01393489562137167
13,0.0011939800300285338,0.0003793377002427999,0.015919678187890134,0.00017613064623469806
14,0.0011431324960399657,0.0022880120756936543,0.015839484671828174,0.0033838712887132496
15,0.0010820663489012432,0.015432577959248498,0.01533439669868423,0.023587390214470923
16,0.0011018359906051242,1.5547237099175415e-05,0.015851271232447475,0.0029124088639410255
17,0.00106983952124364,0.007886612825506626,0.015821700065744074,0.004095255532077149
18,0.001112596288916373,0.0003605303336434227,0.015657746752676355,0.01065338805478591
19,0.0011495793892934204,0.0025242544689370217,0.01591000397785321,0.0005630990477118759
20,0.0011407045167595904,0.005215585814101164,0.015854266282363454,0.0027926068673018514
21,0.0010794349239988915,0.0016032069408065742,0.015868792885947235,0.0022115427239505175
22,0.0009353216124247763,0.009339815891039403,0.015595662337536948,0.013136764660362179
23,0.0012277217535986058,0.000117310636123416,0.015919919573231585,0.00016647523257653891
24,0.0010841244014861112,0.010751442162668252,0.015235663984768317,0.027536698771107464
25,0.0011283540675654576,0.028807169921235883,0.013073379420667898,0.11402808133512422
26,0.0012143213756678737,0.04077051631713142,0.012874627507618341,0.12197815785710633
27,0.0012081547584135578,0.0003614627805875448,0.014998246417532389,0.03703340146054439
28,0.001155525764959302,2.645641823073524e-05,0.015894865643774462,0.0011686324108614741
29,0.0011535873147010033,0.00035862737627745123,0.01588313466837387,0.0016378714268854642
30,0.001204376081819429,0.00010715051581529048,0.015924077498978458,1.5820270164756037e-07
31,0.001235055052660868,0.00037968424725750644,0.015912466852920363,0.0004645840450257363
32,0.0012120478776313618,0.00034662006514332824,0.015921330102109714,0.00011005407745138486
33,0.0011755121662505015,0.007166480390397864,0.015780849489999308,0.005729278561867722
34,0.001155989244904123,3.386423702095586e-05,0.01574745971561508,0.007064869537236765
35,0.0009038656120998326,0.036054853331052406,0.015209765929608788,0.02857262097748859
36,0.0011546526550048272,0.06436719912680564,0.014999330972180269,0.03699001927462948
37,0.0011446864194392834,0.00021771479608780772,0.01585410923537455,0.002798888746858117
38,0.001128841433905626,0.001737189794026234,0.015717488962857195,0.008263699647552048
39,0.0011043128765909577,0.00011332327377166116,0.01592401153938661,2.796586375630649e-06
