fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,[0.00303619 0.0038119  0.00414788 0.00469356 0.00404188],[0.15666352 0.26025043 0.20100958 0.21483332 0.22121173],[0.05110078 0.06765684 0.05987603 0.06834518 0.07830494],[0.14344431 0.21719836 0.17565082 0.18539604 0.18712937]
1,[0.00350855 0.00475855 0.00473845 0.00535209 0.00469528],[0.04516238 0.02375279 0.04832314 0.04899747 0.05979144],[0.05362219 0.07289399 0.06325588 0.07208314 0.0820744 ],[0.04258788 0.00771216 0.04045701 0.03587779 0.03635077]
2,[0.00371069 0.00503445 0.00504566 0.00563538 0.00498127],"[2.81380790e-04 2.78209549e-03 2.76331096e-04 6.22697937e-03
 9.54867076e-05]",[0.05426641 0.07202437 0.06377632 0.07279062 0.08215398],[0.01681924 0.04249717 0.01963931 0.00757857 0.03316766]
3,[0.00388771 0.00527153 0.00537064 0.00594136 0.00512111],[0.0026327  0.01323139 0.01354672 0.00010246 0.00430631],[0.053787   0.07302481 0.06424305 0.07228639 0.08265649],[0.03599564 0.00247932 0.0009702  0.02774784 0.01306706]
4,[0.00369711 0.00499811 0.00504995 0.00574269 0.00485822],"[6.95579096e-03 1.52638867e-05 3.87934130e-04 1.80615687e-05
 1.80358402e-05]",[0.05290295 0.07155908 0.06286125 0.07132564 0.08083724],[0.07135732 0.06110873 0.05624213 0.06617751 0.08583701]
5,[0.00404662 0.00548461 0.00529086 0.00601712 0.00542906],"[1.43938676e-03 2.90367571e-03 2.91099829e-03 2.45810466e-05
 2.76330999e-03]",[0.05426761 0.07308679 0.06425126 0.07282875 0.08298075],"[1.67712542e-02 1.91023581e-11 6.41610282e-04 6.05320816e-03
 9.69030599e-05]"
6,[0.00391333 0.0052356  0.00522106 0.0058023  0.00511439],[0.02862604 0.01920639 0.01780935 0.02373384 0.01244114],[0.05082892 0.06847068 0.06027072 0.0684113  0.07831366],[0.15431872 0.18464475 0.15986329 0.18275126 0.18678041]
7,[0.00390951 0.00534162 0.00545722 0.00602143 0.0052183 ],[0.06480802 0.00248143 0.00030746 0.00742633 0.00113178],[0.05468689 0.07040285 0.06250226 0.07000149 0.08003125],"[3.08148791e-33 1.07357663e-01 7.06016233e-02 1.19143634e-01
 1.18076973e-01]"
8,[0.00398145 0.00559098 0.00536793 0.00605233 0.00529837],[0.00238828 0.00178786 0.00974015 0.00461302 0.00193611],[0.05342037 0.07214091 0.06249533 0.07127244 0.08194573],[0.05066049 0.03783539 0.07087899 0.06830578 0.04149746]
9,[0.00378716 0.0052123  0.00527678 0.00581643 0.0048871 ],"[4.44469713e-03 1.91091794e-03 2.81133034e-03 1.95227870e-05
 1.38247512e-02]",[0.05338657 0.07147386 0.06286537 0.07194717 0.07978898],[0.05201286 0.06451751 0.05607738 0.04131661 0.12776746]
10,[0.00375507 0.00491376 0.00513268 0.00555544 0.00482187],[0.00458413 0.02044898 0.02860353 0.05264064 0.01931958],[0.05423753 0.0720286  0.06268079 0.07126692 0.08189546],[0.01797421 0.04232777 0.06346059 0.06852646 0.0435085 ]
11,[0.00349272 0.00489493 0.00477221 0.0054019  0.00454744],[0.06665912 0.12398504 0.06325843 0.10056662 0.30023968],[0.05361779 0.07142914 0.06335975 0.0708087  0.07913953],[0.04276405 0.06630621 0.03630203 0.08685542 0.15374559]
12,[0.00341916 0.00519074 0.00432004 0.00475317 0.00584076],[0.06427539 0.09573667 0.16756487 0.17870933 0.0748543 ],[0.0539864  0.07104994 0.06192855 0.07040829 0.08137191],[0.02801959 0.08147411 0.09354983 0.10287169 0.06445041]
13,[0.00358096 0.00546327 0.0046745  0.00564783 0.00539137],[0.1404845  0.15665369 0.1549025  0.16022714 0.18244808],[0.04905194 0.06713241 0.0593311  0.06653325 0.07686021],[0.22539766 0.23817529 0.19744813 0.25787336 0.24491839]
14,[0.00352193 0.00555814 0.00492127 0.00559171 0.00529036],[0.05029615 0.05641337 0.06066947 0.02329032 0.09516532],[0.05460087 0.07274558 0.06391443 0.07297701 0.08225482],[0.0034405  0.0136485  0.01411497 0.00012305 0.02913399]
15,[0.00376824 0.00563391 0.00515289 0.00572455 0.00596193],"[4.07689008e-03 3.36743286e-02 4.05045537e-03 1.77194112e-03
 9.23478449e-06]",[0.05212951 0.06748368 0.06125561 0.06889455 0.08125951],[0.10229512 0.22412456 0.12046764 0.16342125 0.06894657]
16,[0.00337725 0.005252   0.0046031  0.00520395 0.00547374],"[1.01376017e-02 2.10989122e-02 1.00401747e-02 1.65035428e-05
 2.16840526e-02]",[0.05452375 0.07306882 0.06417381 0.07206501 0.08297045],[0.0065254  0.00071895 0.00373942 0.03660273 0.00050871]
17,[0.00341663 0.00546855 0.00472488 0.00517547 0.00560822],[0.06457632 0.04716498 0.02564068 0.05286262 0.02724025],[0.05299219 0.0721228  0.06376592 0.07176502 0.08239416],[0.06778791 0.03855997 0.02005523 0.04860233 0.02356032]
18,[0.00338344 0.00491856 0.00458999 0.00506318 0.00528858],[0.07092774 0.08663606 0.06637142 0.07801786 0.07828348],[0.05329349 0.07020869 0.06235313 0.07101056 0.08043101],[0.05573574 0.1151241  0.07656663 0.07878079 0.10208633]
19,[0.00360723 0.00502677 0.00441813 0.00505956 0.005064  ],[0.03618825 0.04774645 0.04949959 0.03876214 0.03556313],[0.05099706 0.06892707 0.06050006 0.06950025 0.07895077],[0.1475931  0.16638909 0.15068962 0.13919323 0.1612958 ]
20,[0.00384908 0.00516729 0.00471916 0.0054097  0.00530899],[0.00132207 0.01454704 0.0042654  0.01106781 0.00179781],[0.05437414 0.07299977 0.0639903  0.07284881 0.0824633 ],[0.01250969 0.00348119 0.01108002 0.00525079 0.02079481]
21,[0.00369245 0.00514426 0.00461119 0.00526383 0.00536921],"[1.71383236e-03 1.82437121e-06 3.90723999e-03 2.28944690e-04
 6.85889585e-03]",[0.05402468 0.07198661 0.06254315 0.0714873  0.08098608],[0.02648838 0.04400746 0.06896608 0.05971141 0.07988368]
22,[0.00390895 0.00533687 0.00489587 0.00562478 0.00568775],[0.00153092 0.01867292 0.00241274 0.00136085 0.008642  ],[0.05467419 0.07261653 0.06420046 0.07292665 0.08284649],[0.00050786 0.01881055 0.00267368 0.00213719 0.00546706]
23,[0.00407326 0.0056206  0.00522836 0.00573849 0.00566877],[0.02130338 0.01951247 0.01850538 0.01230427 0.01189828],[0.05296155 0.07118781 0.06310647 0.07188096 0.08126961],[0.06901362 0.0759592  0.04643315 0.04396477 0.06854247]
24,[0.00401599 0.00528991 0.0050327  0.0051705  0.00554666],[0.0766995  0.17056817 0.13216032 0.25095593 0.17335616],[0.05391087 0.07016055 0.06221503 0.0691843  0.08012786],[0.03104073 0.11704996 0.08209071 0.15183122 0.11421231]
25,[0.00398254 0.00611857 0.00519788 0.00561228 0.00658565],[0.01007224 0.01855427 0.02638781 0.0240663  0.03689267],[0.05451913 0.0714514  0.06362101 0.07244235 0.07937674],[0.00671017 0.06541565 0.0258517  0.02150924 0.14425723]
26,[0.00401284 0.00607914 0.00511026 0.00567938 0.00636957],[0.00873423 0.02219111 0.04322134 0.00303338 0.06920776],[0.05456074 0.07115162 0.0633277  0.07275158 0.07722956],[0.00504567 0.07740683 0.03758389 0.00913993 0.23014421]
27,[0.00374862 0.00572853 0.0051229  0.00539269 0.00599889],[0.00010137 0.01036238 0.00258997 0.01407864 0.06339191],[0.05458032 0.07142619 0.06406955 0.0729132  0.07751329],[0.00426253 0.06642408 0.00790984 0.0026753  0.21879537]
28,[0.00389297 0.00546611 0.00484722 0.00524774 0.00580361],"[4.85717399e-04 5.43181264e-06 1.60509890e-03 2.36027259e-03
 2.07193820e-04]",[0.05384705 0.07190446 0.06359885 0.07240867 0.08182373],[0.03359334 0.04729326 0.02673817 0.02285633 0.04637768]
29,[0.0032829  0.00474181 0.00432344 0.0048709  0.0053155 ],[0.06070355 0.05068507 0.05546196 0.05099252 0.02682001],[0.05148831 0.07057107 0.06134833 0.06974903 0.08118564],[0.12794321 0.10062908 0.11675864 0.12924213 0.07190124]
30,[0.00385193 0.00538128 0.00499201 0.00568418 0.0057642 ],"[6.52548060e-04 6.80840370e-06 3.89101978e-04 4.63135713e-05
 9.35416370e-05]",[0.0544149  0.07281688 0.06397907 0.07286465 0.08272278],[0.01087959 0.01079677 0.01152928 0.00461715 0.01041568]
31,[0.00391348 0.00536909 0.00503957 0.00573649 0.00564074],"[5.23459198e-04 1.60198308e-05 1.17663209e-03 9.79541838e-05
 6.38057221e-04]",[0.05094104 0.0697465  0.06066439 0.06967675 0.07891469],[0.14983398 0.13361198 0.14411647 0.13213309 0.16273918]
32,[0.00390533 0.00558752 0.00509884 0.00585331 0.0058137 ],[0.00316385 0.00244369 0.00210078 0.00036195 0.00217882],[0.05176261 0.07033916 0.06163053 0.06987276 0.07979522],[0.1169711  0.10990532 0.10547097 0.1242927  0.12751808]
33,[0.00397535 0.00556269 0.00510517 0.00587112 0.00571449],[0.01230159 0.00065367 0.0011231  0.00027535 0.00053465],[0.04941586 0.06941033 0.06061573 0.06956346 0.07880239],[0.21084094 0.14705859 0.14606282 0.1366648  0.16723102]
34,[0.00390784 0.00545545 0.00480518 0.00567227 0.00600434],[0.04017763 0.03515177 0.08091753 0.0283406  0.03256931],[0.05371665 0.07276786 0.06250553 0.07251147 0.08256358],[0.03880931 0.01275726 0.07047093 0.01874454 0.01678364]
35,[0.00393444 0.00511864 0.004624   0.004922   0.00555659],[0.01568312 0.13088647 0.09111377 0.17007611 0.06071651],[0.05278893 0.0681458  0.06010211 0.06555071 0.07979587],[0.07591819 0.19763976 0.16660749 0.29717506 0.12749179]
36,[0.00407319 0.00502066 0.00486062 0.00525349 0.0057313 ],[0.01704945 0.14744002 0.07957855 0.09873139 0.05118877],[0.05462575 0.07257646 0.06417589 0.07296616 0.08296831],[0.00244554 0.02041339 0.00365643 0.00055684 0.00059436]
37,[0.00381715 0.00489234 0.00491167 0.00539732 0.00520654],[0.00993282 0.00725281 0.02996851 0.00036607 0.02019799],[0.05456217 0.07307894 0.06379027 0.07293805 0.08289622],[0.00498884 0.00031425 0.01908141 0.00168118 0.00347784]
38,[0.00365555 0.00461438 0.00451858 0.00501491 0.00499635],"[1.67647994e-04 1.81920093e-04 4.37103270e-04 3.09108169e-03
 1.63589113e-05]",[0.05466075 0.07300103 0.06425388 0.07287986 0.0829186 ],[0.00104545 0.00343062 0.00053667 0.00400908 0.00258295]
