fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.004481071920664353,0.2714779572964773,0.06834518117264023,0.18539604078641655
1,0.0055819217087222615,0.05891787242050861,0.07208313747293062,0.03587778877480102
2,0.005881424116192883,0.014845575970171667,0.07279061806225352,0.007578565201884286
3,0.006153944310545919,4.764543724437444e-05,0.0722863862102819,0.027747839280749503
4,0.005967340346803665,0.004800539561106164,0.07132564439068292,0.06617751206470847
5,0.005849070107102991,0.000302951433738473,0.07282875198830428,0.006053208159853264
6,0.005648127081862936,0.017519183904359546,0.06841130068773395,0.1827512601826681
7,0.005553723850349096,0.007101996371394558,0.07000149134475538,0.11914363390181011
8,0.005390129774848989,0.0013016547092637033,0.07127243768353077,0.06830578035079418
9,0.0054062624325394975,0.0005035496846410058,0.07194716697297296,0.041316608773106576
10,0.005181314223121572,0.05297842432490233,0.07126692075276153,0.06852645758156395
11,0.005563098283452986,0.049211858932737836,0.07080869668595714,0.08685542025373959
12,0.005218905606777306,0.16191329238662389,0.07040828986895095,0.10287169293398692
13,0.00530648245906164,0.16679467655465868,0.06653324806921748,0.25787336492332524
14,0.005853805612067341,0.03713768258187017,0.07297700584557695,0.00012305386894719925
15,0.005608983958743118,0.0017709692948503573,0.06889455090109634,0.16342125164817115
16,0.005755894767905849,1.0237970337474007e-05,0.07206501405725231,0.03660272540193335
17,0.005549321804093912,0.052219082749815016,0.07176502406603176,0.04860232505075431
18,0.005460224517875329,0.053192354829547386,0.07101056244189508,0.07878079001622201
19,0.0052091249532364775,0.03722123003538503,0.06950025142778368,0.13919323058067795
20,0.00504045448202608,0.005349300826722724,0.07284881232562282,0.005250794667111954
21,0.005513920464340104,0.005016270273899398,0.07148729686620753,0.059711413043723884
22,0.005169505228452872,0.0003924020168223514,0.07292665241732102,0.0021371909991840096
23,0.006021240249208696,0.028153066944804902,0.07188096304465452,0.04396476590584415
24,0.005289600059868625,0.21967206022194868,0.06918430178026275,0.15183121648151598
25,0.005071766836949051,0.018268134013462632,0.07244235131189439,0.02150923521624956
26,0.005319371715946505,0.014334281491643308,0.07275158383590045,0.009139934256006899
27,0.005256848353164355,0.021350167199632918,0.07291319969274292,0.002675299982308146
28,0.005271236499692019,0.00011201088303374143,0.07240867392494509,0.022856330694221376
29,0.004930085789287858,0.02221334351357185,0.06974902905690793,0.1292421254157068
30,0.005404600478304982,0.004655369915122768,0.07286465340875155,0.004617151341963307
31,0.005294982320606313,0.00297842997980864,0.06967675498650482,0.13213308823183276
32,0.005215236582555025,1.145115823605152e-05,0.06987276476433882,0.12429269711847181
33,0.005237705178361531,0.000735225222617223,0.0695634622869384,0.13666479621448893
34,0.00527999289828247,0.04201252118867512,0.07251146875768322,0.0187445373846973
35,0.0048476480963022565,0.16730583811452537,0.0655507057248234,0.2971750586990894
36,0.004822295144007812,0.11179279975194563,0.07296616125708029,0.0005568374088127394
37,0.0048748454290304544,0.0002295965763735316,0.0729380525821396,0.0016811844064406121
38,0.005309547334202616,0.0049513327298769845,0.0728798551648263,0.004009081098972807
39,0.005364284880206931,0.009892605523046596,0.07041349804879198,0.10266336574034643
