fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0038171424747647674,0.1909839523247373,0.059876030010875304,0.17565081755551687
1,0.0051655277506662154,0.0538451996661891,0.06325587508751604,0.04045701448988717
2,0.004956693411785966,0.00035803436871923784,0.06377631773015642,0.019639308784271805
3,0.004641153928656087,0.0049144992095875055,0.06424304554442808,0.0009701962134061028
4,0.005016521175793703,0.004957374542951913,0.06286124730283066,0.05624212587730227
5,0.0051238769238692,0.001391348166229374,0.06425126019270273,0.0006416102824196657
6,0.0049175586341311155,0.011540422145417862,0.060270718144257475,0.1598632922202298
7,0.004945375344059329,0.0008516745178810836,0.06250225986650024,0.07060162333051997
8,0.004829398830388132,0.004802784727532769,0.062495325653083404,0.07087899186719349
9,0.004959862902174711,0.004293377781701584,0.06286536593767318,0.05607738048360177
10,0.005066339000945402,0.009702091694455982,0.06268078580058398,0.06346058596717057
11,0.0047718224535508325,0.07406472786850526,0.06335974967786955,0.036302030875748195
12,0.004255712559986106,0.16877931469380444,0.06192855471816514,0.09354982926392366
13,0.004592039715799821,0.18131816302684148,0.0593310971566854,0.19744813172311323
14,0.004813834657764105,0.05414400611087594,0.06391442613187182,0.014114972715656343
15,0.004733899154130534,0.0034988040886751244,0.061255609398069864,0.12046764206773469
16,0.004909730378737357,0.01715778920385078,0.06417381487521756,0.0037394229818268634
17,0.004766310869226723,0.00824713354727435,0.06376591962511582,0.020055232985896686
18,0.004501332697812727,0.04116099810554686,0.06235313459708566,0.07656663410710306
19,0.004097788284684841,0.05885831033652374,0.060500060069861576,0.15068961519606616
20,0.0046295267947268105,3.6373631778040865e-05,0.06399029996142871,0.011080019533380822
21,0.004580760933852222,0.003759843812130038,0.06254314848921454,0.06896607842194775
22,0.004568705361991671,0.0004347710667636516,0.06420045838650384,0.002673682530374862
23,0.005182020871060906,0.025491277963765845,0.06310647172819234,0.0464331488628356
24,0.004887846687179139,0.11726437397409865,0.06221503278383722,0.08209070663704014
25,0.004846866307022719,0.013136277710233185,0.06362100795812414,0.025851699665564158
26,0.004644149877769741,0.0450813106214353,0.06332770316222604,0.0375838915014882
27,0.004967991877169719,0.007325972075618772,0.06406955453444295,0.00790983661281183
28,0.004605875160860316,0.00109131364473121,0.06359884628882467,0.02673816643754187
29,0.004488254894758044,0.046254780628863124,0.061348334501627674,0.11675863792542213
30,0.004724252280046392,0.0025607526937838927,0.06397906839916637,0.011529282023874588
31,0.004829948380052453,0.002904655497127233,0.060664388712134545,0.14411646950514737
32,0.004816095675443002,0.0017865953103020765,0.06163052625981605,0.1054709675978867
33,0.004749945801326956,0.0019883141684168167,0.06061573001603158,0.14606281734926643
34,0.004574112267653094,0.07447211710609632,0.06250552708134975,0.07047093473653947
35,0.0046913467858514185,0.08304267012523882,0.06010211320869708,0.1666074896426462
36,0.005090545040670476,0.07158866942586174,0.06417588965400944,0.0036564318301514276
37,0.004655510937708387,0.01290478131782878,0.0637902652049625,0.019081409792028558
38,0.004785646278609881,0.00042493900287527716,0.06425388380364927,0.0005366658445579073
39,0.004610460665907717,0.008460181105432108,0.0613779903872655,0.11557240249990995
