DATASET,RFDTBR,RFPCT,Ada300,CLR,PSt,VBS,VBS_value,SBS_RFDTBR,SBS_RFPCT,SBS_Ada300,SBS_CLR,SBS_PSt,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
ABPM,0.956656346749226,0.9368258859784284,0.9628482972136224,0.8964497041420119,0.895800933125972,['Ada300'],0.9628482972136224,0.006191950464396467,0.026022411235194,0.0,0.06639859307161056,0.06704736408765044,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT,0.026022411235194,RFPCT
ARABIC200,0.6878544885585762,0.6997576345128453,0.5859558612783033,0.6553531696647433,0.688310431585059,['RFPCT'],0.6997576345128453,0.011903145954269112,0.0,0.11380177323454199,0.04440446484810201,0.011447202927786337,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR,0.011903145954269112,RFDTBR
BIBTEX,0.4565998562644733,0.4492034086698777,0.404163052905464,0.3791882320893489,0.4350926249563089,['RFDTBR'],0.4565998562644733,0.0,0.007396447594595623,0.0524368033590093,0.07741162417512443,0.0215072313081644,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
BIRDS,0.5621621621621623,0.5478547854785479,0.5430894308943088,0.3333333333333333,0.4612736660929432,['RFDTBR'],0.5621621621621623,0.0,0.01430737668361437,0.01907273126785347,0.228828828828829,0.10088849606921912,0.01430737668361437,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.01907273126785347,Ada300,0.01430737668361437,RFPCT,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
CAL500,0.4636839047065659,0.4827243350733283,0.4704248007604006,0.3319071910482146,0.4504128784719326,['RFPCT'],0.4827243350733283,0.019040430366762395,0.0,0.012299534312927685,0.1508171440251137,0.03231145660139567,0.019040430366762395,RFDTBR,0.019040430366762395,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.019040430366762395,RFDTBR,0.019040430366762395,RFDTBR,0.0,RFPCT
CHD_49,0.6495176848874599,0.643956043956044,0.5995575221238938,0.6959775491113189,0.6369426751592356,['CLR'],0.6959775491113189,0.04645986422385906,0.05202150515527493,0.09642002698742513,0.0,0.05903487395208329,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT,0.05202150515527493,RFPCT
COREL5K,0.2566798703637018,0.2563754747693977,0.1663778162911612,0.1484160471502243,0.117852893834418,['RFDTBR'],0.2566798703637018,0.0,0.0003043955943041188,0.09030205407254063,0.10826382321347752,0.13882697652928383,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
DELICIOUS,0.3660752821648874,0.3685720708212676,0.1965654199658833,0.5560072598481682,0.1126188017788762,['CLR'],0.5560072598481682,0.18993197768328085,0.18743518902690065,0.35944183988228495,0.0,0.44338845806929206,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR,0.18993197768328085,RFDTBR
EMOTIONS,0.7135969141755064,0.7185261003070624,0.6582809224318658,0.6818181818181819,0.6699702675916749,['RFPCT'],0.7185261003070624,0.004929186131556018,0.0,0.060245177875196676,0.03670791848888055,0.04855583271538755,0.0,RFPCT,0.060245177875196676,Ada300,0.03670791848888055,CLR,0.0,RFPCT,0.004929186131556018,RFDTBR,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
ENRON,0.6046800579830193,0.6020953602736797,0.5159548355424645,0.5195059792197608,0.5459108973018197,['RFDTBR'],0.6046800579830193,0.0,0.0025846977093395562,0.08872522244055481,0.08517407876325844,0.05876916068119953,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR,0.0,RFDTBR
