fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,"[0.00014039 0.00108843 0.00076553 0.00027658 0.00061133 0.00078321
 0.00039794 0.00184383 0.00116646 0.00125402]","[1.04579035e-03 7.47709837e-07 2.17836733e-04 3.30812918e-04
 9.90611402e-04 2.21821925e-03 2.00234350e-04 2.44109228e-04
 3.00105766e-04 1.08554147e-03]","[0.00144783 0.01397066 0.00574267 0.00318523 0.00805072 0.00548661
 0.00449425 0.01858238 0.01518217 0.00938629]","[5.59493196e-04 1.19248439e-03 7.26701404e-06 8.49747795e-04
 3.38560778e-03 6.94288167e-04 3.02150889e-05 1.01357084e-03
 4.05549916e-03 1.01417879e-03]"
1,"[0.00014806 0.00120201 0.00068733 0.00026549 0.00066287 0.00072572
 0.00040287 0.00180564 0.00125369 0.00117987]","[1.06514415e-03 2.74569135e-06 1.98307243e-03 3.01645318e-03
 9.59731492e-04 1.41494717e-04 4.96652446e-04 1.83823892e-03
 2.83718514e-03 1.07963431e-04]","[0.00145984 0.01385481 0.00571865 0.00317802 0.00795378 0.00549163
 0.00447958 0.01831913 0.01498071 0.00941147]","[7.90975515e-05 5.82623283e-03 9.67922732e-04 1.13791589e-03
 7.26303543e-03 4.93629579e-04 6.16992236e-04 1.15436158e-02
 1.21138139e-02 6.87253612e-06]"
2,"[0.00014839 0.00116777 0.00071869 0.00028546 0.00066236 0.00076475
 0.00039943 0.00191183 0.00123445 0.00122706]","[4.10744571e-08 1.60520147e-04 5.32484301e-04 6.85417433e-04
 1.55425746e-04 5.23171979e-04 6.74846600e-04 1.08284144e-04
 1.82542352e-04 9.64013543e-06]","[0.00145885 0.01398409 0.00573726 0.00320333 0.00812995 0.00550356
 0.00448279 0.01860488 0.01524969 0.00939454]","[1.18826885e-04 6.55344021e-04 2.23514310e-04 1.25589591e-04
 2.16058056e-04 1.63994259e-05 4.88739376e-04 1.13407440e-04
 1.35470844e-03 6.84192371e-04]"
3,"[0.00014428 0.00112903 0.00066351 0.00027918 0.00065078 0.00072722
 0.0004024  0.00184575 0.00116866 0.00125671]","[8.08786834e-04 1.34873561e-03 2.83702514e-02 6.09666815e-03
 6.86571031e-05 1.95987490e-02 2.46432678e-03 1.73474118e-02
 1.71032104e-03 8.16376325e-03]","[0.00145373 0.01399861 0.00501822 0.00308324 0.00811765 0.00492438
 0.00442683 0.01780786 0.0151282  0.00916144]","[3.23600771e-04 7.43022141e-05 2.89850938e-02 4.92944489e-03
 7.08027179e-04 2.31834685e-02 2.72704315e-03 3.19944645e-02
 6.21414979e-03 1.00080189e-02]"
4,"[0.0001458  0.00114087 0.00075754 0.00026929 0.00066432 0.00076276
 0.00039584 0.00180827 0.00128033 0.00109937]","[0.00026194 0.00488411 0.00958683 0.00324184 0.00288389 0.01301812
 0.00166077 0.02815644 0.00016768 0.02397838]","[0.00145525 0.01396968 0.00561786 0.00319681 0.00812644 0.00531508
 0.00449471 0.01832785 0.0152776  0.00920751]","[2.62892892e-04 1.23168629e-03 4.99982789e-03 3.86282311e-04
 3.56507881e-04 7.55568324e-03 1.18342459e-05 1.11946662e-02
 2.38434437e-04 8.16556703e-03]"
5,"[0.00014289 0.00115067 0.0007221  0.00029584 0.00067331 0.00072819
 0.00042376 0.00184552 0.00129807 0.00114007]","[4.75344220e-05 4.81651102e-06 1.34661619e-02 4.88622104e-04
 8.26131252e-05 1.51138291e-02 8.40960524e-04 1.29616262e-02
 3.96413799e-04 8.82453476e-03]","[0.00145978 0.01398718 0.00542871 0.0031961  0.00813043 0.00513724
 0.00447341 0.01815103 0.01523641 0.00920129]","[8.13409452e-05 5.31742556e-04 1.25658014e-02 4.14852536e-04
 1.97139072e-04 1.46691356e-02 8.63586989e-04 1.82673685e-02
 1.88594539e-03 8.41427482e-03]"
6,"[0.00014652 0.00114998 0.00082803 0.0002935  0.00068598 0.00083139
 0.00041741 0.00201837 0.00127647 0.00130776]","[0.00026446 0.00114696 0.00114059 0.01127952 0.00251293 0.00030661
 0.01499827 0.00457509 0.00523283 0.01959376]","[0.00146149 0.01389667 0.00568858 0.00290879 0.00804291 0.00545782
 0.00421678 0.01859976 0.01523364 0.0093139 ]","[1.31542223e-05 4.15197780e-03 2.17097065e-03 1.19074510e-02
 3.69773053e-03 1.84614599e-03 1.11290669e-02 3.18342904e-04
 1.99678722e-03 3.90969971e-03]"
7,"[0.00015261 0.00118871 0.00046279 0.00016776 0.00067852 0.00050451
 0.00030486 0.00148614 0.00133702 0.00038709]","[3.84355886e-05 8.00402424e-03 9.01351943e-02 3.20041163e-02
 9.15176480e-03 8.64510506e-02 3.42607467e-02 1.51858648e-01
 7.99803446e-03 2.29558066e-01]","[0.0014618  0.01346994 0.00406261 0.00192176 0.0076103  0.00381394
 0.00321883 0.01450866 0.01511947 0.00350825]","[5.68313225e-07 2.12210949e-02 6.72096142e-02 5.13883514e-02
 2.10020251e-02 6.76010590e-02 5.10471321e-02 1.63962467e-01
 6.56349009e-03 2.36135896e-01]"
8,"[0.0001472  0.00113764 0.00068176 0.00021825 0.00065423 0.00069857
 0.00034811 0.00175228 0.00128865 0.00089527]","[8.60631823e-06 5.88259859e-04 1.00893177e-05 1.50372006e-03
 7.39172207e-04 5.89110186e-08 1.73984774e-03 7.52428904e-04
 2.10939619e-04 1.76015474e-03]","[0.00146174 0.01398009 0.00571749 0.00320318 0.00811241 0.0054813
 0.00449063 0.0185165  0.01527627 0.0093647 ]","[3.03073671e-06 8.15256771e-04 1.01458628e-03 1.31788186e-04
 9.17702368e-04 9.06712663e-04 1.74789677e-04 3.64879696e-03
 2.91480434e-04 1.87770335e-03]"
9,"[0.00014361 0.00114138 0.00064398 0.00023661 0.00065357 0.00067603
 0.00036756 0.0016639  0.00127612 0.0008484 ]","[9.82686833e-05 1.44993627e-03 3.85556833e-04 1.01377986e-04
 2.30314423e-03 9.45278803e-05 3.99269124e-04 3.33086307e-03
 7.84524535e-04 8.82343342e-04]","[0.00146093 0.01390182 0.00572973 0.00318823 0.00805455 0.00549679
 0.00448393 0.0185679  0.0152515  0.00941122]","[3.55889371e-05 3.94617390e-03 5.24954559e-04 7.29577227e-04
 3.23225598e-03 2.87175065e-04 4.42893745e-04 1.59254410e-03
 1.28220513e-03 1.68001649e-05]"
10,"[0.00015343 0.00112839 0.00062985 0.00022588 0.00063013 0.00064269
 0.0003353  0.00154657 0.00117905 0.00080903]","[7.67427559e-07 3.13730010e-04 7.55900565e-04 2.97835778e-04
 3.45530649e-04 7.08497507e-04 3.28840096e-04 2.04358887e-03
 2.06575728e-07 2.00270259e-03]","[0.00145871 0.0140003  0.00574177 0.00316883 0.00813352 0.00550345
 0.00443262 0.01860732 0.01524076 0.00936018]","[1.24326091e-04 6.63531878e-06 4.31640852e-05 1.50555113e-03
 7.35177590e-05 2.09784430e-05 2.49516166e-03 1.59522496e-05
 1.71208454e-03 2.05856123e-03]"
11,"[0.00014999 0.00109303 0.00062918 0.00022344 0.00061434 0.00065188
 0.00034081 0.00162102 0.00116477 0.00079566]","[0.0011427  0.05013682 0.00615252 0.00194347 0.0361413  0.0019922
 0.00606665 0.02116284 0.07182258 0.01501184]","[0.00145963 0.01381963 0.00565262 0.00318255 0.00791253 0.00538345
 0.00448337 0.01859212 0.01494726 0.00920458]","[8.75591860e-05 7.23367769e-03 3.60915708e-03 9.56805748e-04
 8.91293400e-03 4.82102024e-03 4.65479341e-04 6.23739107e-04
 1.34521274e-02 8.28255386e-03]"
12,"[8.58522465e-05 1.25726039e-03 6.54413350e-04 2.48968383e-04
 9.03315276e-04 6.13386047e-04 3.80544136e-04 1.73174104e-03
 1.66477348e-03 9.19232008e-04]","[1.49411341e-02 1.01752697e-01 4.75695616e-04 6.52417994e-06
 3.87117644e-02 1.00848762e-02 1.55720897e-02 8.83138952e-02
 1.03388765e-01 5.93638354e-04]","[0.00145912 0.01398258 0.00573831 0.00320543 0.00810087 0.00548973
 0.00448792 0.01860331 0.01527325 0.00941041]","[1.07910141e-04 7.15641922e-04 1.81722914e-04 4.14874138e-05
 1.37933987e-03 5.69702655e-04 2.83217025e-04 1.76119981e-04
 4.12512839e-04 4.95530362e-05]"
13,"[0.00012416 0.00109336 0.0006113  0.00023152 0.00067739 0.00063481
 0.00032964 0.00158953 0.00121923 0.00080843]","[1.16283038e-04 1.26689612e-03 1.83246490e-03 1.43428555e-05
 6.15537236e-04 2.87196966e-03 2.12304063e-04 6.14668291e-03
 1.55083800e-03 1.52256847e-03]","[0.00146111 0.01398401 0.00563751 0.00316912 0.00812502 0.0054152
 0.00446723 0.01856919 0.01527933 0.00939441]","[2.83362944e-05 6.58242094e-04 4.21371570e-03 1.49420508e-03
 4.13432700e-04 3.55096274e-03 1.11100651e-03 1.54110502e-03
 1.68966716e-04 6.89492580e-04]"
14,"[0.00012687 0.00102082 0.00061831 0.00023067 0.00062968 0.00059216
 0.00034014 0.00141808 0.00117651 0.00087224]","[1.78325905e-05 1.31666638e-03 8.96316332e-03 1.88873015e-04
 1.64095988e-03 8.18140497e-03 9.06350213e-05 1.71504908e-02
 2.50290141e-03 6.54980677e-03]","[0.00145848 0.0139978  0.0056617  0.00316641 0.00812338 0.00545239
 0.00442848 0.01849447 0.0152615  0.00917639]","[0.00013346 0.00010672 0.00324598 0.00160261 0.00047886 0.00206306
 0.00266103 0.00452981 0.00088222 0.00941018]"
15,"[0.00013001 0.00106326 0.00065068 0.00023595 0.00063497 0.00063403
 0.00033952 0.00153131 0.0012054  0.00087551]","[8.58661166e-05 2.80931611e-03 6.27982915e-04 2.26173317e-04
 3.87747560e-03 1.17827321e-03 5.90755234e-04 7.80833315e-04
 1.44125941e-03 1.00410973e-04]","[0.00146182 0.01386712 0.00567389 0.00312491 0.0080017  0.00543479
 0.00441321 0.0185972  0.01527722 0.00941112]","[6.81280575e-09 5.33396502e-03 2.75835925e-03 3.26240787e-03
 5.34602825e-03 2.76703605e-03 3.27184361e-03 4.20820703e-04
 2.53335202e-04 2.11361569e-05]"
16,"[0.00013574 0.00108486 0.00068258 0.00023638 0.00066081 0.00066123
 0.00034725 0.00155979 0.00118694 0.0009157 ]","[2.79216449e-04 1.61742354e-04 1.79349951e-04 7.51072653e-04
 1.59358589e-05 9.06126256e-04 1.94617521e-03 6.81729844e-04
 1.60989537e-03 1.96379435e-04]","[0.00145414 0.0139991  0.00570585 0.00305099 0.00811981 0.00542558
 0.00426274 0.0185836  0.01515592 0.00937086]","[3.07085416e-04 5.49108220e-05 1.48005057e-03 6.21935854e-03
 6.21706173e-04 3.13547118e-03 9.29040799e-03 9.64800739e-04
 5.10549207e-03 1.63147201e-03]"
17,"[0.00011828 0.00100698 0.00062449 0.00023441 0.0006399  0.00062268
 0.00034175 0.00149663 0.00112776 0.00086818]","[6.15903879e-05 1.24465104e-03 3.99115520e-03 4.87007018e-04
 7.52495852e-04 5.04434389e-03 8.94978417e-04 9.69342689e-03
 3.28877564e-03 1.68981462e-03]","[0.00146137 0.01399281 0.00556734 0.0031595  0.00812353 0.00534579
 0.00445678 0.01835123 0.01519101 0.00937075]","[1.80130320e-05 3.06252972e-04 7.02061883e-03 1.87874714e-03
 4.72812894e-04 6.32740016e-03 1.52883664e-03 1.02595057e-02
 3.70206556e-03 1.63576698e-03]"
18,"[0.00012553 0.000987   0.00065128 0.00021845 0.00059394 0.00065305
 0.00033033 0.00152487 0.00113323 0.00084749]","[9.49093104e-05 5.91809734e-03 5.21509017e-04 2.52152267e-05
 4.51409699e-03 1.71464122e-04 2.22846725e-05 2.92600927e-03
 5.17071651e-03 3.17377623e-04]","[0.00145502 0.01374078 0.00574243 0.00318443 0.00795291 0.00550014
 0.00444168 0.01836861 0.01485051 0.00938306]","[2.72027243e-04 1.03877878e-02 1.69971338e-05 8.81649761e-04
 7.29781484e-03 1.53029032e-04 2.13313145e-03 9.56439779e-03
 1.73220041e-02 1.14347760e-03]"
19,"[0.00011741 0.00099475 0.00067267 0.00021207 0.00061467 0.00066019
 0.00030388 0.0015203  0.00112584 0.00084107]","[1.56784555e-03 6.64247892e-05 1.07812134e-03 5.02552587e-04
 9.88843935e-04 5.24621900e-03 3.84570074e-03 1.67976192e-03
 9.34391934e-04 1.08515420e-04]","[0.00138066 0.01398473 0.00574266 0.00319209 0.00810994 0.00543042
 0.00433115 0.01859522 0.01522335 0.0093938 ]","[3.24619469e-03 6.29606045e-04 7.47358519e-06 5.75156655e-04
 1.01655342e-03 2.94215126e-03 6.55416710e-03 4.99887583e-04
 2.40829435e-03 7.13755864e-04]"
20,"[0.00012567 0.0009495  0.00067257 0.00022668 0.000589   0.00066857
 0.00031103 0.00141626 0.0010506  0.00079984]","[4.02052799e-07 5.33606673e-03 2.48405143e-03 1.35136496e-04
 5.24383227e-03 2.54765855e-03 1.50280598e-04 1.51016192e-02
 7.16955226e-03 1.46041961e-03]","[0.00145904 0.01394294 0.00567427 0.00320325 0.00804976 0.00546021
 0.00449499 0.01835597 0.01519559 0.00936956]","[1.11111445e-04 2.30124813e-03 2.74333867e-03 1.28800462e-04
 3.42368545e-03 1.75024665e-03 6.53005786e-07 1.00697646e-02
 3.51890454e-03 1.68328542e-03]"
21,"[0.00012331 0.00098672 0.00065579 0.00022198 0.00058659 0.00065749
 0.00031003 0.00142669 0.00108325 0.00079955]","[3.00682509e-04 3.82988481e-03 3.02085224e-03 8.38979336e-05
 6.27680064e-03 1.41542097e-03 6.69225060e-05 1.36535353e-02
 5.04748362e-03 2.09788720e-03]","[0.0014429  0.01400006 0.00570475 0.00320515 0.00812159 0.00550065
 0.00448477 0.01857711 0.0152833  0.00938644]","[7.56899665e-04 1.63591793e-05 1.52391208e-03 5.30457218e-05
 5.50707660e-04 1.32837312e-04 4.09194646e-04 1.22448684e-03
 1.04885375e-05 1.00832078e-03]"
22,"[0.00011808 0.00099419 0.00064207 0.00022759 0.00060653 0.0006464
 0.00031906 0.00149076 0.00112794 0.00080285]","[6.30318657e-05 3.76742311e-03 4.24915480e-04 2.88547180e-04
 2.85584180e-03 8.15258913e-04 8.18557278e-05 6.72282186e-03
 1.97070837e-03 1.41377163e-03]","[0.00145307 0.013726   0.00573103 0.00320535 0.00795012 0.00546307
 0.0044914  0.01820751 0.01504305 0.00939142]","[3.49758799e-04 1.09789062e-02 4.72804592e-04 4.48541386e-05
 7.40949723e-03 1.63587161e-03 1.44108409e-04 1.60084102e-02
 9.62026561e-03 8.08912865e-04]"
23,"[0.00011498 0.00096686 0.0006482  0.00023189 0.00058988 0.0006811
 0.0003207  0.00154203 0.00113975 0.0008416 ]","[3.13486770e-04 1.10908569e-04 1.87829091e-03 1.14408091e-04
 5.14697753e-05 6.57086373e-04 8.06658232e-04 1.07636092e-03
 4.50606141e-04 2.91982720e-03]","[0.00142639 0.01392534 0.00561034 0.00319013 0.00812798 0.00547307
 0.00449136 0.01859963 0.01526217 0.00935586]","[0.00141728 0.0030052  0.0053004  0.00065374 0.00029491 0.00123602
 0.00014589 0.00032343 0.00085565 0.0022312 ]"
24,"[0.00012697 0.00101573 0.0006929  0.00023187 0.0006048  0.00068069
 0.0003184  0.00149529 0.0011217  0.00083305]","[4.68596844e-04 9.01299722e-03 2.85711702e-05 1.33764184e-03
 5.37138139e-03 2.65751851e-04 3.38967133e-03 8.02665583e-03
 1.72950360e-02 1.75720146e-03]","[0.00145405 0.01383784 0.00573779 0.00307338 0.00803606 0.0054786
 0.00428982 0.01838268 0.0146936  0.00932538]","[0.00031087 0.00650522 0.00020227 0.00532358 0.00397194 0.00101467
 0.00820737 0.00900168 0.02359843 0.00345046]"
25,"[0.00013161 0.00105166 0.00069905 0.00025387 0.00062381 0.00070141
 0.00035433 0.0015925  0.00123995 0.00087713]","[4.53595040e-03 2.72687112e-02 4.89907039e-04 5.75066021e-04
 9.56150339e-03 2.04445238e-03 1.88086414e-03 2.04485885e-02
 1.99238506e-02 3.41026562e-06]","[0.00115882 0.01179361 0.00569505 0.00318616 0.00726095 0.00539387
 0.00432858 0.01700265 0.0134798  0.00940585]","[0.01212    0.08827424 0.00191209 0.00081236 0.03497608 0.0044041
 0.00665675 0.0642026  0.07215017 0.00023182]"
26,"[0.00010261 0.00086902 0.00068694 0.00025604 0.00055396 0.00068007
 0.00033803 0.00143306 0.00108122 0.00088126]","[0.01084043 0.0764577  0.00284066 0.0017255  0.02971917 0.00258263
 0.00391603 0.04982362 0.05521122 0.00013827]","[0.00089987 0.00906926 0.00565176 0.00319176 0.00597151 0.00530344
 0.00410021 0.01492588 0.01087637 0.00937906]","[0.02247782 0.19724824 0.00364379 0.00058857 0.08655383 0.00802139
 0.01579184 0.14727368 0.1762874  0.00130346]"
27,"[0.00013491 0.00101379 0.00070244 0.00022746 0.00058315 0.00068141
 0.00030163 0.00149114 0.00101409 0.00085123]","[1.33027741e-05 1.26229010e-02 2.83761010e-03 1.51944198e-02
 1.34557636e-02 2.46233554e-03 1.43085497e-02 2.74302849e-02
 5.55155269e-02 4.89949941e-03]","[0.00131349 0.01098921 0.00572796 0.00292982 0.00631242 0.00524677
 0.00366487 0.01515811 0.01017018 0.00924846]","[0.00593319 0.12045039 0.00059551 0.01106623 0.07291751 0.01028809
 0.03320536 0.13798449 0.20453531 0.00652754]"
28,"[0.00012794 0.0010266  0.00068969 0.00024568 0.00060318 0.00069266
 0.00032769 0.0015544  0.00116523 0.00089644]","[1.75740286e-04 3.04915189e-05 1.33297686e-03 1.31208457e-03
 5.98270474e-05 5.40713560e-04 5.27437187e-04 9.60258807e-04
 9.42538831e-04 8.25112324e-08]","[0.00145943 0.01397216 0.00574123 0.00317796 0.00812111 0.00549601
 0.00444759 0.01856422 0.01516993 0.00939513]","[9.56933451e-05 1.13225485e-03 6.50121158e-05 1.14030235e-03
 5.69619236e-04 3.18454969e-04 1.89666004e-03 1.73989127e-03
 4.54510014e-03 6.60765224e-04]"
29,"[0.00012332 0.00098209 0.00061935 0.00024384 0.0005959  0.00063532
 0.00033452 0.00150197 0.00113749 0.00084583]","[1.63977127e-07 8.35128123e-04 9.14354566e-03 4.50346051e-04
 8.58696537e-04 9.22115207e-03 4.67696820e-04 4.45199951e-03
 5.89397843e-05 5.53543896e-03]","[0.00146172 0.01398173 0.00550556 0.00313742 0.00811386 0.00525711
 0.00442074 0.01848505 0.01526771 0.00936131]","[3.78764556e-06 7.49474465e-04 9.49146435e-03 2.76204096e-03
 8.59821833e-04 9.87446329e-03 2.97039285e-03 4.90666842e-03
 6.33961486e-04 2.01322927e-03]"
