fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.001789583629271629,0.0016000009356053862,0.018582378083006855,0.0010135708384816835
1,0.0018505586253662286,0.000631885076586308,0.018319126958269538,0.011543615827974515
2,0.001803798924077108,0.00018722367998596937,0.018604882167959483,0.00011340744037655309
3,0.0017231629695740951,0.024389722564241063,0.017807855742274257,0.031994464467785685
4,0.001542816819903399,0.018578064192505947,0.01832785069949658,0.011194666178892898
5,0.0016283186329038946,0.010189552941869557,0.018151033142249442,0.018267368468778418
6,0.001634254026844766,0.004248088016827552,0.018599758781364814,0.0003183429041632769
7,0.001220066938483503,0.1519743803232553,0.01450865568507932,0.16396246675558312
8,0.0014756879560049031,0.0004904321915331515,0.018516497429880676,0.003648796963528928
9,0.0014948401635695966,0.006544393160209214,0.018567903751446593,0.0015925441008923132
10,0.001312583057440524,0.01315857871187842,0.018607318547729713,1.5952249567244572e-05
11,0.0014517636738254791,0.014342728262856638,0.018592123876299042,0.0006237391067941781
12,0.00137064766159014,0.05745471915856401,0.018603314354453147,0.00017611998063013032
13,0.001473658209240701,0.004331447828858078,0.018569189728427735,0.00154110502164668
14,0.0013511446526812858,0.017765504618949858,0.01849447215310902,0.00452980803439524
15,0.0014837945033515589,0.0010021232454220875,0.01859719683639683,0.00042082070288287514
16,0.0015127627516403298,0.0010862353289859692,0.018583597335482545,0.0009648007394542222
17,0.0015255482264437544,0.00849426392500156,0.018351229711754086,0.010259505688592487
18,0.0014785707131664608,0.002243884426822522,0.018368607409171143,0.0095643977919105
19,0.001470573335147615,0.004658860755854539,0.018595220164390313,0.0004998875831436378
20,0.0013644331484562128,0.014588577845162234,0.018355973238706445,0.010069764610498197
21,0.0013716650449591672,0.020104109748173296,0.018577105183038845,0.0012244868372022722
22,0.001538057833995211,0.003072557998054363,0.018207507099485282,0.01600841017934475
23,0.0015971819337851508,2.323936659459407e-05,0.018599631658922144,0.0003234278018702579
24,0.0014761082425850155,0.006632332624537513,0.01838267523659778,0.009001684694844848
25,0.0015017276472414317,0.019297629018981445,0.017002652367212663,0.0642025994702495
26,0.0013750201318716208,0.04271713166517405,0.014925875443845943,0.1472736764049182
27,0.001308545744980424,0.021899164658369327,0.015158105187261751,0.13798448666828592
28,0.0014180588021003098,0.005726705681874116,0.01856422007232487,0.0017398912657610084
29,0.0013872368385166088,0.004745610960918235,0.018485050643533747,0.0049066684174062115
30,0.0015603102484032382,2.166941032793866e-06,0.018606239324329536,5.912118557477853e-05
31,0.0015534031003813604,0.00016874163430787676,0.01847038698305787,0.005493214836441154
32,0.0015146782480007716,0.001367800988969946,0.018504754300454278,0.00411852214058491
33,0.0014969719400556136,0.017660191743676282,0.018100499727753294,0.020288705048624275
34,0.0014822986566458388,0.014185228764206581,0.01737530377577507,0.04929654312775343
35,0.0015295079056781016,0.005540137574508204,0.018543909290362006,0.002552322544275868
36,0.0015051967359757852,0.0006609073315870943,0.018599543257124197,0.00032696387378806105
37,0.001435519175094361,0.00014684097731670784,0.018364278620073306,0.009737549355823836
38,0.0014467310566968303,0.0008725580260181521,0.018505975124656755,0.004069689172485898
39,0.0014745977157616897,0.000118382013902285,0.01854595675423612,0.002470423989311023
