fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.001192207825179831,0.0013090117382214069,0.013970658518975826,0.001192484390660562
1,0.001224217518600085,0.00030092503842238383,0.01385481480796524,0.005826232831084
2,0.0011944453548452228,0.0008612958702686806,0.0139840870282108,0.0006553440212614948
3,0.001122101679807478,0.0001372273520377901,0.013998613073390244,7.430221408360305e-05
4,0.0012009377038767065,0.0029589672480504307,0.013969678471555497,0.0012316862874735925
5,0.0012000740366550336,0.00021653955770218974,0.013987177064836152,0.0005317425562474503
6,0.0011354690506436027,0.00039531576985037077,0.013896671183803106,0.0041519777975690475
7,0.0010977123863906227,0.007198435306163294,0.013469943255523947,0.021221094928735446
8,0.0011217233641780664,0.0012660942760746574,0.013980089209467072,0.0008152567710107139
9,0.0011110068435029666,0.001366393859322324,0.013901816281176383,0.0039461739026381585
10,0.0010971587501606825,9.397422985563877e-05,0.014000304745772752,6.635318783281641e-06
11,0.001042786207968275,0.06697054817438124,0.013819628686464384,0.0072336776911181445
12,0.0011902684055704756,0.1102038120113298,0.013982579580682901,0.0007156419223772615
13,0.0010143605619328748,0.0029385789777097242,0.013984014576396257,0.0006582420938430943
14,0.0010173063027709716,0.0009302403807628252,0.01399780271331122,0.00010671661724462432
15,0.0009894491870212185,0.003757221193601559,0.013867121503215013,0.005333965021092804
16,0.001027619117187998,0.0008294983991383769,0.013999097858193449,5.491082195537541e-05
17,0.0009826959744776308,0.0010959543309778052,0.013992814304436569,0.0003062529722306896
18,0.001027410145162136,0.0041404761495785645,0.013740775934862781,0.010387787755182109
19,0.0010933498155589162,1.4534281517337975e-05,0.013984730477628396,0.0006296060445577534
20,0.0010433218439743798,0.0056321576178542405,0.013942939425491473,0.0023012481300345258
21,0.0009765377051145563,0.007667696659823471,0.014000061649260322,1.6359179280401096e-05
22,0.0010164302673204065,0.001753964763994874,0.013725997973197365,0.010978906221798689
23,0.0010336998238180668,5.7600206513668095e-05,0.013925340540614286,0.0030052035251220176
24,0.0009953215977074527,0.008643155981727815,0.013837840184621001,0.006505217764853311
25,0.0010570926478798252,0.035361138135534945,0.011793614667100053,0.08827423846569142
26,0.0009280915435661442,0.053637726348777635,0.00906926460742378,0.1972482408527423
27,0.000955796156389273,0.008193324965055074,0.010989210805184339,0.1204503929423198
28,0.0010637425605788849,0.0002888628866169401,0.013972164257546856,0.0011322548478190976
29,0.0010400408074930513,0.0019427409790411046,0.013981733767126175,0.0007494744646465639
30,0.0010043867658083854,4.618198532969614e-06,0.013968099180450836,0.001294857931660006
31,0.001032136858171145,0.0016684965184901375,0.01400047003935474,2.3575503798102626e-08
32,0.0010268437634657025,3.962620068593158e-05,0.013903955188426704,0.0038606176126254137
33,0.0010208356396621287,1.2052876562781437e-05,0.01395280589554268,0.0019065893279861805
34,0.0009125370184176229,0.014718981301090703,0.012797800857639204,0.04810679084412525
35,0.001016361678269418,0.0014203969390170212,0.014000116883280693,1.4149818465863266e-05
36,0.000991815631953046,0.00035672153070337144,0.01396416489202634,0.0014522294686398218
37,0.0010026788598277282,0.0005226016007258405,0.013851392327340574,0.005963132056070544
38,0.0010232970551497448,0.00020537538967188815,0.0139365067591714,0.002558554782837451
39,0.001041774502393474,0.006132523796773916,0.01366346891790628,0.013480068433442106
