fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0007461744004880188,0.0001582841504991373,0.005742669320712223,7.267014039986376e-06
1,0.0007292515586928393,0.005855591147616403,0.005718652927754649,0.0009679227323429535
2,0.0007248519528629447,0.0006924046187639343,0.0057372631383256715,0.00022351430950204892
3,0.0007063728190579891,0.026930157909286243,0.0050182236500543875,0.02898509384035345
4,0.0007097451963973465,0.013238103014858109,0.005617855298843809,0.004999827888776573
5,0.0007424314804314937,0.013238571830143762,0.005428705960944043,0.012565801404767174
6,0.0008598625674727411,0.0002034615755173171,0.005688576729921932,0.002170970645651634
7,0.0005234324898740066,0.09065340369897246,0.0040626106412800815,0.06720961419132564
8,0.0007408427325330969,1.0114212189055484e-05,0.005717486339071604,0.0010145862796647359
9,0.000709605074062321,0.0005894269832645811,0.005729727132091355,0.0005249545588747082
10,0.0006716219117544185,0.00039334541637911545,0.00574177189393377,4.3164085178127066e-05
11,0.0006784871015539452,0.0055814709419277336,0.005652622069112488,0.0036091570780293772
12,0.0006882274859687591,0.0003930442308874914,0.0057383079232153035,0.0001817229139168112
13,0.0006975483655319652,0.003060864309640265,0.005637508103619932,0.004213715697731667
14,0.0006905847010914607,0.008194006825615009,0.005661701574562847,0.0032459768600150217
15,0.0007351277655104283,0.00037226121998110997,0.005673892014910729,0.00275835924609978
16,0.0007222010770935375,0.0007488199972910043,0.005705849731713395,0.0014800505739930862
17,0.0007057978723008019,0.002844377002567252,0.0055673355253939944,0.007020618826769155
18,0.0007271816392730959,0.0008948264634779341,0.00574242606771855,1.69971337869848e-05
19,0.0007055680725545172,0.0005086598348967293,0.005742664156433352,7.473585194840351e-06
20,0.0007242657143143066,0.002432392434794938,0.005674267529197384,0.0027433386746335614
21,0.0006964010630871024,0.008320488740193884,0.005704753193954151,0.0015239120843628276
22,0.0007222224975453386,9.302801490990017e-05,0.005731030881262866,0.00047280459201419457
23,0.0007524517501855567,0.0014280167789820588,0.005610341035486238,0.005300398423079404
24,0.0007363251751861489,8.20739120383678e-05,0.00573779416605117,0.00020227320048213146
25,0.0007145495718664658,0.0006655211447790897,0.005695048661548326,0.0019120933805958586
26,0.0007197741968432286,0.0013422696279349613,0.005651756126389027,0.0036437947869678434
27,0.0006963606725472508,0.002202614890085262,0.005727963344737193,0.000595506053041183
28,0.000707651789428424,0.0007947699758195064,0.00574122569316756,6.501211582652175e-05
29,0.0006379124475287502,0.009723372986794175,0.005505564387382194,0.009491464347241161
30,0.0006946426055242057,3.6969036614534434e-05,0.005695167363290925,0.001907345310891913
31,0.0007020750309371355,0.0008189192686446403,0.005604951033771544,0.005515998491667157
32,0.0007030938036186725,0.000289872933298035,0.005343998236629741,0.015954110377339268
33,0.0006679668784329591,0.011307770384406392,0.004876993442603619,0.03463430213838412
34,0.0007571607881984233,0.00020153050545284278,0.0057426693334803386,7.266503315366897e-06
35,0.0007300435082236263,0.009854762836967547,0.005688191147406594,0.0021863939462651648
36,0.0007229441794109319,0.005213810900088263,0.005663917332066141,0.0031573465598832644
37,0.0007421237094474412,0.0024714786115433867,0.005731340170397945,0.0004604330266111281
38,0.0007368244439404387,0.000605847959759031,0.005738487101027471,0.00017455580143007902
39,0.0006915833339486167,0.010243049378730086,0.005632625877358501,0.004409004748188877
