fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.0002709807477353776,5.3353182330695046e-05,0.00318522812761152,0.000849747794984347
1,0.00025121040521392126,0.0011221641305131026,0.003178023925343255,0.0011379158857149291
2,0.00023645729064063239,0.002084062417926989,0.0032033320827033365,0.0001255895913116753
3,0.00025415812543968695,0.005094249937515584,0.003083235700283605,0.004929444888100954
4,0.0002796909826099577,0.0005539024226763177,0.003196814764715279,0.0003862823108339815
5,0.0002818399511980888,0.0003792724641230559,0.0031961005090943733,0.00041485253567018427
6,0.0002727710445203859,0.0073886434929198,0.0029087855462960827,0.011907451047601875
7,0.00016951569387591933,0.027093678136998922,0.0019217630386910577,0.05138835135180283
8,0.00021681036203120277,0.00042049786690039704,0.0032031771178331805,0.00013178818611793024
9,0.00021565904721081107,2.664171958016538e-06,0.0031882323918219,0.0007295772265691308
10,0.0002334173619998977,2.4930720509375545e-05,0.0031688330441225735,0.0015055511345422067
11,0.0002075046636596462,0.0015850131709297176,0.0031825516787974116,0.0009568057475486931
12,0.00023888375147323738,0.00056429643734811,0.0032054346371416663,4.148741377849285e-05
13,0.00023767766645004464,8.585223964358321e-07,0.003169116695587237,0.0014942050759557011
14,0.00023656271299496518,0.0003176758232725865,0.003166406624356279,0.0016026079251939905
15,0.00024880500372197715,0.0006224271670477881,0.0031249116256145903,0.0032624078748615237
16,0.0002451393751989174,0.0009193125018416047,0.0030509878590256182,0.006219358538420413
17,0.0002393093010285607,0.0005129533654400919,0.0031595031439671344,0.001878747140759769
18,0.00023579366054854597,8.325809242215949e-05,0.0031844305784713375,0.0008816497605916347
19,0.00023306526493223323,0.00013516788868823067,0.003192092906104374,0.0005751566552702065
20,0.0002393425955335586,0.00016680690205862138,0.0032032518109439585,0.00012880046168677623
21,0.00022508010771597135,0.0018981804162201072,0.003205145679441934,5.304572176778359e-05
22,0.00023202648533506148,0.0006932789528068465,0.00320535046902111,4.4854138600720684e-05
23,0.00022470474980781417,0.0001844028056022268,0.003190128378014038,0.0006537377788836378
24,0.00023190915801494586,0.0017355628127933692,0.003073382254898884,0.00532358270348978
25,0.00020491143166663747,0.006678649952560342,0.0031861627565474933,0.0008123626375454091
26,0.00023479698571958122,0.0013311682543225031,0.0031917575888698556,0.0005885693446509238
27,0.0002250045045154658,0.014853070443782033,0.0029298160021598175,0.011066232813052435
28,0.0002493682885125113,0.0005811340106491688,0.0031779642638210437,0.0011403023466033683
29,0.0002478307807748977,6.714551240492133e-05,0.003137420798387534,0.002762040963943781
30,0.000244477575561555,0.0011478854915077938,0.0032055011352301434,3.882749023942035e-05
31,0.00023782758975528256,0.0001959404150218595,0.003205722337475917,2.99794004084967e-05
32,0.0002350741243206248,0.0026234391150366954,0.003191752342765598,0.0005887791888212124
33,0.0002402564968566139,0.0003136646330040761,0.003204713783309815,7.032156705252017e-05
34,0.00024037906154973407,0.00017145966321428178,0.003135743116871153,0.002829148224599013
35,0.00021613688076048738,0.0030858523218431307,0.0032049572077305476,6.058459022322497e-05
36,0.00022973171627085906,0.0033074505275024688,0.0030069286290267875,0.007981727738373655
37,0.00022893848975294963,0.0014509741428276844,0.0031857289747698513,0.0008297139086511048
38,0.00023893287245728404,0.0005544543074492019,0.0031896949775415133,0.0006710737977846332
39,0.0002464403065759289,0.0020519770129544973,0.003070099346332616,0.005454899046140493
