fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,[0.00221153 0.00225488 0.00272272 0.0026258  0.00250033],[0.14628306 0.12535735 0.16981822 0.15128907 0.1192141 ],[0.03351081 0.0364309  0.0493839  0.04463065 0.04045199],[0.12004562 0.10421429 0.14516737 0.1219209  0.10069551]
1,[0.00271222 0.00270837 0.00348882 0.00310646 0.00291754],[0.01043678 0.0160175  0.00796681 0.01871789 0.01974353],[0.0363867  0.03887756 0.05301232 0.04741911 0.04269629],"[5.01006098e-03 6.34817967e-03 3.07800766e-05 1.03822325e-02
 1.09233420e-02]"
2,[0.00274403 0.00282147 0.00356692 0.00324939 0.00291703],"[6.50884688e-04 7.75390493e-04 1.76779046e-03 4.28362900e-05
 9.00041240e-03]",[0.03581971 0.03825035 0.05209147 0.04685645 0.04236723],[0.02768978 0.03143643 0.03686482 0.03288886 0.02408573]
3,[0.00275503 0.0028055  0.00361707 0.00315203 0.00297205],[0.00426126 0.00675885 0.0013233  0.04811658 0.01943691],[0.03642746 0.03889139 0.0529518  0.04637469 0.04255757],[0.00337949 0.00579461 0.00245159 0.05215903 0.01647204]
4,[0.00280255 0.00284608 0.00349277 0.00337089 0.00306888],[0.00325565 0.00093265 0.00021972 0.01515401 0.00023869],[0.03587884 0.03852559 0.05262843 0.04635794 0.04248299],[0.02532451 0.02042692 0.01538626 0.05282929 0.01945542]
5,[0.00280015 0.0028292  0.00358497 0.00336488 0.00316193],[0.0013895  0.00233784 0.00360193 0.00450356 0.00071374],[0.0364872  0.03902367 0.05301132 0.04716344 0.04290222],"[9.89856537e-04 5.03691125e-04 7.06010295e-05 2.06092643e-02
 2.68634006e-03]"
6,[0.00271768 0.00283102 0.00365744 0.00321389 0.00296838],[0.0178391  0.0127059  0.02062632 0.02265443 0.04344211],[0.0330626  0.03551922 0.04826321 0.04330969 0.03719569],[0.13797406 0.14068161 0.18999524 0.17475934 0.23094739]
7,[0.00254542 0.0026396  0.00341086 0.0029416  0.00253499],[0.00632621 0.00479989 0.03384034 0.05316498 0.08741094],[0.03483171 0.03734623 0.04891403 0.04767867 0.03706598],"[6.72096142e-02 6.76010590e-02 1.63962467e-01 4.93038066e-32
 2.36135896e-01]"
8,[0.00275257 0.00281133 0.00353057 0.00328512 0.0029456 ],"[3.70762804e-08 6.76939903e-06 1.33559092e-03 5.66327821e-05
 1.02898335e-03]",[0.03627583 0.03879161 0.05289533 0.04726241 0.04278574],[0.00944478 0.00978619 0.00471029 0.01665051 0.00734524]
9,[0.00291804 0.0030087  0.00373624 0.00361214 0.003143  ],[0.00047086 0.00044524 0.00061575 0.00100824 0.00019488],[0.03650668 0.03902576 0.05286354 0.04764363 0.04292624],[0.00021099 0.00041988 0.00598208 0.00140154 0.00172524]
