fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.003206619847175194,0.2081979377756699,0.04463064763996257,0.12192090243446863
1,0.0038302021113233095,0.012269300817196682,0.047419114387615,0.010382232528371371
2,0.00411283127955,0.0003988109303960199,0.04685644880496435,0.032888855834397594
3,0.003628311246335476,0.04781763468261219,0.046374694459876645,0.052159029637905786
4,0.0034980095758918015,0.03586854516739943,0.046357938028933586,0.05282928687562816
5,0.00399004693155081,0.0032999539819412406,0.04716343859329214,0.020609264301286012
6,0.0037509996301957507,0.02843238929910521,0.04330968672499048,0.17475933903335253
7,0.003739012570563982,0.052144722536755256,0.047678670200824294,4.930380657631324e-32
8,0.0037324888789146836,0.0008323165613456283,0.047262407529241254,0.016650506863321316
9,0.00388128719591461,0.00251742445440054,0.04764363158182327,0.0014015447600407782
10,0.0038477183861330756,0.011518513098961066,0.04708425334670934,0.023776674164598
11,0.0038014428045995965,0.004645081702298433,0.04746533419872132,0.008533440084118753
12,0.0035399987747872187,0.14858824063898096,0.04386986879471426,0.1523520562444012
13,0.0033402358340652917,0.052660135147449015,0.04369307407780258,0.15942384492086828
14,0.0036446433593436468,0.005533547518120472,0.04767218065706339,0.0002595817504361726
15,0.0032212508619083543,0.02366431269578669,0.04454566979382876,0.1253200162798205
16,0.003644715528378024,0.00013734389921055373,0.04746883068986368,0.008393580438424277
17,0.003694531744806534,0.02875518239894359,0.04622473655148664,0.05815734597350556
18,0.00376435207602137,0.039296255505666705,0.04671883543994474,0.03839339043518177
19,0.003197922052629349,0.05275832094854612,0.044449961625989416,0.12914834299339498
20,0.0038017332763352384,0.029507368410989526,0.0472769786383643,0.016067662498399242
21,0.0033952313258136546,0.004893887958928206,0.047633328126112616,0.0018136829884672105
22,0.0034650579105426947,0.001117665328084165,0.0476548012303574,0.0009547588186753494
23,0.0038117920686900762,0.008852216954383428,0.04652679806068264,0.04607488560566578
24,0.0034051955518859724,0.05588917040184776,0.046324808640552544,0.05415446241086991
25,0.003558829105060498,0.003224493234802997,0.04767029997657675,0.0003348089699011498
26,0.0035895644413793185,0.008147595747536008,0.0474954609465321,0.00732837017168792
27,0.003631015004276269,0.00906786575443779,0.04755836735292333,0.004812113916038161
28,0.0030610767215176267,0.011711878907803086,0.04746439956941211,0.008570825256487113
29,0.0030156717300894717,0.04938928211440794,0.04620950578456569,0.05876657665034389
30,0.0034325114445948515,0.02734884590396119,0.04749300884999587,0.007426454033137068
31,0.0036523017107556468,0.00016581230587745113,0.04465353370727172,0.1210054597421028
32,0.003598666010471643,0.00040786547087226987,0.04477704846469946,0.11606486944499286
33,0.003568814713892172,0.02098127945234519,0.042190582033033164,0.21952352671164474
34,0.0034146921689362023,0.01677906953902723,0.046863592586189884,0.03260310458537634
35,0.0033518876963587597,0.02166212453351866,0.04670201248604019,0.03906630859136394
36,0.0030747376924222056,0.026306285883037902,0.04743127432531875,0.00989583502022181
37,0.0030132257207679883,0.0024635633540286083,0.04765725043323819,0.000856790703444286
38,0.0034112816157197876,1.0842920376366632e-05,0.04755308447945861,0.0050234288546272595
39,0.0033266519946333426,0.0007178789481297375,0.047220049008024866,0.0183448477119766
