fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
0,0.00243953952745378,0.1246646940473925,0.03643090276118775,0.1042142949901366
1,0.0031034285744925734,0.015850969121602235,0.03887755564424951,0.006348179667666289
2,0.003067454698852776,2.868060615860969e-05,0.038250349264856924,0.03143643484336959
3,0.002977849075130493,0.01168968802800708,0.03889139491076238,0.005794609007151311
4,0.0030159184706901837,0.0018565903290997483,0.03852558702995673,0.020426924239377777
5,0.0030588608261903883,0.002863607293902454,0.03902366785780657,0.0005036911253837915
6,0.002930507718891053,0.010604482423298105,0.03551921996073095,0.14068160700840837
7,0.002913671324116273,0.00217657913921974,0.03734623366043835,0.06760105902011257
8,0.0028715069252362117,0.00011877364553759602,0.03879160538882348,0.00978618988470768
9,0.0027660969224400913,0.0007036833496980232,0.03902576313917712,0.0004198798705616596
10,0.0030196145210559834,0.005317935952780063,0.03840600601841676,0.025210164700976034
11,0.003061394224569007,0.005155164113736654,0.03902310054300402,0.0005263837174857288
12,0.002634106760196002,0.11879467313703164,0.03567903632974814,0.13428895224772053
13,0.0031185558896729953,0.03736130363504392,0.03615154129382945,0.11538875368446845
14,0.0030280953704868063,0.0009026713337905577,0.039014784219186104,0.0008590366702023737
15,0.0031056260239125115,0.013222433555966554,0.03676516519138549,0.09084379778222719
16,0.0030671837229491812,1.2821014065381055e-05,0.03900453837545844,0.0012688704193087724
17,0.003109421097002512,0.001918392283824539,0.03838328797860939,0.02611888629327108
18,0.0029004275981462184,0.044248606761922084,0.037951404523789305,0.043394224486074495
19,0.0025739595146083557,0.1339360772205993,0.03475935174032019,0.1710763358248389
20,0.0028906050433774888,0.03276422321801825,0.038325659750685685,0.028424015410219054
21,0.002903391977196973,0.00011894951620000473,0.038963055084256994,0.002928202067367212
22,0.0026743838796450766,0.005561496721742642,0.03890900711948062,0.005090120658422032
23,0.0027832290213116785,0.001054908157804078,0.03823081155048445,0.032217943418268745
24,0.0026623347096517225,0.0699549205503275,0.03728639385449462,0.06999465125786158
25,0.002842808032884469,0.008065931688331997,0.038857072326488926,0.007167512378089671
26,0.0028295314060996133,0.0003549241786904209,0.03903586882888318,1.565228231951548e-05
27,0.002877407620098293,0.00015730982532084328,0.03901056276869249,0.0010278946899469146
28,0.002563659353096059,0.0026786381483863975,0.038731423319718294,0.012193472648914966
29,0.002552047415635973,0.01780015104164432,0.038524692941175255,0.020462687790636223
30,0.0027173924888783266,0.019590607606528292,0.03882843663631156,0.008312939985184528
31,0.00290797220206905,0.0002451841660295285,0.03666707813527817,0.09476728002651982
32,0.0029575023031178185,0.011097602166252671,0.03768797567782216,0.053931378324760575
33,0.0031039305984524638,0.001160554928054771,0.036168783156647524,0.1146990791717456
34,0.0027364318143222317,0.009208644461606443,0.0385777581880034,0.018340077917510737
35,0.002416957231117599,0.05838723748020332,0.03708578459867755,0.07801902149054485
36,0.0024325623441299312,0.06040397552118992,0.038543622039607546,0.019705523853344745
37,0.0024356866447586348,0.0004322122023949889,0.03903394062153475,9.278057625653181e-05
38,0.002453220513863359,0.0019243665892204915,0.0389410234794837,0.0038094662582985666
39,0.002340565459564941,0.002233727900468658,0.03818376964516612,0.03409961963100199
